panel,record,series,x,y,x_unit,y_unit,evidence_class,formula_source,method
A,a-orbit-0168,Gamma,0.90328748565610351,0.69014068206006784,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0169,Gamma,0.90752142800456181,0.68740516889102821,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0170,Gamma,0.91177355436942153,0.68469690178913378,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0171,Gamma,0.91604374817649026,0.682015750132409,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0172,Gamma,0.92033189235624757,0.67936158337140662,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0173,Gamma,0.92463786934705494,0.67673427106618556,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0174,Gamma,0.9289615610983778,0.6741336829223924,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0175,Gamma,0.93330284907402283,0.67155968882645201,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0176,Gamma,0.93766161425538708,0.66901215887988708,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0177,Gamma,0.94203773714472128,0.66649096343277581,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0178,Gamma,0.94643109776840595,0.66399597311636138,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0179,Gamma,0.95084157568024019,0.66152705887482943,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0180,Gamma,0.95526904996474427,0.65908409199626183,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0181,Gamma,0.95971339924047405,0.6566669441427857,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0182,Gamma,0.96417450166334895,0.65427548737992491,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0183,Gamma,0.96865223492999275,0.65190959420517502,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0184,Gamma,0.97314647628108586,0.6495691375758077,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0185,Gamma,0.97765710250473159,0.64725399093592328,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
