panel,route,series,x,y,rawValue,auxiliary,source,pointer
B,independent,generic bound / measured cubic exposure,32,12355124.50807668,4098.490699879606,0.06604527540634449,research/certificates/r072i/independent-data.csv,row[3].liftedGenericB/liftedMeasuredCubic
C,independent,one exact-root atom,32,0.0014381595336123705,1.6772434496625737,,research/certificates/r072i/independent-data.csv,row[3].liftedRootAtomRatio
A,independent,initial trace,64,0.002803635759824329,10.285863224249413,,research/certificates/r072i/independent-data.csv,row[4].liftedFirstRatio
A,independent,target diagonal,64,3.924147631537778e-05,0.14396750957509885,,research/certificates/r072i/independent-data.csv,row[4].liftedLambdaRatio
A,independent,mixed moment,64,0.011472903000300771,42.091313264447976,,research/certificates/r072i/independent-data.csv,row[4].liftedMixedRatio
A,independent,generic B term,64,5.555618885438757,20382.225394806846,,research/certificates/r072i/independent-data.csv,row[4].liftedGenericBRatio
B,independent,generic bound / measured cubic exposure,64,49298429.10228816,20382.225394806846,0.16464089647057176,research/certificates/r072i/independent-data.csv,row[4].liftedGenericB/liftedMeasuredCubic
C,independent,one exact-root atom,64,0.0015829139042912057,5.80732923606387,,research/certificates/r072i/independent-data.csv,row[4].liftedRootAtomRatio
D,numeric maximization,numeric coupling envelope,4.0,0.22983326476000077,6.0532776253219325,0.05458192021642234,research/r072i_report-source.md,coupling-envelope-grid[0]
D,analytic,analytic M^(-4/9) log^(-2/3),4.0,0.22983326476000074,0.22983326476000074,6.0532776253219325,research/r072i_report-source.md,coupling-envelope-grid[0]
D,analytic,section g=M,4.0,0.21184433421620752,4.0,0.05458192021642234,research/r072i_report-source.md,coupling-envelope-grid[0]
D,analytic,section g=M^(3/2),4.0,0.222556408283312,8.0,0.05458192021642234,research/r072i_report-source.md,coupling-envelope-grid[0]
D,numeric maximization,numeric coupling envelope,4.30276234488073,0.21501991297787182,6.424228670992054,0.04846051365059148,research/r072i_report-source.md,coupling-envelope-grid[1]
D,analytic,analytic M^(-4/9) log^(-2/3),4.30276234488073,0.21501991297787182,0.21501991297787182,6.424228670992054,research/r072i_report-source.md,coupling-envelope-grid[1]
D,analytic,section g=M,4.30276234488073,0.19924697386023024,4.30276234488073,0.04846051365059148,research/r072i_report-source.md,coupling-envelope-grid[1]
D,analytic,section g=M^(3/2),4.30276234488073,0.20574521700266565,8.925263342092348,0.04846051365059148,research/r072i_report-source.md,coupling-envelope-grid[1]
D,numeric maximization,numeric coupling envelope,4.62844094913088,0.20149728915190093,6.826450379056443,0.04291806372023074,research/r072i_report-source.md,coupling-envelope-grid[2]
D,analytic,analytic M^(-4/9) log^(-2/3),4.62844094913088,0.20149728915190096,0.20149728915190096,6.826450379056443,research/r072i_report-source.md,coupling-envelope-grid[2]
D,analytic,section g=M,4.62844094913088,0.18758967324492257,4.62844094913088,0.04291806372023074,research/r072i_report-source.md,coupling-envelope-grid[2]
D,analytic,section g=M^(3/2),4.62844094913088,0.19027908530293033,9.95754071571219,0.04291806372023074,research/r072i_report-source.md,coupling-envelope-grid[2]
D,numeric maximization,numeric coupling envelope,4.978770357856093,0.18911109487219613,7.262093574376187,0.03792331683193465,research/r072i_report-source.md,coupling-envelope-grid[3]
D,analytic,analytic M^(-4/9) log^(-2/3),4.978770357856093,0.18911109487219613,0.18911109487219613,7.262093574376187,research/r072i_report-source.md,coupling-envelope-grid[3]
D,analytic,section g=M,4.978770357856093,0.17678248365363422,4.978770357856093,0.03792331683193465,research/r072i_report-source.md,coupling-envelope-grid[3]
D,analytic,section g=M^(3/2),4.978770357856093,0.1760474043346421,11.10920914091725,0.03792331683193465,research/r072i_report-source.md,coupling-envelope-grid[3]
D,numeric maximization,numeric coupling envelope,5.355616404897888,0.17773118270877586,7.733531503048441,0.033440616678930314,research/r072i_report-source.md,coupling-envelope-grid[4]
D,analytic,analytic M^(-4/9) log^(-2/3),5.355616404897888,0.1777311827087759,0.1777311827087759,7.733531503048441,research/r072i_report-source.md,coupling-envelope-grid[4]
D,analytic,section g=M,5.355616404897888,0.1667462474635894,5.355616404897888,0.033440616678930314,research/r072i_report-source.md,coupling-envelope-grid[4]
D,analytic,section g=M^(3/2),5.355616404897888,0.16294823140668518,12.394077138133243,0.033440616678930314,research/r072i_report-source.md,coupling-envelope-grid[4]
D,numeric maximization,numeric coupling envelope,5.760986150155037,0.16724690351461247,8.243369216302746,0.029432048565528703,research/r072i_report-source.md,coupling-envelope-grid[5]
D,analytic,analytic M^(-4/9) log^(-2/3),5.760986150155037,0.16724690351461244,0.16724690351461244,8.243369216302746,research/r072i_report-source.md,coupling-envelope-grid[5]
D,analytic,section g=M,5.760986150155037,0.1574110365091253,5.760986150155037,0.029432048565528703,research/r072i_report-source.md,coupling-envelope-grid[5]
D,analytic,section g=M^(3/2),5.760986150155037,0.15088779101235028,13.827550292505691,0.029432048565528703,research/r072i_report-source.md,coupling-envelope-grid[5]
D,numeric maximization,numeric coupling envelope,6.197038569066623,0.15756350501412517,8.79445567967717,0.025859020264447054,research/r072i_report-source.md,coupling-envelope-grid[6]
D,analytic,analytic M^(-4/9) log^(-2/3),6.197038569066623,0.1575635050141252,0.1575635050141252,8.79445567967717,research/r072i_report-source.md,coupling-envelope-grid[6]
D,analytic,section g=M,6.197038569066623,0.1487148537401722,6.197038569066623,0.025859020264447054,research/r072i_report-source.md,coupling-envelope-grid[6]
D,analytic,section g=M^(3/2),6.197038569066623,0.13977995449631295,15.426815967079923,0.025859020264447054,research/r072i_report-source.md,coupling-envelope-grid[6]
D,numeric maximization,numeric coupling envelope,6.666096051188356,0.14859931209965613,9.389898350928668,0.022683403272599593,research/r072i_report-source.md,coupling-envelope-grid[7]
D,analytic,analytic M^(-4/9) log^(-2/3),6.666096051188356,0.1485993120996561,0.1485993120996561,9.389898350928668,research/r072i_report-source.md,coupling-envelope-grid[7]
D,analytic,section g=M,6.666096051188356,0.14060254780804154,6.666096051188356,0.022683403272599593,research/r072i_report-source.md,coupling-envelope-grid[7]
D,analytic,section g=M^(3/2),6.666096051188356,0.1295457150192963,17.21104937952292,0.022683403272599593,research/r072i_report-source.md,coupling-envelope-grid[7]
D,numeric maximization,numeric coupling envelope,7.170656769102847,0.14028349594259962,10.033080083153406,0.019868333358513266,research/r072i_report-source.md,coupling-envelope-grid[8]
D,analytic,analytic M^(-4/9) log^(-2/3),7.170656769102847,0.14028349594259962,0.14028349594259962,10.033080083153406,research/r072i_report-source.md,coupling-envelope-grid[8]
D,analytic,section g=M,7.170656769102847,0.13302490092924205,7.170656769102847,0.019868333358513266,research/r072i_report-source.md,coupling-envelope-grid[8]
D,analytic,section g=M^(3/2),7.170656769102847,0.120112669938451,19.201643513249653,0.019868333358513266,research/r072i_report-source.md,coupling-envelope-grid[8]
D,numeric maximization,numeric coupling envelope,7.713407983539961,0.13255429190817422,10.727678291254641,0.017378749105193388,research/r072i_report-source.md,coupling-envelope-grid[9]
D,analytic,analytic M^(-4/9) log^(-2/3),7.713407983539961,0.13255429190817422,0.13255429190817422,10.727678291254641,research/r072i_report-source.md,coupling-envelope-grid[9]
D,analytic,section g=M,7.713407983539961,0.1259378585970601,7.713407983539961,0.017378749105193388,research/r072i_report-source.md,coupling-envelope-grid[9]
D,analytic,section g=M^(3/2),7.713407983539961,0.11141451916264687,21.422465619591556,0.017378749105193388,research/r072i_report-source.md,coupling-envelope-grid[9]
D,numeric maximization,numeric coupling envelope,8.297240355569535,0.12535756330418926,11.477686380976012,0.015181730860486058,research/r072i_report-source.md,coupling-envelope-grid[10]
D,analytic,analytic M^(-4/9) log^(-2/3),8.297240355569535,0.12535756330418926,0.12535756330418926,11.477686380976012,research/r072i_report-source.md,coupling-envelope-grid[10]
D,analytic,section g=M,8.297240355569535,0.11930187606136179,8.297240355569535,0.015181730860486058,research/r072i_report-source.md,coupling-envelope-grid[10]
D,analytic,section g=M^(3/2),8.297240355569535,0.10339058528318579,23.90014338647177,0.015181730860486058,research/r072i_report-source.md,coupling-envelope-grid[10]
D,numeric maximization,numeric coupling envelope,8.92526334209235,0.11864563431424574,12.287437487192529,0.013246689387242286,research/r072i_report-source.md,coupling-envelope-grid[11]
D,analytic,analytic M^(-4/9) log^(-2/3),8.92526334209235,0.11864563431424577,0.11864563431424577,12.287437487192529,research/r072i_report-source.md,coupling-envelope-grid[11]
D,analytic,section g=M,8.92526334209235,0.11308136143975124,8.92526334209235,0.013246689387242286,research/r072i_report-source.md,coupling-envelope-grid[11]
D,analytic,section g=M^(3/2),8.92526334209235,0.09598535916762241,26.66438420475343,0.013246689387242286,research/r072i_report-source.md,coupling-envelope-grid[11]
D,numeric maximization,numeric coupling envelope,9.600821756624825,0.11237633441663299,13.161630606626654,0.011545442964004485,research/r072i_report-source.md,coupling-envelope-grid[12]
D,analytic,analytic M^(-4/9) log^(-2/3),9.600821756624825,0.112376334416633,0.112376334416633,13.161630606626654,research/r072i_report-source.md,coupling-envelope-grid[12]
D,analytic,section g=M,9.600821756624825,0.10724419919638165,9.600821756624825,0.011545442964004485,research/r072i_report-source.md,coupling-envelope-grid[12]
D,analytic,section g=M^(3/2),9.600821756624825,0.08914807310754118,29.748331360269002,0.011545442964004485,research/r072i_report-source.md,coupling-envelope-grid[12]
D,numeric maximization,numeric coupling envelope,10.32751358357924,0.10651221040294771,14.105359242736359,0.010052213237832897,research/r072i_report-source.md,coupling-envelope-grid[13]
D,analytic,analytic M^(-4/9) log^(-2/3),10.32751358357924,0.10651221040294767,0.10651221040294767,14.105359242736359,research/r072i_report-source.md,coupling-envelope-grid[13]
D,analytic,section g=M,10.32751358357924,0.10176134077946469,10.32751358357924,0.010052213237832897,research/r072i_report-source.md,coupling-envelope-grid[13]
D,analytic,section g=M^(3/2),10.32751358357924,0.08283230242265234,33.18896142227815,0.010052213237832897,research/r072i_report-source.md,coupling-envelope-grid[13]
D,numeric maximization,numeric coupling envelope,11.109209140917251,0.10101987229316906,15.124142709341259,0.008743563377469725,research/r072i_report-source.md,coupling-envelope-grid[14]
D,analytic,analytic M^(-4/9) log^(-2/3),11.109209140917251,0.10101987229316906,0.10101987229316906,15.124142709341259,research/r072i_report-source.md,coupling-envelope-grid[14]
D,analytic,section g=M,11.109209140917251,0.09660645163260412,11.109209140917251,0.008743563377469725,research/r072i_report-source.md,coupling-envelope-grid[14]
D,analytic,section g=M^(3/2),11.109209140917251,0.07699559555535698,37.02752759304704,0.008743563377469725,research/r072i_report-source.md,coupling-envelope-grid[14]
D,numeric maximization,numeric coupling envelope,11.950071693235884,0.09586944703029272,16.223960266114204,0.0075982966934582665,research/r072i_report-source.md,coupling-envelope-grid[15]
D,analytic,analytic M^(-4/9) log^(-2/3),11.950071693235884,0.09586944703029271,0.09586944703029271,16.223960266114204,research/r072i_report-source.md,coupling-envelope-grid[15]
D,analytic,section g=M,11.950071693235884,0.09175560572991343,11.950071693235884,0.0075982966934582665,research/r072i_report-source.md,coupling-envelope-grid[15]
D,analytic,section g=M^(3/2),11.950071693235884,0.07159913207067803,41.31005433431695,0.0075982966934582665,research/r072i_report-source.md,coupling-envelope-grid[15]
D,numeric maximization,numeric coupling envelope,12.85457962507012,0.09103411954564845,17.411288284452507,0.006597329618087178,research/r072i_report-source.md,coupling-envelope-grid[16]
D,analytic,analytic M^(-4/9) log^(-2/3),12.85457962507012,0.09103411954564845,0.09103411954564845,17.411288284452507,research/r072i_report-source.md,coupling-envelope-grid[16]
D,analytic,section g=M,12.85457962507012,0.0871870203377771,12.85457962507012,0.006597329618087178,research/r072i_report-source.md,coupling-envelope-grid[16]
D,analytic,section g=M^(3/2),12.85457962507012,0.06660740754895825,46.087889201240294,0.006597329618087178,research/r072i_report-source.md,coupling-envelope-grid[16]
D,numeric maximization,numeric coupling envelope,13.827550292505691,0.08648974512055257,18.693140667258657,0.005723549557148137,research/r072i_report-source.md,coupling-envelope-grid[17]
D,analytic,analytic M^(-4/9) log^(-2/3),13.827550292505691,0.08648974512055256,0.08648974512055256,18.693140667258657,research/r072i_report-source.md,coupling-envelope-grid[17]
D,analytic,section g=M,13.827550292505691,0.08288082495905301,13.827550292505691,0.005723549557148137,research/r072i_report-source.md,coupling-envelope-grid[17]
D,analytic,section g=M^(3/2),13.827550292505691,0.06198794407747081,51.418318500280485,0.005723549557148137,research/r072i_report-source.md,coupling-envelope-grid[17]
D,numeric maximization,numeric coupling envelope,14.874165680134507,0.08221452029003794,20.077112771421838,0.004961665462665896,research/r072i_report-source.md,coupling-envelope-grid[18]
D,analytic,analytic M^(-4/9) log^(-2/3),14.874165680134507,0.08221452029003792,0.08221452029003792,20.077112771421838,research/r072i_report-source.md,coupling-envelope-grid[18]
D,analytic,section g=M,14.874165680134507,0.07881885943151166,14.874165680134507,0.004961665462665896,research/r072i_report-source.md,coupling-envelope-grid[18]
D,analytic,section g=M^(3/2),14.874165680134507,0.05771102487613091,57.36525415282281,0.004961665462665896,research/r072i_report-source.md,coupling-envelope-grid[18]
D,numeric maximization,numeric coupling envelope,16.0,0.07818870209820979,21.57142910778763,0.004298056889022063,research/r072i_report-source.md,coupling-envelope-grid[19]
D,analytic,analytic M^(-4/9) log^(-2/3),16.0,0.07818870209820979,0.07818870209820979,21.57142910778763,research/r072i_report-source.md,coupling-envelope-grid[19]
D,analytic,section g=M,16.0,0.07498449698013565,16.0,0.004298056889022063,research/r072i_report-source.md,coupling-envelope-grid[19]
D,analytic,section g=M^(3/2),16.0,0.05374945150366573,64.0,0.004298056889022063,research/r072i_report-source.md,coupling-envelope-grid[19]
D,numeric maximization,numeric coupling envelope,17.211049379522915,0.0743943675097454,23.184995120540712,0.0037206256691356635,research/r072i_report-source.md,coupling-envelope-grid[20]
D,analytic,analytic M^(-4/9) log^(-2/3),17.211049379522915,0.0743943675097454,0.0743943675097454,23.184995120540712,research/r072i_report-source.md,coupling-envelope-grid[20]
D,analytic,section g=M,17.211049379522915,0.07136248870049165,17.211049379522915,0.0037206256691356635,research/r072i_report-source.md,coupling-envelope-grid[20]
D,analytic,section g=M^(3/2),17.211049379522915,0.050078322061948406,71.40210673673877,0.0037206256691356635,research/r072i_report-source.md,coupling-envelope-grid[20]
D,numeric maximization,numeric coupling envelope,18.513763796523516,0.07081520634562943,24.927453376553856,0.0032186530893957258,research/r072i_report-source.md,coupling-envelope-grid[21]
D,analytic,analytic M^(-4/9) log^(-2/3),18.513763796523516,0.07081520634562943,0.07081520634562943,24.927453376553856,research/r072i_report-source.md,coupling-envelope-grid[21]
D,analytic,section g=M,18.513763796523516,0.06793882650744475,18.513763796523516,0.0032186530893957258,research/r072i_report-source.md,coupling-envelope-grid[21]
D,analytic,section g=M^(3/2),18.513763796523516,0.04667482883078272,79.66032572569749,0.0032186530893957258,research/r072i_report-source.md,coupling-envelope-grid[21]
D,numeric maximization,numeric coupling envelope,19.915081431424372,0.06743634234503566,26.809244525692247,0.0027826644765537893,research/r072i_report-source.md,coupling-envelope-grid[22]
D,analytic,analytic M^(-4/9) log^(-2/3),19.915081431424372,0.06743634234503568,0.06743634234503568,26.809244525692247,research/r072i_report-source.md,coupling-envelope-grid[22]
