sampleIndex,windowPositionExact,windowPositionDecimal,radiusExact,radiusDecimal,activeMarginExact,activeMarginDecimal,activeMarginPpmDecimal,sign,classification
53,53/100,0.53,37693253/100000000,0.376932529999999988,41212742483255766520026326275958705739588908412861501797134887387684324798960610395970944874072820013726764246161996459863248290266737566039571590554222083501143567159776286945354286948755497946205767133429944827963140772079825335957833747708811779326781605849658881591454248855365508779439138997684521478993784656027364487824585517972723851086269933874470107951851512528664948118327836058580530233660038521396050551753572521902204704075526937081052752184319554275771479512129068511458008333006599217993038247172301229968737010542848755951719121872191273385058948474450004262375619878532194556805900499973998289672434951120851038135130098820849974739756795409981336896643075388734377447273358924796109831355395808529681816042796801857799501511702911354031708938734186597654555249849016682502016593658501897842531646855899849572493886446025224092730171190992731944411958600955176161056485423212628260763592682144559233690909313182095953833/252764313167645417656976628539681291729294903061670304722399112591751149119924901847396288848448728964856502388022920661330439629943797068905654426753411570871405752166348748684853579672374170059491515943999532158730865572459737253090051487836948816687056619003356225901470679040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.6304810582940757036e-07,0.16304810582940756913,positive,exact rational presentation sample of the explicit degree-80 active-column polynomial
54,27/50,0.54,18846627/50000000,0.376932539999999983,21283220243488183147987359756842690213537849256447827699035389904954167494647159872524878161803914705311723982228642066979389040780911197381191178643671988396396658636324580110582371089505858722311540986729707291544860212968395745481636876738827011422673110831251230589368820266432292617763049600413288677644765239953838558196987461185925104080671189878401306097932010445155037344918862507905390935597204154626626247119615146233808762868844989982655416128734856606039099996786276516502452591744785117319335278149175493407108558400996109659669343063773562248057572987197991695875206019398561724692889796981690632447415345906813351436989641290848048333712689852561550765343906095835746370473179221495098886495569253619914580651793793999867772185606267263140955873755092373551243216019151096497205515951808927471263515307962441092324025842859191369138516771445440398654626151930518209107454426314848964421317/98468756489413778894606357109210284726653800191266778049592590367207633941068738469245635813515975545665908616226495126900149685342466004617714288708104029205460300083069113587965949299505118000487573653845970311553882489607886498583181065900195855876933783292770385742187500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2.1614186064974131764e-07,0.21614186064974130752,positive,exact rational presentation sample of the explicit degree-80 active-column polynomial
55,11/20,0.55,7538651/20000000,0.376932549999999977,10762278648467769784724809646654903244061155591121023274897094092487526881827485060469430371078925833769886401666481792154246609980228255269352126975918603321375624851429937891959410638525400790048563669730689761893099082656256386856999762905854176439363799648606196116203672720693383993510131977784440171949257452651213399798881464251006250960568385210240900841705176782545702821787915430601827622906965797812423192156752361320343489018793995457363630002898099773589679151250539184099676680959105696502819005445117786433173716936453536491172591501272865217962455986702537131805310178483727634285581694639755857964894725433311779672634359456932615305577102491991109528508646685440891285293803544663696912778858702963220624157467156912975197166517637869805575749302783686213500052511483739834265773231385290840752749278913947444940381484199299155459528593958803053426436898544273722884147314133/39973457937089243426586146612089108137339861704087780348457312574273182766453344700718009250457019680063606084051565741766186618747303864614195655713168168400204111915196862974120178762806583190316348833265490517968903732984063726567579088256817817108977419905185442144488976629206587252064456444955075501516390400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2.6923561792941672491e-07,0.26923561792941669291,positive,exact rational presentation sample of the explicit degree-80 active-column polynomial
56,14/25,0.56,4711657/12500000,0.376932560000000028,6356970717917460706586978349974674410241026129026881396788552407010776726843301643474479673038213243014262205345258737398736163470096452499544549171369381182164002378829324381054085031763479215465955034557752766560747721578709181969960997247746295968543680944960252332764562778702104099585919061724398270536009530723996850025102906408666052233693555689927098967158274305686649157328144691730951666499320985597039821425840978420121001091544182849568083352679637159480514644646003845470812842163757526556183931445768469177153609964282801315459839437414734314834868474011881386053986699063025945605648826448332314063516347481709300799609543878521321221854867156250657411668931319451040032276908344498389185505927025915460950973032448738629325210121011455887556931825410639377635736938851055893516348329052372975729090346942289321478603855768113727523829773000348669011654757116017/19721971245378063924321543908859954131532727109875099067208154065175845001981149118066328880186371261630069990653340500938450404730607305542244526908472895692142205381914259678254281220116366517130537830319124834287100437030596186175864025315023212791500962997671944248445100014615902906853013387576272206343457043128314937770333458102751195976875567234495815197503273963341996477538486942648887634277343750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3.2232937766843395097e-07,0.32232937766843394733,positive,exact rational presentation sample of the explicit degree-80 active-column polynomial
57,57/100,0.57,37693257/100000000,0.376932570000000022,343069240710658154654145731460109382547899415587380083518105117589230841986225257243246977008614326614559248835032732808609511103541184002853298959286994011426272312078717988883145965227234656877861636563170113666845160894271005540681060657226161236577419923595127945647495748714358925659543224055649400121059034131907939409892365656322752090869960387984281865406237083961556136272150753576241209423381539596153153889198525331269246379595153697971902134745209350691526408862401552288056162081152920092675354096536350727254869458420524023225937846382351819430165938513216182789525429299736918144385619675556881049702226991590500264623196265817400444553394404987852455923107200828929258855134834403109078773286860238157128640976193710851370775707882110346190179120497143842165599936591667567896054424316847621254769321110567936858220860911322764023574554986176132207215305860374484113880448326555454739390403391811/913820178565405547283732328044397429398312569949211420073189868557664914538760246884909921572604849322337399329528232737745872472179888702010738845925758623245239099182913078785726201625146439214139826547027540003862057329934773405629459107851985223680000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3.7542313986679318111e-07,0.37542313986679315407,positive,exact rational presentation sample of the explicit degree-80 active-column polynomial
58,29/50,0.58,18846629/50000000,0.376932580000000017,24240640452268989464369923997943879801303908796184264530295990178927460290903726176447473971118155308403865550858207566293219626568232325094268594028633742735112429854784952239264402886294963112533670999693375338371864591531464499106942978354330687840307794588102260789748910628695976935919516037716563319736531644709894320329806291150187737401249528016596850452063654373945451082530607391410766508173092819445277243542017057006400647320316028495205272602787573195711144542791606597759056438744875158738005099379387375091161422294925230562169091046725931383613255530636954519461650635828277915322446551722048624692529698858431225412599865753175340200662326490916464867474490379362160451310656030696811639304059691422106748725591271301740249327218868734066567899523884128304978638265958113485329858309251675977392332033065000060668315035946434026195634916566903132188849154937329677312789728913035087422259264025349088343/56568691214568798680371000872930261457475096123395783156080750790298875741966231685025042984819089542205224372312433184346205520834012619098516749189419771847792316143373932422948436639782133643099407294860544971705755414935796477077281942202513294911715034288906729463487863540649414062500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4.2851690452449452122e-07,0.42851690452449453517,positive,exact rational presentation sample of the explicit degree-80 active-column polynomial
59,59/100,0.59,37693259/100000000,0.376932590000000012,760163193791537665683484356440726426709773600689642903959618887636320052652606107917527893004885327357564463662749616911629373769138936908310311631189410708367124823496500558095970387457018996296487038459173024002984453403451336770689924875298414845250688346001845896978196938933429692503307564831879410618067002914011178155180170330636797994444925595909492829237394829136542537528421775634047843576495375123082559449196237304485961200275879500141635451376074861164172194621838568907422746476560962908671725659338271552122051738789787987459949846871436771789156188764682297267725365141803238670659256346478760710024887122322046535790787332163022699980329385574944142763665896267017952051385061676931198239957756059870183227576756006606296497583061317340914219351659208247558193307532676726655535092683852914221715512498972319164959650277991480472030813029669376339436070726636759665974423663743738728304286587977000779576850179812653341124016470883/1578376972421669266019598159950435552877945305251493975688768834572863650601436090113861610679886212814805032908992296034137802494294480206180917344347552040024159178601226271131042079718787686331425654864308953238100213498862440037684162614238621268716642060037574480965354974516126679040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4.8161067164153813011e-07,0.48161067164153814613,positive,exact rational presentation sample of the explicit degree-80 active-column polynomial
60,3/5,0.6,1884663/5000000,0.376932600000000007,18938819823133117253842418923146678506186880334903784130811467716716657006774723882150948414474411863322370439556889585754097366316845263300932454825442275813507299309281763188488880079426735963044430979841512103875323388761969282714155292836529097536915044784066511218909661839452624056529098916438820799868969605358682662490171350693089941814208056060515903215835834062565235131575907683022222306834612586689599767247553028164303089452499102819482328409880829810204257691953850926836859900681957231700122925632976375554019316868479443794606072983837248365500099348455735755218055762283312850330006857826274778385138554503964961390966503183736514397315582023370836265000221382665301680871141788881295344427203429653593174767680725159693158604074689265400394604813245358693217233349247391411940053205833471263/35419230444383777125440174222693851328847308657916013989096959546407997012353582575085945650526940155761458712179040563207307715464243066987795064955304921516851718914261153030164853403459888852351745373094871521600470648959554674390787817537784576416015625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5.347044412179241666e-07,0.53470444121792426451,positive,exact rational presentation sample of the explicit degree-80 active-column polynomial
61,61/100,0.61,37693261/100000000,0.376932610000000001,257021443969256945131508453275977524302915632304911759569826177391799643022144356533563840059955614857512778245487131187681109306491782536153802860664380637504303958289957645246911959498988751568826293627918595377321179211597409257512430892682726018778305949341566514509374159860829902750719245563256012439143822640475199380558231112927285231696882237835986964016677688475797231461852809042695032736366801451382200273741458738585280088885032767177126948864103476537465987023037341501511767673119634049658301560083565921753875298537962485162040248187900970739397993752831149308860093374347015335259732978862747890582848911224407261539475338829099657784471696532290255043554866405518882046890715440247395906971650858758755613276263303608137279216336593203337314621065402582674453019271913069478198037292002895095852583955950664543642560472888878042945917284865013693887521768134778719079115991895918082793110732060663440677946837169554465029/437261356319135899899800953713963081622073751161249206261545699382815681788061871472081272216051869125428026762297670695512126902388030663026031648246766116081955549424828735125027067050108782292212632909625407574835992501977925620242039954593897679776659221546080292134474219520000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5.8779821325365289538e-07,0.58779821325365289031,positive,exact rational presentation sample of the explicit degree-80 active-column polynomial
62,31/50,0.62,18846631/50000000,0.376932619999999996,19835831305817487748569679776755314521435594322363436937983184930512256583578253582539776251249117655603426044667825423911377036136763178446660917944155202897356920709182803998989705044670186742798606316458057369450000895695509736195380613704334840457867578738182210144092964662933552333268481348466612446201010802881003844606105383325624562015636952584704128444251486042739268639061818228105318348632735015675646581727035769635690853829446997703768259664177506938197764048344981165427539569301511990158608001070361771524954984622281403865210488966643491112512728086665592128862552955941674877329187052543567622599566073921094617317872812020056166621920179524047893534984442887466096981265921867080746414639776123985714757180260823319745463157849150826848411450614772510819063869570409938115611218784743288905859860250713338886602735625121987532374904583603304252447397382981371796157487057223651014468640335341/30950349957557213886679787370522051746841799062946288802523156426762648829467805496001560076489067804105122736929696282423345092969762189876109632297370961459104552702330845228508312138196419020651604493559174572029536265892936989211633477163146022302945060115307569503784179687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,6.4089198774872431647e-07,0.6408919877487243566,positive,exact rational presentation sample of the explicit degree-80 active-column polynomial
63,63/100,0.63,37693263/100000000,0.376932629999999991,25857885394602928612342641878729616343243865306631706820536128262450914259489036364333826791180910746033899585438327190197417947356854864318239315415114479774326735174680962959153008273921481209309004839143419371359133116188840398172162021861082336085918804608715788280142777610529568095716456647877397100541988847320778047325372990015702547992487135558320316108221720114361647553989526665224252157193136736423430505263210326657882318823672897527680488975286888936738944697858863100404934436925002796888831738825304204955246684831859313375461152049429944075137970233117590773225806599341552863520768156945314641798443867943263497871435124517753298617596492618699526074351939614799465751269899296124731499479748875559941485923820000341947861352572885855120895418528855741488525123339336072161679207717349585392507777525685371865763656831272316487096722240151035831873410262668431042659825711475284063876134179881330733639306130878621/37259965131509538948844835666517780833307383203194767298331797110411329439834126320883865654227398769050863225567049830298429222793797946314827158998221778328250721221480917690061676568034044398034064203419024473675238024189947644019031890574717120731270026685258903060480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,6.9398576470313864161e-07,0.69398576470313866338,positive,exact rational presentation sample of the explicit degree-80 active-column polynomial
64,16/25,0.64,2355829/6250000,0.376932639999999985,3298870674443796886891747424047491413525982459553847672350775469709706614428038731875807756126106464908384661549492648312334655932157907069078433854440945009182573183660336089139738577095726046264401929312909361454404865805699989381230507409631114704457193980760592046572857592719845360277093670064955655403606552083023184771282481787977783249497859326330547639057052395944023809385441049297352498036647523263457961765948733301298649556653341009506427518416257259643240065902849056032962298935904578555651012245687245705150402245997307087530983000173621296029335231319329627007171893146496391390395210650485957875236799874925342309789019013770386719651692566492687692791718785081848381141559325357473507906145297296807013715580782830141580334003033185921214523224342147317488768802060240039025251362001524084449004467582541/4415688664509358467688905784571252197275581884978351007222003322242985597359934045982730047327256748890723030621080437571449674249282858332667003368718295451177993150222973574385635951873784536449065654966009478794080701071919508384575197375484477524143716806286073029886845201674954713860590020225645842464147055281965427365149202875617739567136402897754995325420489765391189477026149645243896513235881684522610157728195190429687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.4707954411689597669e-07,0.74707954411689603269,positive,exact rational presentation sample of the explicit degree-80 active-column polynomial
65,13/20,0.65,7538653/20000000,0.37693264999999998,19650404421844592692082097464139875406247567309552016284651747795746912974312537467001272522314570033489146434424579007309166863798012365392298529094463350942940141550589798484414750396342317557729223572985363025806389601737650077493744242281154153286842522167003754217213955304160435805356013212021311993309487844816877557321313257640593935467513840718713609215706361343108256282050758715383341323810497369873336784605844392132069361407402136674061186499721056272773339190554738399176555279798283110175067740398949200189166846780100351481385561772389174332391713104788738617566311628725272179244752442606948203962479035942900531147030161386288924881563825476724168087482253669842023352422931922102546484492222246882450561894232426280486249371863501357940639515569283201404404058251646138033806255618492916703400356972199627832004725412759443201682162443978852089953759747177347671181461486627/24557684920992046410055166304287927420697583199372313487617272747423435152484790242145144696469110745151184006794011240457253662638478158978227824361901520496986382656421391154504325069526914336651747937925435878752196463761510002420440964534457582708205858865517513783834034969512567056201033780084508267747737600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8.0017332598999663934e-07,0.80017332598999657556,positive,exact rational presentation sample of the explicit degree-80 active-column polynomial
66,33/50,0.66,18846633/50000000,0.376932659999999975,48751100727997018110632077522128407885544343926682416688929185045911712226964774444316536299898024718445616264712001701714467750259198493138279563846378366966406943145041730718639020655252048184936914345152230064062369703568212309512821664063647307362439967283433291172677783916964968993233099068731800331451142194795351459723007932969099349570625159085193656362315727300419310822448433984757736781946280516871964720987761635332652602016657786693126968976534005553312181716864913883151859932434998600018740635331001455171273761103904686003105123717591594915554731372450021373697872493824102138736105661937199017412052946518502709480217545561590580789982756617535638379493577467305416236247959484823986714918273812106532576594097067669738802065022090358990619410705321997882261061737447964988934920387673374619090242751976539148721919653382118058077658763349057603716393997423524977740483825933/57134630103783674338271137471763719139993394691688777911348341671283930321604148731825535390406630585803109392728284123664067928146976050628292027568219161519043328058368140878380276350118402994874273219443498125888896071348308870864540983419865369796752929687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8.5326711032244052369e-07,0.85326711032244051403,positive,exact rational presentation sample of the explicit degree-80 active-column polynomial
67,67/100,0.67,37693267/100000000,0.376932670000000025,3462210754990107007655858316250705658560058821971580566016964370475762171796018163744097066772989022665448432344864523363139628795359507642395209357418110432103149432759598844165703947558977787479142192042881357797103687424891751713790190725492706031968220830689120877924809211836934883444775375606297951638000684533274451988902559382254113358247085078742264175329849808731274700513806294217176150343702352549139090900858812600731797549848721677691338837030397240133464815401207978222692748979345083217918601311328741270534020214468051612339222235686167608743409786641453307212414131578781055336268177183365899982072884219091654720384642722381617058747112973265762108913823056112422743934239809493481185172443649010396574095871718272158991849358758343417700139972444848433905626252297309930767079915876471865739603188716226421924132814382754254827271369005559440174997153946001721516544729116445520952954871298809152077686024117067517685293/3819903049672019285180814665834053008559205136225340761805045710619727682318953918612710330646366486457729461950977571873887817120025580949954863393456682949098120777176124763024468619845515758406009658342054034118411112425381473359053689525873628175636462769090002757105840291840000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,9.0636089711422805324e-07,0.90636089711422807014,positive,exact rational presentation sample of the explicit degree-80 active-column polynomial
68,17/25,0.68,9423317/25000000,0.37693268000000002,269156957751835056852605265665729847756362247575182709539854618198659118594240952555829635641160804681092767602176785635824324675284700366209060672218257749493286320371414717233093641587749122609271612217885087451102752048972694490977593928270053263118194472711191698628592520988285492072675553481039217640046657042040035349922117354441933670016505536679494659995631290167722944073800042275307274805155986447686893616267852162497980104598488988088491907873664628932080935720208313502720768926205495665794246739840099342635749793179990260714872654565749665363452317073615755881672011033421271505027038578488564801685890944073125739984108411770833830695472056421145984372050495982947663195468017529440397341956437596795859241053685372778064946302729691664871089330652574962037981931660020192881547268243569290976778182589089814551700618381389329101469677377227172715660949970064872464462296984571/280531182531887085009242473288516325472575223074706007136373619918479386396534498164389813636600419793654799441886577870094783981710007898308069948456062330622513278698815609047020233458677456991319767612911430307618036997261598948332449645607344658944004670302202301999853313363110006975059998221675057472612735409711604006588459014892578125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,9.5945468636535922801e-07,0.95945468636535924389,positive,exact rational presentation sample of the explicit degree-80 active-column polynomial
69,69/100,0.69,37693269/100000000,0.376932690000000015,26465819443989560444797631057107898423036743343962062152125957906904000710841322933046475655002463311045963635178800766768553479108557887234223388166351269641784898892985227203521571007124670175207874610728377869075222647124722454577561407793652714957342083701403250891303625764361144438954000666134469368675868811475107754006452956759435552139728453658540774177827243652629196947671000436561771381753445925096410435555889491518022842747750380417224290655655653007437514093355214238557328683488256188812288238569261621437719779600912298894902498920706812547526243210846168106054293569278240563304507967936718633020778539781592574551257258343950366718380759807879118413189628082391351971463570346825499488102890687770041604928842028933838630496683788345064071557611860491732530576124644062113349778782985468454782089905304104223128883491325241104844365743750581730799176990996075993707217596424571377530573143456489292133/26137829464010531416595413653292022283666705228956378295083092637476977596923678183259228371442729227858088850178789962382638435375134252687197032322541141657668151461280848722528580134063517099968501459339056494393244775318810601584400464831479420051039191040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.0125484780758341539e-06,1.0125484780758342573,positive,exact rational presentation sample of the explicit degree-80 active-column polynomial
70,7/10,0.7,3769327/10000000,0.376932700000000009,773481427819133682710812242314975756077218256247633522230840254902024660285464631359758049574921482671394725629629403851603292990729606511646845343094668792630062277148570177263677806016097005749103803434081761342533526376894454677446048002225398771186795423129116947865919105718886496836282738712661194360516320086427687486579216418648231431689417681425875163470962868347021031464052489105426306606160365969103090819969543825023226900268946843232325706202112594532060383749945992609727670676151150126329593970910971113314093514715775877608473561376958066690015450625636233332726733242768024314206299752474849234545377533894563887371053800301164219311546117937246440996260753610983199852123713702306974874156731409376246762642896718489916085640615360244980034571452026170484818496250341781512433165743954798760309627228748808763147345364448683527566324003057826719581/725835909445632237378023829363523479692309409721484971995956826666258400452831529983461436092176483060165108868580017564168481518767049862480248802800428513839022086618413619315188394294651603872967734251012128792396669242386669269052002355850800038650338521440127985959072068075834572800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.0656422722456531484e-06,1.0656422722456531105,positive,exact rational presentation sample of the explicit degree-80 active-column polynomial
71,71/100,0.71,37693271/100000000,0.376932710000000004,127967737304950843864375376149627534955334818180725640897077773554645608580861054602954451108522935198670662919409120500148196345706908335821183364324293600510052277725633694038421394847585086155239875725947421531475517611273112100871307209923707442401510307872474620413947773631617856007009209631059085395189924763763867180490782467434130800309434529548552021256321170115134462937925166062679750100443303203172355832381750519917118541013085499229359330093703196758254355017839827266763916225577080734451725449361237961203730055466855964843412600931637366295422868622458643479505968302409515853607858185539210434643709879790721912519823360298212718646327563842396795478850061918704221494733316112324170851767654121977979840695155869181722394337841096759314615017250159134767156998167767351741067036406077423594585022195839464629251799792067167966478926314203162893745662187062397183260142744297679840698653697861547/114385994038483181528889588916948764039908238405751914274907024542420312452206272588306547335902323391821668585346865437888548519038113389564417685416213410623761569206219061991763357509715911979703904080558741013752943336363798062202935261956536648335360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.1187360688748162118e-06,1.1187360688748162474,positive,exact rational presentation sample of the explicit degree-80 active-column polynomial
72,18/25,0.72,4711659/12500000,0.376932719999999999,42083280744800701621970911766075786222735181923923918704161192829069225575899072376903366218367390489754622871301614363283031135236734500186097141925198944148742279357007150190352026656154287036357399536099479665376974948070152295329742208082674893932140446054973941497526447405908925768940291309083006837934947055106499509319203407927287296037456674833613696208622529731543174347327767003176395176110916395340427884205035185381064997363759049620097722100141539331857847694126106890610628831727890379763381963885280663488973611703185642296961804149076748779175708696569973717264483439231939481846705426547965752126560553937505477508898038490177452375093870550804079389715841969499412751010773297254970155631454974536533873581746192752078676605893540503250680824641807309186453608824237895048984644755739779775807613472631699973021549691230928879/35912449319919398348751949311480594048957039346587893480153634022752746735309983698846421967224147570300011424507215344872676580790833953568579321335319488101785349395817472524742908216669202868387539656448019566470152460677780292660409022271311771257697371455398120176815995169922823631463919813800354011977325748475483071574205573908700195318033365765586495399475097656250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.1718298679633237673e-06,1.1718298679633236681,positive,exact rational presentation sample of the explicit degree-80 active-column polynomial
