R,p,epsilon,K,H,HFromRatio,Z,L2Bound,L4Bound,separateTermFloorSup,mixedFloorLooseSlack,passed
32.0,1.0,3.070529847682755,128.0,0.29462979829720887,0.2946297982972089,347.9958292713858,0.1608276524646971,0.04809480728734415,0.04665536688544436,0.0014394404018997949,True
128.0,0.25,3.7702189362218492,0.03125,0.027762794584073852,0.02776279458407386,97.67441648563971,89.06991004008441,0.053255276559610654,0.05325397532966213,1.3012299485172518e-06,True
128.0,0.25,3.7702189362218492,0.5,0.027762794584073852,0.02776279458407386,97.67441648563971,8.56394804553226,0.05302040088845639,0.05299970541057959,2.0695477876796556e-05,True
128.0,0.25,3.7702189362218492,8.0,0.027762794584073852,0.02776279458407386,97.67441648563971,0.5779767886370926,0.04954013106044865,0.04923817254577911,0.00030195851466953676,True
128.0,0.25,3.7702189362218492,128.0,0.027762794584073852,0.02776279458407386,97.67441648563971,0.04154311052582896,0.02488781000797994,0.023088527629819798,0.00179928237816014,True
128.0,0.5,3.7702189362218492,0.03125,0.055525589168147704,0.05552558916814772,390.69766594255884,176.26952617007845,0.03355615660176532,0.033555951609424595,2.0499234073146494e-07,True
128.0,0.5,3.7702189362218492,0.5,0.055525589168147704,0.05552558916814772,390.69766594255884,20.605114470548806,0.03351901837911271,0.03351574341370589,3.274965406818882e-06,True
128.0,0.5,3.7702189362218492,8.0,0.055525589168147704,0.05552558916814772,390.69766594255884,1.4168167162485397,0.03293644008835822,0.032885270508858214,5.1169579500009825e-05,True
128.0,0.5,3.7702189362218492,128.0,0.055525589168147704,0.05552558916814772,390.69766594255884,0.09571114554454421,0.025865081570077678,0.025277307874416753,0.0005877736956609245,True
128.0,1.0,3.7702189362218492,0.03125,0.11105117833629541,0.11105117833629542,1562.7906637702354,343.9676749688989,0.021140225251914085,0.021140192965222595,3.228669149049623e-08,True
128.0,1.0,3.7702189362218492,0.5,0.11105117833629541,0.11105117833629542,1562.7906637702354,48.12227302774328,0.021134370508395832,0.02113385411494855,5.163934472824511e-07,True
128.0,1.0,3.7702189362218492,8.0,0.11105117833629541,0.11105117833629542,1562.7906637702354,3.5062178167942983,0.021041160036527833,0.021032947030689676,8.213005838152848e-06,True
128.0,1.0,3.7702189362218492,128.0,0.11105117833629541,0.11105117833629542,1562.7906637702354,0.22981815871070596,0.019660014039999667,0.019540181724040373,0.00011983231595929459,True
512.0,0.25,4.706352247561483,0.03125,0.01081530833892921,0.010815308338929215,422.23473520321204,178.9971883339174,0.01917258745345669,0.019172499128918257,8.832453843353807e-08,True
512.0,0.25,4.706352247561483,0.5,0.01081530833892921,0.010815308338929215,422.23473520321204,13.99784606454884,0.019152650910601074,0.019151239676551846,1.4112340492289897e-06,True
512.0,0.25,4.706352247561483,8.0,0.01081530833892921,0.010815308338929215,422.23473520321204,0.902356575158307,0.018839477231313975,0.018817388674246566,2.2088557067407363e-05,True
512.0,0.25,4.706352247561483,128.0,0.01081530833892921,0.010815308338929215,422.23473520321204,0.05970662450199053,0.01497281949741839,0.014713528091770555,0.0002592914056478348,True
512.0,0.5,4.706352247561483,0.03125,0.02163061667785842,0.02163061667785843,1688.9389408128482,379.0738019480688,0.012078601938360446,0.01207858802715214,1.3911208306604736e-08,True
512.0,0.5,4.706352247561483,0.5,0.02163061667785842,0.02163061667785843,1688.9389408128482,34.587056271053086,0.012075459216615288,0.012075236714476108,2.225021391813898e-07,True
512.0,0.5,4.706352247561483,8.0,0.02163061667785842,0.02163061667785843,1688.9389408128482,2.249467859027825,0.01202540788819817,0.012021867513510521,3.540374687647889e-06,True
512.0,0.5,4.706352247561483,128.0,0.02163061667785842,0.02163061667785843,1688.9389408128482,0.14497930416063556,0.011279881634200193,0.01122788150263452,5.20001315656739e-05,True
512.0,1.0,4.706352247561483,0.03125,0.04326123335571684,0.043261233355716855,6755.755763251393,750.9922087425066,0.007609141435621124,0.007609139244705099,2.1909160254247884e-09,True
512.0,1.0,4.706352247561483,0.5,0.04326123335571684,0.043261233355716855,6755.755763251393,84.210498514525,0.007608646373142363,0.007608611321526057,3.505161630596495e-08,True
512.0,1.0,4.706352247561483,8.0,0.04326123335571684,0.043261233355716855,6755.755763251393,5.628331529530049,0.007600734550866959,0.00760017450226338,5.60048603579855e-07,True
512.0,1.0,4.706352247561483,128.0,0.04326123335571684,0.043261233355716855,6755.755763251393,0.35839398175367654,0.007476451493879686,0.00746768564419837,8.765849681315638e-06,True
