r,M,target,y,absoluteY,sign,absoluteYOverM,observedBlockGrowth,classification
52,411376139330301510538742295639337626245683966408394965837152256,54850151910706868071832306085245016832757862187785995444953634,-36749159333799997824499250329231448061192078654779875493215563845660766,36749159333799997824499250329231448061192078654779875493215563845660766,-1,89332257.8057776,22.7522310120438,exact recurrence value
53,6582018229284824168619876730229402019930943462534319453394436096,877602430571309889149316897363920269324125795004575927119258146,-924299768956861361639829412831559906086330438936870389908142532005471902,924299768956861361639829412831559906086330438936870389908142532005471902,-1,140428017.17632,22.7953111911323,exact recurrence value
54,105312291668557186697918027683670432318895095400549111254310977536,14041638889140958226389070357822724309186012720073214833908130338,-23247608290722509808703534091025332821567505977192865839605842825756562654,23247608290722509808703534091025332821567505977192865839605842825756562654,-1,220749239.451443,22.8368728997727,exact recurrence value
55,1684996666696914987166688442938726917102321526408785780068975640576,224666222226255331622225125725163588946976203521171437342530085410,-584714298013339882404130779502289463603295529463838653084665921657190251294,584714298013339882404130779502289463603295529463838653084665921657190251294,-1,347012139.293753,22.8769949658926,exact recurrence value
56,26959946667150639794667015087019630673637144422540572481103610249216,3594659555620085305955602011602617423151619256338742997480481366562,-14706493921969526283620916654842269408994506804075103771156213931124985272670,14706493921969526283620916654842269408994506804075103771156213931124985272670,-1,545494177.104165,22.9157508584363,exact recurrence value
57,431359146674410236714672241392314090778194310760649159697657763987456,57514552889921364895289632185641878770425908101419887959687701864994,-369891695998806426065320472142266695527868230900074515910842421729671951724446,369891695998806426065320472142266695527868230900074515910842421729671951724446,-1,857502846.179359,22.9532091348002,exact recurrence value
58,6901746346790563787434755862277025452451108972170386555162524223799296,920232846238741838324634114970270060326814529622718207355003229839906,-9303364041119808054698483716126692936757257921788497270443893353519688521792990,9303364041119808054698483716126692936757257921788497270443893353519688521792990,-1,1347972465.75804,22.9894338442057,exact recurrence value
59,110427941548649020598956093796432407239217743554726184882600387580788736,14723725539819869413194145839524320965229032473963491317680051677438498,-233994391872108765630381320963613749060346621886949297402073120629984160359171102,233994391872108765630381320963613749060346621886949297402073120629984160359171102,-1,2118978119.03903,23.0244848919866,exact recurrence value
60,1766847064778384329583297500742918515827483896875618958121606201292619776,235579608637117910611106333432389135443664519583415861082880826839015970,-5885330852197563741780642635385842249765854639667830842469118669757921015498261086,5885330852197563741780642635385842249765854639667830842469118669757921015498261086,-1,3330979216.88868,23.0584183691385,exact recurrence value
61,28269553036454149273332760011886696253239742350009903329945699220681916416,3769273738193886569777701334918226167098632313334653777326093229424255522,-148025424711350295852860733152360211873322301933357058250702643651566097000317892766,148025424711350295852860733152360211873322301933357058250702643651566097000317892766,-1,5236213834.73833,23.0912868509331,exact recurrence value
62,452312848583266388373324160190187140051835877600158453279131187530910662656,60308379811102185116443221358691618673578117013354460437217491670788088354,-3723074693690798278184326550036327668486991630063154212253979961013026851351963936478,3723074693690798278184326550036327668486991630063154212253979961013026851351963936478,-1,8231193753.06761,23.123139667931,exact recurrence value
63,7237005577332262213973186563042994240829374041602535252466099000494570602496,964934076977634961863091541739065898777249872213671366995479866732609413666,-93641245761416045008212322740685387583510280975840204415813129841253972410525780839710,93641245761416045008212322740685387583510280975840204415813129841253972410525780839710,-1,12939225313.6738,23.154023152322,exact recurrence value
64,115792089237316195423570985008687907853269984665640564039457584007913129639936,15438945231642159389809464667825054380435997955418741871927677867721750618658,-2355226158213120393054327649870001057215310269898626409751450323121895005581142354651998,2355226158213120393054327649870001057215310269898626409751450323121895005581142354651998,-1,20340130087.696,23.1839808621731,exact recurrence value
65,1852673427797059126777135760139006525652319754650249024631321344126610074238976,247023123706274550236951434685200870086975967286699869950842845883548009898530,-59237681121722992735016812981631090662641829233422263294631377173726966358288404633633182,59237681121722992735016812981631090662641829233422263294631377173726966358288404633633182,-1,31974162436.2585,23.213053785861,exact recurrence value
66,29642774844752946028434172162224104410437116074403984394101141506025761187823616,3952369979300392803791222954963213921391615476587197919213485534136768158376482,-1489921828700643189915579229593851652961964306621145604998721456174920113620815978874671070,1489921828700643189915579229593851652961964306621145604998721456174920113620815978874671070,-1,50262562681.927,23.2412805286995,exact recurrence value
