L,M,target,targetFraction,normalizedSignedRatio,cancellationConditionNumber,orderedQuarticPaths,classification
1,256,34,0.1328125,1.2222453679486283e-05,119.87611513459616,120666,finite long-double observation
1,256,35,0.13671875,1.1184856033684498e-05,139.50801026005234,121230,finite long-double observation
1,256,36,0.140625,1.2371482325929561e-05,134.09303963877349,121788,finite long-double observation
1,256,37,0.14453125,1.9637990110816402e-05,89.666160273000656,122340,finite long-double observation
1,256,38,0.1484375,2.6035126255672354e-05,71.680148166820629,122886,finite long-double observation
1,256,39,0.15234375,1.5289352761207278e-05,129.17281669778137,123426,finite long-double observation
1,256,40,0.15625,1.5092240886730761e-05,138.29537277870131,123960,finite long-double observation
1,256,41,0.16015625,1.388719030050151e-05,158.62666486107315,124488,finite long-double observation
1,256,42,0.1640625,2.3459310085096147e-05,98.982657685005151,125010,finite long-double observation
1,256,43,0.16796875,2.1168640425053122e-05,115.48999490877134,125526,finite long-double observation
1,256,44,0.171875,2.9779369963724055e-05,86.335018522262288,126036,finite long-double observation
1,256,45,0.17578125,2.2409964562714225e-05,120.51749556018507,126540,finite long-double observation
1,256,46,0.1796875,2.1176181085012184e-05,133.83695432816251,127038,finite long-double observation
1,256,47,0.18359375,2.2042384321747746e-05,134.79070010143229,127530,finite long-double observation
1,256,48,0.1875,2.7037398747358929e-05,115.08755811579435,128016,finite long-double observation
1,256,49,0.19140625,2.9626959324050239e-05,109.8948783848991,128496,finite long-double observation
1,256,50,0.1953125,3.3391209496076505e-05,101.93319021426562,128970,finite long-double observation
1,256,51,0.19921875,2.8082645694463693e-05,126.59587591432751,129438,finite long-double observation
1,256,52,0.203125,3.2785646647416852e-05,113.16808637086717,129900,finite long-double observation
1,256,53,0.20703125,2.3143893673015427e-05,167.17632068423458,130356,finite long-double observation
1,256,54,0.2109375,2.4119243654424393e-05,167.15390986609762,130806,finite long-double observation
1,256,55,0.21484375,3.0890151671780764e-05,135.89590989668864,131250,finite long-double observation
1,256,56,0.21875,3.6981387602054758e-05,118.1075238829612,131688,finite long-double observation
1,256,57,0.22265625,3.5310401399753645e-05,128.61481235939584,132120,finite long-double observation
1,256,58,0.2265625,4.1455402685818808e-05,113.8292242917485,132546,finite long-double observation
1,256,59,0.23046875,3.1420628602443278e-05,155.94773554936776,132966,finite long-double observation
1,256,60,0.234375,3.1467273413959681e-05,161.59224228990729,133380,finite long-double observation
1,256,61,0.23828125,4.3271860162367812e-05,121.86944814907044,133788,finite long-double observation
1,256,62,0.2421875,4.1783120006348273e-05,130.81679136978184,134190,finite long-double observation
1,256,63,0.24609375,4.5342878975072036e-05,124.87343180250201,134586,finite long-double observation
1,256,64,0.25,4.6805106396556011e-05,125.24454628936222,134976,finite long-double observation
1,256,65,0.25390625,4.4217772583930493e-05,137.18077071161179,135360,finite long-double observation
1,256,66,0.2578125,6.0987888372912543e-05,102.86232135522359,135738,finite long-double observation
1,256,67,0.26171875,4.5409940147937926e-05,142.8028737898035,136110,finite long-double observation
1,256,68,0.265625,5.2545077153409589e-05,127.50523833673411,136476,finite long-double observation
1,256,69,0.26953125,3.083753490751271e-05,224.35855722188433,136836,finite long-double observation
1,256,70,0.2734375,4.5692070479106603e-05,156.29292003197892,137190,finite long-double observation
1,256,71,0.27734375,5.0984720749358788e-05,144.51033464822603,137538,finite long-double observation
1,256,72,0.28125,7.0664109482683214e-05,107.52388433685887,137880,finite long-double observation
1,256,73,0.28515625,5.4994724519586879e-05,142.41596310962254,138216,finite long-double observation
1,256,74,0.2890625,5.0679653990391356e-05,159.2346658788131,138546,finite long-double observation
1,256,75,0.29296875,8.3747250937776332e-05,99.245877922439277,138870,finite long-double observation
1,256,76,0.296875,6.8500702057394178e-05,124.91780702587013,139188,finite long-double observation
1,256,77,0.30078125,6.0538362990234532e-05,145.4634133016323,139500,finite long-double observation
1,256,78,0.3046875,6.3933623073479936e-05,141.69448835425828,139806,finite long-double observation
1,256,79,0.30859375,6.9977046086558314e-05,133.12545713536215,140106,finite long-double observation
1,256,80,0.3125,7.3020215469968787e-05,131.14398916526136,140400,finite long-double observation
1,256,81,0.31640625,6.3612200930421525e-05,154.69268621797912,140688,finite long-double observation
1,256,82,0.3203125,7.4542513547488733e-05,135.60392053840317,140970,finite long-double observation
1,256,83,0.32421875,7.0755586565815948e-05,146.70074503168081,141246,finite long-double observation
1,256,84,0.328125,8.0752087549077961e-05,131.95017868105217,141516,finite long-double observation
1,256,85,0.33203125,7.0741916221125437e-05,154.56622944288188,141780,finite long-double observation
1,256,86,0.3359375,6.6149275647943889e-05,169.57195390427691,142038,finite long-double observation
1,256,87,0.33984375,9.6013533921057151e-05,119.81114710491296,142290,finite long-double observation
1,256,88,0.34375,9.0167126014753963e-05,130.79696993543544,142536,finite long-double observation
1,256,89,0.34765625,7.2818772305604661e-05,165.99199523965584,142776,finite long-double observation
1,256,90,0.3515625,9.1115474143511031e-05,135.92329903660848,143010,finite long-double observation
1,256,91,0.35546875,9.7450726191233879e-05,130.17572133655864,143238,finite long-double observation
1,256,92,0.359375,0.00012835157718806703,101.20892256534246,143460,finite long-double observation
1,256,93,0.36328125,9.3407621052814233e-05,142.3707936801155,143676,finite long-double observation
1,256,94,0.3671875,0.00011310910503545123,120.32875011061564,143886,finite long-double observation
1,256,95,0.37109375,7.600575352980633e-05,183.21752498410731,144090,finite long-double observation
1,256,96,0.375,0.00011078888620714088,128.57267737582183,144288,finite long-double observation
1,256,97,0.37890625,0.00011744158675124968,124.0341689552086,144480,finite long-double observation
1,256,98,0.3828125,0.00010655106930932113,139.76961811715717,144666,finite long-double observation
1,256,99,0.38671875,0.00010996969208334082,138.41904207682947,144846,finite long-double observation
1,256,100,0.390625,9.6545053037973527e-05,161.11274041973576,145020,finite long-double observation
1,256,101,0.39453125,0.00011215064836886271,141.69150644195204,145188,finite long-double observation
1,256,102,0.3984375,0.00014889343996185895,109.006437934247,145350,finite long-double observation
1,256,103,0.40234375,9.8003474136431238e-05,169.10890531946566,145506,finite long-double observation
1,256,104,0.40625,0.00010623772918317343,159.26091701590622,145656,finite long-double observation
1,256,105,0.41015625,8.2738138426032538e-05,208.71983110809316,145800,finite long-double observation
1,256,106,0.4140625,0.00012738500350345576,138.33613208233328,145938,finite long-double observation
1,256,107,0.41796875,0.00010875157530433044,165.31314241475775,146070,finite long-double observation
1,256,108,0.421875,0.0001411432256630847,129.92057287886203,146196,finite long-double observation
1,256,109,0.42578125,0.00013980276862419293,133.75951550004436,146316,finite long-double observation
1,256,110,0.4296875,0.00012054081298797712,158.16766652190196,146430,finite long-double observation
1,256,111,0.43359375,0.00013463916315460903,144.34509158639031,146538,finite long-double observation
1,256,112,0.4375,0.00016822339794577353,117.73895758332863,146640,finite long-double observation
1,256,113,0.44140625,0.00014808951056560036,136.27880187630112,146736,finite long-double observation
1,256,114,0.4453125,0.00014227413717906692,144.50629618226429,146826,finite long-double observation
1,256,115,0.44921875,0.00016530384126522637,126.67917906015117,146910,finite long-double observation
1,256,116,0.453125,0.00016135456144244183,132.15965971922392,146988,finite long-double observation
1,256,117,0.45703125,0.00012281801941211961,176.77779637815766,147060,finite long-double observation
1,256,118,0.4609375,8.6136443619755788e-05,256.58502917860926,147126,finite long-double observation
1,256,119,0.46484375,0.00016176828776149927,139.05070610961133,147186,finite long-double observation
1,256,120,0.46875,0.00017043827052631982,134.29775857731528,147240,finite long-double observation
1,256,121,0.47265625,0.00012860856137784568,181.07449991085849,147288,finite long-double observation
1,256,122,0.4765625,0.00019145343936575757,123.73093638047615,147330,finite long-double observation
1,256,123,0.48046875,0.00017340214876341201,138.93935698198524,147366,finite long-double observation
1,256,124,0.484375,0.00017832325096708959,137.38364070729892,147396,finite long-double observation
1,256,125,0.48828125,0.00017048494145529625,146.09861019326777,147420,finite long-double observation
1,256,126,0.4921875,0.00012361396322126711,204.82383017866579,147438,finite long-double observation
1,256,127,0.49609375,0.00017924794309339323,143.56130978140732,147450,finite long-double observation
1,256,128,0.5,0.00016583611104722482,157.68290186593524,147456,finite long-double observation
1,256,129,0.50390625,0.00024417739502717063,108.80772879712157,147456,finite long-double observation
1,256,130,0.5078125,0.00021889044550404377,123.301989687004,147450,finite long-double observation
1,256,131,0.51171875,0.00020693780501299252,132.47067022539434,147438,finite long-double observation
1,256,132,0.515625,0.00016329176808426742,170.48639707863782,147420,finite long-double observation
1,256,133,0.51953125,0.00021468477138012452,131.66785662382793,147396,finite long-double observation
1,256,134,0.5234375,0.00029515137455158463,97.229139293762969,147366,finite long-double observation
1,256,135,0.52734375,0.0001403605150889822,207.53460838350654,147330,finite long-double observation
1,256,136,0.53125,0.00019103473674843372,154.75762524475513,147288,finite long-double observation
1,256,137,0.53515625,0.00010615344810625292,282.6145926253725,147240,finite long-double observation
1,256,138,0.5390625,0.0002375284398638192,128.14846070854134,147186,finite long-double observation
1,256,139,0.54296875,0.0002213846469827331,139.4821124562026,147126,finite long-double observation
1,256,140,0.546875,0.00025823273573870933,121.29112939006987,147060,finite long-double observation
1,256,141,0.55078125,0.00024381228506191959,130.28577583267781,146988,finite long-double observation
1,256,142,0.5546875,0.00018570119290553313,173.45574085272634,146910,finite long-double observation
1,256,143,0.55859375,0.00021185523791391906,154.15373987424073,146826,finite long-double observation
1,256,144,0.5625,0.00028878446269505603,114.64339363511256,146736,finite long-double observation
1,256,145,0.56640625,0.00017684296160075502,189.76010127301547,146640,finite long-double observation
1,256,146,0.5703125,0.00027833810627260063,122.18858122104098,146538,finite long-double observation
1,256,147,0.57421875,0.00018042686666011753,191.00907348237712,146430,finite long-double observation
1,256,148,0.578125,0.00025386023321829083,137.54799547044718,146316,finite long-double observation
1,256,149,0.58203125,0.00016200322408237399,218.35409321563793,146196,finite long-double observation
1,256,150,0.5859375,0.00022864615572028884,156.7111695249915,146070,finite long-double observation
1,256,151,0.58984375,0.00028637179566013663,126.72308938279676,145938,finite long-double observation
1,256,152,0.59375,0.00029976444674733146,122.59471561061831,145800,finite long-double observation
1,256,153,0.59765625,0.00024296763992018435,153.14876653745245,145656,finite long-double observation
1,256,154,0.6015625,0.00029632342983539653,127.1307576377651,145506,finite long-double observation
1,256,155,0.60546875,0.00023704868484032847,160.87138925268101,145350,finite long-double observation
1,256,156,0.609375,0.00030389012095751497,127.01206445323982,145188,finite long-double observation
1,256,157,0.61328125,0.0002878798235505137,135.68798206615585,145020,finite long-double observation
1,256,158,0.6171875,0.00024586144339329067,160.76795530531362,144846,finite long-double observation
1,256,159,0.62109375,0.00029508619292255517,135.52672915448483,144666,finite long-double observation
1,256,160,0.625,0.00028545906526736172,141.7297212600788,144480,finite long-double observation
1,256,161,0.62890625,0.00030898164971077693,132.44951187734091,144288,finite long-double observation
1,256,162,0.6328125,0.00038237999791405821,108.24649877423906,144090,finite long-double observation
1,256,163,0.63671875,0.00028868092668492962,144.99897812716299,143886,finite long-double observation
1,256,164,0.640625,0.00031467055321772333,134.50836534179624,143676,finite long-double observation
1,256,165,0.64453125,0.00016191460404016317,264.29589396109827,143460,finite long-double observation
1,256,166,0.6484375,0.00023542401262654863,183.75776463243568,143238,finite long-double observation
1,256,167,0.65234375,0.00029237344195904463,149.56426089627581,143010,finite long-double observation
1,256,168,0.65625,0.000381025401112887,115.99270422254034,142776,finite long-double observation
1,256,169,0.66015625,0.00029677663148451063,150.49552641369377,142536,finite long-double observation
