radiusOverOptimal,nearContribution,farContribution,totalBound
2.206734069085e-01,3.310101103627e-01,9.646616199112e+00,9.977626309475e+00
2.238721138568e-01,3.358081707853e-01,9.440608762859e+00,9.776416933644e+00
2.271171867280e-01,3.406757800920e-01,9.239000699704e+00,9.579676479796e+00
2.304092976056e-01,3.456139464084e-01,9.041698059235e+00,9.387312005643e+00
2.337491283153e-01,3.506236924730e-01,8.848608897387e+00,9.199232589860e+00
2.371373705662e-01,3.557060558492e-01,8.659643233601e+00,9.015349289450e+00
2.405747260934e-01,3.608620891401e-01,8.474713008888e+00,8.835575098028e+00
2.440619068042e-01,3.660928602063e-01,8.293732044796e+00,8.659824905003e+00
2.475996349250e-01,3.713994523875e-01,8.116616003249e+00,8.488015455636e+00
2.511886431510e-01,3.767829647264e-01,7.943282347243e+00,8.320065311969e+00
2.548296747979e-01,3.822445121969e-01,7.773650302388e+00,8.155894814585e+00
2.585234839562e-01,3.877852259343e-01,7.607640819263e+00,7.995426045197e+00
2.622708356468e-01,3.934062534702e-01,7.445176536580e+00,7.838582790050e+00
2.660725059799e-01,3.991087589698e-01,7.286181745132e+00,7.685290504102e+00
2.699292823154e-01,4.048939234731e-01,7.130582352516e+00,7.535476275989e+00
2.738419634264e-01,4.107629451397e-01,6.978305848599e+00,7.389068793738e+00
2.778113596643e-01,4.167170394964e-01,6.829281271733e+00,7.245998311229e+00
2.818382931264e-01,4.227574396897e-01,6.683439175686e+00,7.106196615376e+00
2.859235978271e-01,4.288853967406e-01,6.540711597278e+00,6.969596994018e+00
2.900681198693e-01,4.351021798040e-01,6.401032024709e+00,6.836134204513e+00
2.942727176209e-01,4.414090764314e-01,6.264335366569e+00,6.705744443000e+00
2.985382618918e-01,4.478073928377e-01,6.130557921498e+00,6.578365314336e+00
3.028656361144e-01,4.542984541716e-01,5.999637348508e+00,6.453935802679e+00
3.072557365267e-01,4.608836047901e-01,5.871512637925e+00,6.332396242715e+00
3.117094723580e-01,4.675642085370e-01,5.746124082965e+00,6.213688291502e+00
3.162277660168e-01,4.743416490253e-01,5.623413251903e+00,6.097754900929e+00
3.208115532824e-01,4.812173299235e-01,5.503322960852e+00,5.984540290775e+00
3.254617834980e-01,4.881926752471e-01,5.385797247106e+00,5.873989922353e+00
3.301794197683e-01,4.952691296524e-01,5.270781343067e+00,5.766050472720e+00
3.349654391578e-01,5.024481587367e-01,5.158221650723e+00,5.660669809460e+00
3.398208328943e-01,5.097312493414e-01,5.048065716667e+00,5.557796966009e+00
3.447466065731e-01,5.171199098597e-01,4.940262207659e+00,5.457382117518e+00
3.497437803664e-01,5.246156705496e-01,4.834760886697e+00,5.359376557247e+00
3.548133892336e-01,5.322200838504e-01,4.731512589615e+00,5.263732673465e+00
3.599564831361e-01,5.399347247041e-01,4.630469202165e+00,5.170403926869e+00
3.651741272548e-01,5.477611908823e-01,4.531583637601e+00,5.079344828483e+00
3.704674022107e-01,5.557011033161e-01,4.434809814731e+00,4.990510918047e+00
3.758374042884e-01,5.637561064327e-01,4.340102636447e+00,4.903858742880e+00
3.812852456636e-01,5.719278684954e-01,4.247417968710e+00,4.819345837205e+00
3.868120546331e-01,5.802180819496e-01,4.156712619977e+00,4.736930701927e+00
3.924189758485e-01,5.886284637727e-01,4.067944321083e+00,4.656572784856e+00
3.981071705535e-01,5.971607558302e-01,3.981071705535e+00,4.578232461365e+00
4.038778168243e-01,6.058167252365e-01,3.896054290240e+00,4.501871015476e+00
4.097321098135e-01,6.145981647203e-01,3.812852456636e+00,4.427450621357e+00
4.156712619977e-01,6.235068929966e-01,3.731427432235e+00,4.354934325232e+00
4.216965034286e-01,6.325447551429e-01,3.651741272548e+00,4.284286027691e+00
4.278090819876e-01,6.417136229815e-01,3.573756843409e+00,4.215470466390e+00
4.340102636447e-01,6.510153954671e-01,3.497437803664e+00,4.148453199131e+00
