dOverOptimal,production,dissipation,profit
1.43000000,5.230726582437e+00,4.290000000000e+00,9.407265824373e-01
1.44000000,5.258136552050e+00,4.320000000000e+00,9.381365520496e-01
1.45000000,5.285498975764e+00,4.350000000000e+00,9.354989757636e-01
1.46000000,5.312814263111e+00,4.380000000000e+00,9.328142631111e-01
1.47000000,5.340082817318e+00,4.410000000000e+00,9.300828173179e-01
1.48000000,5.367305035443e+00,4.440000000000e+00,9.273050354431e-01
1.49000000,5.394481308514e+00,4.470000000000e+00,9.244813085142e-01
1.50000000,5.421612021659e+00,4.500000000000e+00,9.216120216591e-01
1.51000000,5.448697554233e+00,4.530000000000e+00,9.186975542331e-01
1.52000000,5.475738279944e+00,4.560000000000e+00,9.157382799437e-01
1.53000000,5.502734566971e+00,4.590000000000e+00,9.127345669709e-01
1.54000000,5.529686778084e+00,4.620000000000e+00,9.096867780844e-01
1.55000000,5.556595270758e+00,4.650000000000e+00,9.065952707582e-01
1.56000000,5.583460397281e+00,4.680000000000e+00,9.034603972810e-01
1.57000000,5.610282504864e+00,4.710000000000e+00,9.002825048644e-01
1.58000000,5.637061935748e+00,4.740000000000e+00,8.970619357481e-01
1.59000000,5.663799027302e+00,4.770000000000e+00,8.937990273018e-01
1.60000000,5.690494112125e+00,4.800000000000e+00,8.904941121246e-01
1.61000000,5.717147518142e+00,4.830000000000e+00,8.871475181421e-01
1.62000000,5.743759568701e+00,4.860000000000e+00,8.837595687006e-01
1.63000000,5.770330582659e+00,4.890000000000e+00,8.803305826589e-01
1.64000000,5.796860874477e+00,4.920000000000e+00,8.768608744775e-01
1.65000000,5.823350754306e+00,4.950000000000e+00,8.733507543060e-01
1.66000000,5.849800528068e+00,4.980000000000e+00,8.698005280678e-01
1.67000000,5.876210497543e+00,5.010000000000e+00,8.662104975427e-01
1.68000000,5.902580960448e+00,5.040000000000e+00,8.625809604478e-01
1.69000000,5.928912210516e+00,5.070000000000e+00,8.589122105155e-01
1.70000000,5.955204537571e+00,5.100000000000e+00,8.552045375707e-01
1.71000000,5.981458227605e+00,5.130000000000e+00,8.514582276049e-01
1.72000000,6.007673562849e+00,5.160000000000e+00,8.476735628493e-01
1.73000000,6.033850821846e+00,5.190000000000e+00,8.438508218458e-01
1.74000000,6.059990279516e+00,5.220000000000e+00,8.399902795163e-01
1.75000000,6.086092207230e+00,5.250000000000e+00,8.360922072299e-01
1.76000000,6.112156872869e+00,5.280000000000e+00,8.321568728693e-01
1.77000000,6.138184540895e+00,5.310000000000e+00,8.281845408949e-01
1.78000000,6.164175472408e+00,5.340000000000e+00,8.241754724076e-01
1.79000000,6.190129925210e+00,5.370000000000e+00,8.201299252103e-01
1.80000000,6.216048153867e+00,5.400000000000e+00,8.160481538672e-01
1.81000000,6.241930409763e+00,5.430000000000e+00,8.119304097631e-01
1.82000000,6.267776941160e+00,5.460000000000e+00,8.077769411596e-01
1.83000000,6.293587993251e+00,5.490000000000e+00,8.035879932513e-01
1.84000000,6.319363808220e+00,5.520000000000e+00,7.993638082201e-01
1.85000000,6.345104625288e+00,5.550000000000e+00,7.951046252885e-01
1.86000000,6.370810680771e+00,5.580000000000e+00,7.908106807713e-01
1.87000000,6.396482208127e+00,5.610000000000e+00,7.864822081268e-01
1.88000000,6.422119438006e+00,5.640000000000e+00,7.821194380059e-01
1.89000000,6.447722598301e+00,5.670000000000e+00,7.777225983008e-01
1.90000000,6.473291914193e+00,5.700000000000e+00,7.732919141928e-01
1.91000000,6.498827608198e+00,5.730000000000e+00,7.688276081980e-01
1.92000000,6.524329900213e+00,5.760000000000e+00,7.643299002130e-01
1.93000000,6.549799007559e+00,5.790000000000e+00,7.597990075590e-01
1.94000000,6.575235145026e+00,5.820000000000e+00,7.552351450256e-01
1.95000000,6.600638524913e+00,5.850000000000e+00,7.506385249125e-01
1.96000000,6.626009357072e+00,5.880000000000e+00,7.460093570716e-01
1.97000000,6.651347848947e+00,5.910000000000e+00,7.413478489471e-01
1.98000000,6.676654205615e+00,5.940000000000e+00,7.366542056154e-01
1.99000000,6.701928629824e+00,5.970000000000e+00,7.319286298241e-01
2.00000000,6.727171322030e+00,6.000000000000e+00,7.271713220297e-01
2.01000000,6.752382480435e+00,6.030000000000e+00,7.223824804350e-01
2.02000000,6.777562301025e+00,6.060000000000e+00,7.175623010253e-01
2.03000000,6.802710977605e+00,6.090000000000e+00,7.127109776045e-01
2.04000000,6.827828701830e+00,6.120000000000e+00,7.078287018296e-01
2.05000000,6.852915663245e+00,6.150000000000e+00,7.029156632448e-01
2.06000000,6.877972049316e+00,6.180000000000e+00,6.979720493156e-01
2.07000000,6.902998045461e+00,6.210000000000e+00,6.929980454608e-01
2.08000000,6.927993835085e+00,6.240000000000e+00,6.879938350851e-01
2.09000000,6.952959599610e+00,6.270000000000e+00,6.829595996104e-01
2.10000000,6.977895518507e+00,6.300000000000e+00,6.778955185067e-01
2.11000000,7.002801769322e+00,6.330000000000e+00,6.728017693223e-01
2.12000000,7.027678527713e+00,6.360000000000e+00,6.676785277130e-01
2.13000000,7.052525967472e+00,6.390000000000e+00,6.625259674718e-01
2.14000000,7.077344260557e+00,6.420000000000e+00,6.573442605567e-01
2.15000000,7.102133577119e+00,6.450000000000e+00,6.521335771187e-01
2.16000000,7.126894085529e+00,6.480000000000e+00,6.468940855293e-01
2.17000000,7.151625952407e+00,6.510000000000e+00,6.416259524071e-01
2.18000000,7.176329342644e+00,6.540000000000e+00,6.363293426441e-01
2.19000000,7.201004419431e+00,6.570000000000e+00,6.310044194312e-01
2.20000000,7.225651344284e+00,6.600000000000e+00,6.256513442840e-01
2.21000000,7.250270277067e+00,6.630000000000e+00,6.202702770668e-01
2.22000000,7.274861376017e+00,6.660000000000e+00,6.148613760173e-01
2.23000000,7.299424797770e+00,6.690000000000e+00,6.094247977705e-01
2.24000000,7.323960697382e+00,6.720000000000e+00,6.039606973817e-01
2.25000000,7.348469228350e+00,6.750000000000e+00,5.984692283495e-01
2.26000000,7.372950542639e+00,6.780000000000e+00,5.929505426387e-01
2.27000000,7.397404790702e+00,6.810000000000e+00,5.874047907017e-01
2.28000000,7.421832121500e+00,6.840000000000e+00,5.818321215004e-01
2.29000000,7.446232682528e+00,6.870000000000e+00,5.762326825278e-01
2.30000000,7.470606619828e+00,6.900000000000e+00,5.706066198281e-01
2.31000000,7.494954078018e+00,6.930000000000e+00,5.649540780179e-01
2.32000000,7.519275200306e+00,6.960000000000e+00,5.592752003058e-01
2.33000000,7.543570128512e+00,6.990000000000e+00,5.535701285122e-01
2.34000000,7.567839003089e+00,7.020000000000e+00,5.478390030889e-01
2.35000000,7.592081963138e+00,7.050000000000e+00,5.420819631378e-01
2.36000000,7.616299146430e+00,7.080000000000e+00,5.362991464296e-01
2.37000000,7.640490689422e+00,7.110000000000e+00,5.304906894222e-01
2.38000000,7.664656727279e+00,7.140000000000e+00,5.246567272789e-01
2.39000000,7.688797393886e+00,7.170000000000e+00,5.187973938857e-01
2.40000000,7.712912821869e+00,7.200000000000e+00,5.129128218687e-01
2.41000000,7.737003142611e+00,7.230000000000e+00,5.070031426114e-01
2.42000000,7.761068486271e+00,7.260000000000e+00,5.010684862714e-01
2.43000000,7.785108981797e+00,7.290000000000e+00,4.951089817966e-01
2.44000000,7.809124756942e+00,7.320000000000e+00,4.891247569417e-01
2.45000000,7.833115938284e+00,7.350000000000e+00,4.831159382837e-01
2.46000000,7.857082651238e+00,7.380000000000e+00,4.770826512380e-01
2.47000000,7.881025020073e+00,7.410000000000e+00,4.710250200734e-01
2.48000000,7.904943167927e+00,7.440000000000e+00,4.649431679271e-01
2.49000000,7.928837216820e+00,7.470000000000e+00,4.588372168199e-01
2.50000000,7.952707287671e+00,7.500000000000e+00,4.527072876705e-01
2.51000000,7.976553500310e+00,7.530000000000e+00,4.465535003097e-01
2.52000000,8.000375973495e+00,7.560000000000e+00,4.403759734949e-01
2.53000000,8.024174824923e+00,7.590000000000e+00,4.341748249235e-01
2.54000000,8.047950171247e+00,7.620000000000e+00,4.279501712467e-01
2.55000000,8.071702128083e+00,7.650000000000e+00,4.217021280830e-01
2.56000000,8.095430810031e+00,7.680000000000e+00,4.154308100311e-01
2.57000000,8.119136330683e+00,7.710000000000e+00,4.091363306830e-01
2.58000000,8.142818802637e+00,7.740000000000e+00,4.028188026368e-01
2.59000000,8.166478337509e+00,7.770000000000e+00,3.964783375089e-01
2.60000000,8.190115045947e+00,7.800000000000e+00,3.901150459468e-01
2.61000000,8.213729037641e+00,7.830000000000e+00,3.837290376406e-01
2.62000000,8.237320421336e+00,7.860000000000e+00,3.773204213356e-01
2.63000000,8.260889304843e+00,7.890000000000e+00,3.708893048433e-01
2.64000000,8.284435795054e+00,7.920000000000e+00,3.644357950536e-01
2.65000000,8.307959997946e+00,7.950000000000e+00,3.579599979455e-01
2.66000000,8.331462018599e+00,7.980000000000e+00,3.514620185990e-01
2.67000000,8.354941961205e+00,8.010000000000e+00,3.449419612053e-01
2.68000000,8.378399929078e+00,8.040000000000e+00,3.383999290782e-01
2.69000000,8.401836024665e+00,8.070000000000e+00,3.318360246646e-01
2.70000000,8.425250349555e+00,8.100000000000e+00,3.252503495546e-01
2.71000000,8.448643004492e+00,8.130000000000e+00,3.186430044923e-01
2.72000000,8.472014089386e+00,8.160000000000e+00,3.120140893858e-01
2.73000000,8.495363703317e+00,8.190000000000e+00,3.053637033171e-01
2.74000000,8.518691944552e+00,8.220000000000e+00,2.986919445517e-01
2.75000000,8.541998910549e+00,8.250000000000e+00,2.919989105489e-01
2.76000000,8.565284697971e+00,8.280000000000e+00,2.852846979708e-01
2.77000000,8.588549402692e+00,8.310000000000e+00,2.785494026918e-01
2.78000000,8.611793119808e+00,8.340000000000e+00,2.717931198079e-01
2.79000000,8.635015943646e+00,8.370000000000e+00,2.650159436459e-01
2.80000000,8.658217967772e+00,8.400000000000e+00,2.582179677722e-01
2.81000000,8.681399285001e+00,8.430000000000e+00,2.513992850015e-01
2.82000000,8.704559987406e+00,8.460000000000e+00,2.445599874057e-01
2.83000000,8.727700166323e+00,8.490000000000e+00,2.377001663227e-01
2.84000000,8.750819912364e+00,8.520000000000e+00,2.308199123640e-01
2.85000000,8.773919315424e+00,8.550000000000e+00,2.239193154241e-01
2.86000000,8.796998464688e+00,8.580000000000e+00,2.169984646876e-01
2.87000000,8.820057448638e+00,8.610000000000e+00,2.100574486383e-01
2.88000000,8.843096355066e+00,8.640000000000e+00,2.030963550661e-01
2.89000000,8.866115271076e+00,8.670000000000e+00,1.961152710756e-01
2.90000000,8.889114283094e+00,8.700000000000e+00,1.891142830936e-01
2.91000000,8.912093476876e+00,8.730000000000e+00,1.820934768765e-01
2.92000000,8.935052937518e+00,8.760000000000e+00,1.750529375179e-01
2.93000000,8.957992749456e+00,8.790000000000e+00,1.679927494561e-01
2.94000000,8.980912996481e+00,8.820000000000e+00,1.609129964812e-01
2.95000000,9.003813761742e+00,8.850000000000e+00,1.538137617423e-01
2.96000000,9.026695127755e+00,8.880000000000e+00,1.466951277546e-01
2.97000000,9.049557176406e+00,8.910000000000e+00,1.395571764063e-01
2.98000000,9.072399988966e+00,8.940000000000e+00,1.323999889655e-01
2.99000000,9.095223646087e+00,8.970000000000e+00,1.252236460871e-01
3.00000000,9.118028227819e+00,9.000000000000e+00,1.180282278191e-01
3.01000000,9.140813813609e+00,9.030000000000e+00,1.108138136095e-01
3.02000000,9.163580482313e+00,9.060000000000e+00,1.035804823126e-01
3.03000000,9.186328312196e+00,9.090000000000e+00,9.632831219555e-02
3.04000000,9.209057380944e+00,9.120000000000e+00,8.905738094444e-02
3.05000000,9.231767765671e+00,9.150000000000e+00,8.176776567068e-02
3.06000000,9.254459542917e+00,9.180000000000e+00,7.445954291701e-02
3.07000000,9.277132788664e+00,9.210000000000e+00,6.713278866363e-02
3.08000000,9.299787578334e+00,9.240000000000e+00,5.978757833407e-02
3.09000000,9.322423986801e+00,9.270000000000e+00,5.242398680112e-02
3.10000000,9.345042088393e+00,9.300000000000e+00,4.504208839258e-02
3.11000000,9.367641956897e+00,9.330000000000e+00,3.764195689699e-02
3.12000000,9.390223665569e+00,9.360000000000e+00,3.022366556927e-02
3.13000000,9.412787287136e+00,9.390000000000e+00,2.278728713627e-02
3.14000000,9.435332893802e+00,9.420000000000e+00,1.533289380225e-02
3.15000000,9.457860557254e+00,9.450000000000e+00,7.860557254277e-03
3.16000000,9.480370348668e+00,9.480000000000e+00,3.703486675679e-04
3.17000000,9.502862338711e+00,9.510000000000e+00,-7.137661289239e-03
3.18000000,9.525336597551e+00,9.540000000000e+00,-1.466340244891e-02
3.19000000,9.547793194860e+00,9.570000000000e+00,-2.220680514047e-02
3.20000000,9.570232199816e+00,9.600000000000e+00,-2.976780018419e-02
3.21000000,9.592653681113e+00,9.630000000000e+00,-3.734631888654e-02
3.22000000,9.615057706965e+00,9.660000000000e+00,-4.494229303533e-02
3.23000000,9.637444345105e+00,9.690000000000e+00,-5.255565489482e-02
3.24000000,9.659813662799e+00,9.720000000000e+00,-6.018633720091e-02
3.25000000,9.682165726844e+00,9.750000000000e+00,-6.783427315646e-02
3.26000000,9.704500603573e+00,9.780000000000e+00,-7.549939642658e-02
3.27000000,9.726818358866e+00,9.810000000000e+00,-8.318164113406e-02
3.28000000,9.749119058145e+00,9.840000000000e+00,-9.088094185478e-02
3.29000000,9.771402766387e+00,9.870000000000e+00,-9.859723361325e-02
3.30000000,9.793669548122e+00,9.900000000000e+00,-1.063304518782e-01
3.31000000,9.815919467442e+00,9.930000000000e+00,-1.140805325581e-01
