rankByGap,label,gapDecimal,gapSha256,isNearest,classification
50,"s=221,j=112",0.014254333872988929915,7817181dc3b328973b3646e3dbf8e611e30a72245f49580bb84c523fba45f95d,false,formal exact root-box upper-envelope gap
51,"s=219,j=111",0.014275801427991079478,a1980bab01e39e12a3bbc516cfbf4974ae2edec028022114d5bb56a958d70710,false,formal exact root-box upper-envelope gap
52,"s=217,j=110",0.014297684777832244998,ad61ce572c9ce30807e20fa7f5658f225a5c7542028cc7ed7b94d68c9088994f,false,formal exact root-box upper-envelope gap
53,"s=215,j=109",0.014319996060097433182,64f10de2f371bd9e4e44a1bf4ef68c9cb184c940012e0a2ecb5f219fc145b071,false,formal exact root-box upper-envelope gap
54,"s=213,j=108",0.014342747887327362805,3d26dba9a835fcf19748fcd0603aa7fd1c82b618b4ea329341eac6229438f0d0,false,formal exact root-box upper-envelope gap
55,"s=211,j=107",0.014365953370387359767,e9f4fbda103747d351f24caf248c60916fbd9c1b4eb892310681e4cd98a7bdac,false,formal exact root-box upper-envelope gap
56,"s=209,j=106",0.014389626143224778756,56611c027384e05460ec099bbb65a16bea83801bd62ad91b38d905cb6b1694e6,false,formal exact root-box upper-envelope gap
57,"s=207,j=105",0.014413780389111854836,9609015a5a1c3df7b8ce9208f904eb549ee26bca33670c124a0d32476870ce73,false,formal exact root-box upper-envelope gap
58,"s=205,j=104",0.014438430868478672031,6527c335f85eedd301db6337d5b1fb0e0cb613637aba748d135651661caa0973,false,formal exact root-box upper-envelope gap
59,"s=203,j=103",0.014463592948449428365,39aed72845882ffb48c692a499b3d9b912336584f4899167659e8786559a4dae,false,formal exact root-box upper-envelope gap
60,"s=201,j=102",0.014489282634204450028,39058b98e1dd463d8b2d15cd15a631fc35a31eca1089c72adbff78d73e8474a7,false,formal exact root-box upper-envelope gap
61,"s=199,j=101",0.014515516602300541753,a0e9263eaf94f16e957e38ac471de92e92779da359d48a2759e011f4ef9cc0e3,false,formal exact root-box upper-envelope gap
62,"s=197,j=100",0.014542312236093345764,f5eabeee3cbab7a94d8c4574438c95488e1da53a3c60fa18858498c036e0dc46,false,formal exact root-box upper-envelope gap
63,"s=195,j=99",0.014569687663417517582,03793d63950cca5ff920b0f4c05a45bf061fd2360439c3eee4f0b175f1e185d0,false,formal exact root-box upper-envelope gap
64,"s=193,j=98",0.014597661796693825171,4d883072516f5756f875ae352778cdf29eb588c925debf0c808ca10f714f8721,false,formal exact root-box upper-envelope gap
65,"s=191,j=97",0.014626254375646863049,7b27f4ca7d8e1593b1c8c7f2fbe5ef08740d484423e59095ae68e3a4d74b1cd5,false,formal exact root-box upper-envelope gap
66,"s=189,j=96",0.014655486012833084523,780990334f47861f7e556b96c2593e50a93715a5676a484950a552254a44620c,false,formal exact root-box upper-envelope gap
67,"s=187,j=95",0.014685378242196449528,16f62c66130d521a464768537729420acaf2d4e36fa4fa19a9f1e6ad2d1cf594,false,formal exact root-box upper-envelope gap
68,"s=185,j=94",0.014715953570888337875,073d0cd4f8982f6a184852f8b377b66f8e51cfe3fb0a28cec6b1c50a47573e32,false,formal exact root-box upper-envelope gap
69,"s=183,j=93",0.014747235534609684859,4b4357bb64979ed26c93cf7332e458dfae962fa5425ad4ec811c83aaf85bcc7e,false,formal exact root-box upper-envelope gap
70,"s=181,j=92",0.014779248756756779541,26a945fb0936c49ce94edabf4f46aafe5ac8bbe0ee93bdbdb3dc78d93e321c2c,false,formal exact root-box upper-envelope gap
71,"s=179,j=91",0.014812019011678074524,ff845ecfc06aa922fd1e88cd65724a624226fc272ad6e314e5e941ef6cbe9bbd,false,formal exact root-box upper-envelope gap
72,"s=177,j=90",0.014845573292377970566,01934b150fd002f629f457f320fd8294d1541f6567cee29b1f314a8948e0084b,false,formal exact root-box upper-envelope gap
73,"s=175,j=89",0.014879939883035176596,f9256eff92996d2b96743162009492d07ad3330fd7b9f4e4552ed55b6ff7d225,false,formal exact root-box upper-envelope gap
74,"s=173,j=88",0.014915148436738263659,de81ad5c7b566510a57021fbbf8ca63ddb7dda8337a7238dcd2293be35299b75,false,formal exact root-box upper-envelope gap
75,"s=171,j=87",0.014951230058879835035,f91d14d70bd308db038c7978cb0b45ea49ed34e58e9ce52bf559f671003f0c10,false,formal exact root-box upper-envelope gap
76,"s=169,j=86",0.014988217396693783087,b66d738808dbcae653a0aed79a674ec064f87c381df075da04accd00f1ac2a33,false,formal exact root-box upper-envelope gap
77,"s=167,j=85",0.015026144735467917138,490e5e0a5fc5456b1b1ae55a42504b9593c18bf5ffbe730500e3dcb8c7458dfb,false,formal exact root-box upper-envelope gap
78,"s=165,j=84",0.015065048102017417262,4cb0daf81e8813c64df99d7e3addd8af75501727dcb73c8747cdb06bbf9095c3,false,formal exact root-box upper-envelope gap
79,"s=163,j=83",0.015104965376063769747,c0cadc01b3e009bd46709896a583b1e5f636eb603651f5c7798996d302f71fe1,false,formal exact root-box upper-envelope gap
