figure_panel,record_type,record_id,order_index,family,edge,contour_kind,center_real,center_imag,half_real,half_imag,theta_center_pi,theta_half_pi,d_depth,d_index,d_lower,d_upper,lambda_depth,lambda_index,lambda_lower,lambda_upper,certified_bound_name,bound_raw,bound_midpoint,bound_radius,bound_lower_endpoint,threshold,strict_margin,upstream_path,upstream_sha256
B,contour_panel,L-circle-05,62,local,circle,circle,,,,,11/8,1/8,,,0,0.002222222222222222222222222222222222222222222222222222222222222222222222,,,,,minimumAbsoluteLower,[0.17393218607056669366044180610284428933455139783029883463495716864465439591195415 +/- 2.74e-81],0.17393218607056669366044180610284428933455139783029883463495716864465439591195415,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000274,0.17393218607056669366044180610284428933455139783029883463495716864465439591195414726,0,0.17393218607056669366044180610284428933455139783029883463495716864465439591195414726,experiments/r073j/contour_certificate.json,60c770beaf0dc9a3da99ba6ab7bff234b506aa7d8bc72a0aad7b55471b571a38
B,contour_panel,L-circle-06,63,local,circle,circle,,,,,13/8,1/8,,,0,0.002222222222222222222222222222222222222222222222222222222222222222222222,,,,,minimumAbsoluteLower,[0.16967626814546468436545695962395103108395779772168855487451496831293517593653433 +/- 4.30e-82],0.16967626814546468436545695962395103108395779772168855487451496831293517593653433,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000430,0.169676268145464684365456959623951031083957797721688554874514968312935175936534329570,0,0.169676268145464684365456959623951031083957797721688554874514968312935175936534329570,experiments/r073j/contour_certificate.json,60c770beaf0dc9a3da99ba6ab7bff234b506aa7d8bc72a0aad7b55471b571a38
B,contour_panel,L-circle-07,64,local,circle,circle,,,,,15/8,1/8,,,0,0.002222222222222222222222222222222222222222222222222222222222222222222222,,,,,minimumAbsoluteLower,[0.16436999096159892279313956148325100411368687336008408248335438752165039241530611 +/- 1.83e-81],0.16436999096159892279313956148325100411368687336008408248335438752165039241530611,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000183,0.16436999096159892279313956148325100411368687336008408248335438752165039241530610817,0,0.16436999096159892279313956148325100411368687336008408248335438752165039241530610817,experiments/r073j/contour_certificate.json,60c770beaf0dc9a3da99ba6ab7bff234b506aa7d8bc72a0aad7b55471b571a38
C,overlap_cell,O-d00-lambda00,65,overlap,,dyadic_rectangle,,,,,,,3,0,0,0.0002777777777777777777777777777777777777777777777777777777777777777777778,4,0,0.167,0.167375,overlapLower,[0.59823754350518498339757473587974032567134668952714066292720829976826346881075403 +/- 5.34e-81],0.59823754350518498339757473587974032567134668952714066292720829976826346881075403,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000534,0.59823754350518498339757473587974032567134668952714066292720829976826346881075402466,0.5,0.09823754350518498339757473587974032567134668952714066292720829976826346881075402466,experiments/r073j/overlap_certificate.json,12e1505cacb807d83a611b96d5b928bd4302c9faef16030566d3e178234180ab
C,overlap_cell,O-d00-lambda01,66,overlap,,dyadic_rectangle,,,,,,,3,0,0,0.0002777777777777777777777777777777777777777777777777777777777777777777778,4,1,0.167375,0.16775,overlapLower,[0.59764173061868989225912433099941158803454146972843534710799057022739171789119389 +/- 2.59e-81],0.59764173061868989225912433099941158803454146972843534710799057022739171789119389,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000259,0.59764173061868989225912433099941158803454146972843534710799057022739171789119388741,0.5,0.09764173061868989225912433099941158803454146972843534710799057022739171789119388741,experiments/r073j/overlap_certificate.json,12e1505cacb807d83a611b96d5b928bd4302c9faef16030566d3e178234180ab
C,overlap_cell,O-d00-lambda02,67,overlap,,dyadic_rectangle,,,,,,,3,0,0,0.0002777777777777777777777777777777777777777777777777777777777777777777778,4,2,0.16775,0.168125,overlapLower,[0.59701817359191723202762205163524553816460192878012029908900231226145072357025078 +/- 3.06e-81],0.59701817359191723202762205163524553816460192878012029908900231226145072357025078,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000306,0.59701817359191723202762205163524553816460192878012029908900231226145072357025077694,0.5,0.09701817359191723202762205163524553816460192878012029908900231226145072357025077694,experiments/r073j/overlap_certificate.json,12e1505cacb807d83a611b96d5b928bd4302c9faef16030566d3e178234180ab
C,overlap_cell,O-d00-lambda03,68,overlap,,dyadic_rectangle,,,,,,,3,0,0,0.0002777777777777777777777777777777777777777777777777777777777777777777778,4,3,0.168125,0.1685,overlapLower,[0.59636721287520657360349211450722337346827721439902860926498498382614279727566866 +/- 6.36e-81],0.59636721287520657360349211450722337346827721439902860926498498382614279727566866,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000636,0.59636721287520657360349211450722337346827721439902860926498498382614279727566865364,0.5,0.09636721287520657360349211450722337346827721439902860926498498382614279727566865364,experiments/r073j/overlap_certificate.json,12e1505cacb807d83a611b96d5b928bd4302c9faef16030566d3e178234180ab
C,overlap_cell,O-d00-lambda04,69,overlap,,dyadic_rectangle,,,,,,,3,0,0,0.0002777777777777777777777777777777777777777777777777777777777777777777778,4,4,0.1685,0.168875,overlapLower,[0.59568919277352810481125098335911212947907234552121369608050063549176336634235029 +/- 6.05e-81],0.59568919277352810481125098335911212947907234552121369608050063549176336634235029,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000605,0.59568919277352810481125098335911212947907234552121369608050063549176336634235028395,0.5,0.09568919277352810481125098335911212947907234552121369608050063549176336634235028395,experiments/r073j/overlap_certificate.json,12e1505cacb807d83a611b96d5b928bd4302c9faef16030566d3e178234180ab
C,overlap_cell,O-d00-lambda05,70,overlap,,dyadic_rectangle,,,,,,,3,0,0,0.0002777777777777777777777777777777777777777777777777777777777777777777778,4,5,0.168875,0.16925,overlapLower,[0.59498446143703296770074776261877886997163971912473519343575350943701754595238344 +/- 4.67e-81],0.59498446143703296770074776261877886997163971912473519343575350943701754595238344,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000467,0.59498446143703296770074776261877886997163971912473519343575350943701754595238343533,0.5,0.09498446143703296770074776261877886997163971912473519343575350943701754595238343533,experiments/r073j/overlap_certificate.json,12e1505cacb807d83a611b96d5b928bd4302c9faef16030566d3e178234180ab
C,overlap_cell,O-d00-lambda06,71,overlap,,dyadic_rectangle,,,,,,,3,0,0,0.0002777777777777777777777777777777777777777777777777777777777777777777778,4,6,0.16925,0.169625,overlapLower,[0.59425337041695455528819596763232127231044724429036238714715895599880323144740829 +/- 5.59e-81],0.59425337041695455528819596763232127231044724429036238714715895599880323144740829,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000559,0.59425337041695455528819596763232127231044724429036238714715895599880323144740828441,0.5,0.09425337041695455528819596763232127231044724429036238714715895599880323144740828441,experiments/r073j/overlap_certificate.json,12e1505cacb807d83a611b96d5b928bd4302c9faef16030566d3e178234180ab
