x,phi,cRho,aboveThreshold
0.11900000000000001,0.148438120884366009957434580427,0.113083091627041126869487538794,1
0.12,0.149805500051461508867539068375,0.113083091627041126869487538794,1
0.121,0.151174879218557021441435227278,0.113083091627041126869487538794,1
0.122,0.152546258385652534015331386181,0.113083091627041126869487538794,1
0.123,0.153919637552748046589227545084,0.113083091627041126869487538794,1
0.124,0.155295016719843559163123703987,0.113083091627041126869487538794,1
0.125,0.15667239588693907173701986289,0.113083091627041126869487538794,1
0.126,0.158051775054034584310916021793,0.113083091627041126869487538794,1
0.127,0.159433154221130096884812180696,0.113083091627041126869487538794,1
0.128,0.1608165333882256094587083396,0.113083091627041126869487538794,1
0.129,0.162201912555321122032604498503,0.113083091627041126869487538794,1
0.13,0.163589291722416634606500657406,0.113083091627041126869487538794,1
0.131,0.164978670889512147180396816309,0.113083091627041126869487538794,1
0.132,0.166370050056607659754292975212,0.113083091627041126869487538794,1
0.133,0.167763429223703172328189134115,0.113083091627041126869487538794,1
0.134,0.169158808390798684902085293018,0.113083091627041126869487538794,1
0.135,0.170556187557894197475981451921,0.113083091627041126869487538794,1
0.136,0.171955566724989710049877610825,0.113083091627041126869487538794,1
0.137,0.173356945892085222623773769728,0.113083091627041126869487538794,1
0.138,0.174760325059180735197669928631,0.113083091627041126869487538794,1
0.139,0.176165704226276247771566087534,0.113083091627041126869487538794,1
0.14,0.177573083393371760345462246437,0.113083091627041126869487538794,1
0.14100000000000001,0.178982462560467287023150076295,0.113083091627041126869487538794,1
0.14200000000000002,0.180393841727562813740837906154,0.113083091627041126869487538794,1
0.14300000000000002,0.181807220894658326354734065057,0.113083091627041126869487538794,1
0.14400000000000002,0.18322260006175383896863022396,0.113083091627041126869487538794,1
0.145,0.184639979228849323214943040953,0.113083091627041126869487538794,1
0.146,0.186059358395944835788839199856,0.113083091627041126869487538794,1
0.147,0.187480737563040348362735358759,0.113083091627041126869487538794,1
0.148,0.188904116730135860936631517662,0.113083091627041126869487538794,1
0.149,0.190329495897231373510527676565,0.113083091627041126869487538794,1
0.15,0.191756875064326886084423835468,0.113083091627041126869487538794,1
0.151,0.193186254231422398658319994371,0.113083091627041126869487538794,1
0.152,0.194617633398517911232216153274,0.113083091627041126869487538794,1
0.153,0.196051012565613423806112312178,0.113083091627041126869487538794,1
0.154,0.197486391732708936380008471081,0.113083091627041126869487538794,1
0.155,0.198923770899804448953904629984,0.113083091627041126869487538794,1
0.156,0.200363150066899961527800788887,0.113083091627041126869487538794,1
0.157,0.20180452923399547410169694779,0.113083091627041126869487538794,1
0.158,0.203247908401090986675593106693,0.113083091627041126869487538794,1
0.159,0.204693287568186499249489265596,0.113083091627041126869487538794,1
0.16,0.206140666735282011823385424499,0.113083091627041126869487538794,1
0.161,0.207590045902377524397281583403,0.113083091627041126869487538794,1
0.162,0.209041425069473036971177742306,0.113083091627041126869487538794,1
0.163,0.210494804236568549545073901209,0.113083091627041126869487538794,1
0.164,0.211950183403664062118970060112,0.113083091627041126869487538794,1
0.165,0.213407562570759574692866219015,0.113083091627041126869487538794,1
0.166,0.214866941737855087266762377918,0.113083091627041126869487538794,1
0.167,0.216328320904950599840658536821,0.113083091627041126869487538794,1
0.168,0.217791700072046112414554695724,0.113083091627041126869487538794,1
0.169,0.219257079239141624988450854628,0.113083091627041126869487538794,1
0.17,0.220724458406237137562347013531,0.113083091627041126869487538794,1
0.171,0.222193837573332650136243172434,0.113083091627041126869487538794,1
0.17200000000000001,0.223665216740428177433931002292,0.113083091627041126869487538794,1
0.17300000000000001,0.225138595907523690027827161195,0.113083091627041126869487538794,1
0.17400000000000002,0.226613975074619217385514991053,0.113083091627041126869487538794,1
0.17500000000000002,0.228091354241714729999411149957,0.113083091627041126869487538794,1
0.176,0.229570733408810213005723966949,0.113083091627041126869487538794,1
0.177,0.231052112575905725579620125853,0.113083091627041126869487538794,1
0.178,0.232535491743001238153516284756,0.113083091627041126869487538794,1
0.179,0.234020870910096750727412443659,0.113083091627041126869487538794,1
0.18,0.235508250077192263301308602562,0.113083091627041126869487538794,1
0.181,0.236997629244287775875204761465,0.113083091627041126869487538794,1
0.182,0.238489008411383288449100920368,0.113083091627041126869487538794,1
0.183,0.239982387578478801022997079271,0.113083091627041126869487538794,1
0.184,0.241477766745574313596893238174,0.113083091627041126869487538794,1
0.185,0.242975145912669826170789397077,0.113083091627041126869487538794,1
0.186,0.244474525079765338744685555981,0.113083091627041126869487538794,1
0.187,0.245975904246860851318581714884,0.113083091627041126869487538794,1
0.188,0.247479283413956363892477873787,0.113083091627041126869487538794,1
0.189,0.24898466258105187646637403269,0.113083091627041126869487538794,1
0.19,0.250492041748147389040270191593,0.113083091627041126869487538794,1
0.191,0.252001420915242901614166350496,0.113083091627041126869487538794,1
0.192,0.253512800082338414188062509399,0.113083091627041126869487538794,1
0.193,0.255026179249433926761958668302,0.113083091627041126869487538794,1
0.194,0.256541558416529439335854827206,0.113083091627041126869487538794,1
0.195,0.258058937583624951909750986109,0.113083091627041126869487538794,1
0.196,0.259578316750720464483647145012,0.113083091627041126869487538794,1
0.197,0.261099695917815977057543303915,0.113083091627041126869487538794,1
0.198,0.262623075084911489631439462818,0.113083091627041126869487538794,1
0.199,0.264148454252007002205335621721,0.113083091627041126869487538794,1
0.2,0.265675833419102514779231780624,0.113083091627041126869487538794,1
0.201,0.267205212586198027353127939527,0.113083091627041126869487538794,1
0.202,0.268736591753293539927024098431,0.113083091627041126869487538794,1
0.203,0.270269970920389052500920257334,0.113083091627041126869487538794,1
0.20400000000000001,0.271805350087484580438608087192,0.113083091627041126869487538794,1
0.20500000000000002,0.27334272925458010841629591705,0.113083091627041126869487538794,1
0.20600000000000002,0.274882108421675621030192075953,0.113083091627041126869487538794,1
0.20700000000000002,0.276423487588771133644088234856,0.113083091627041126869487538794,1
0.20800000000000002,0.27796686675586664625798439376,0.113083091627041126869487538794,1
0.209,0.279512245922962127944297210752,0.113083091627041126869487538794,1
0.21,0.281059625090057640518193369656,0.113083091627041126869487538794,1
0.211,0.282609004257153153092089528559,0.113083091627041126869487538794,1
0.212,0.284160383424248665665985687462,0.113083091627041126869487538794,1
0.213,0.285713762591344178239881846365,0.113083091627041126869487538794,1
0.214,0.287269141758439690813778005268,0.113083091627041126869487538794,1
0.215,0.288826520925535203387674164171,0.113083091627041126869487538794,1
0.216,0.290385900092630715961570323074,0.113083091627041126869487538794,1
0.217,0.291947279259726228535466481977,0.113083091627041126869487538794,1
0.218,0.29351065842682174110936264088,0.113083091627041126869487538794,1
0.219,0.295076037593917253683258799784,0.113083091627041126869487538794,1
0.22,0.296643416761012766257154958687,0.113083091627041126869487538794,1
0.221,0.29821279592810827883105111759,0.113083091627041126869487538794,1
0.222,0.299784175095203791404947276493,0.113083091627041126869487538794,1
0.223,0.301357554262299303978843435396,0.113083091627041126869487538794,1
0.224,0.302932933429394816552739594299,0.113083091627041126869487538794,1
0.225,0.304510312596490329126635753202,0.113083091627041126869487538794,1
0.226,0.306089691763585841700531912105,0.113083091627041126869487538794,1
0.227,0.307671070930681354274428071009,0.113083091627041126869487538794,1
0.228,0.309254450097776866848324229912,0.113083091627041126869487538794,1
0.229,0.310839829264872379422220388815,0.113083091627041126869487538794,1
