amplitude,minimumMean,pointwiseExcludedByUpperBand,j-2Mean,j-2StandardError,j-2Ci95Lower,j-2Ci95Upper,j0Mean,j0StandardError,j0Ci95Lower,j0Ci95Upper
0.023,-0.0017929760115280142,True,-0.0017929760115280142,8.202887543496544e-05,-0.0019537526073805465,-0.0016321994156754819,-3.7194069923015996e-05,2.485778963063226e-06,-4.206619669061992e-05,-3.232194315541207e-05
0.02325,-0.001791112049141703,True,-0.001791112049141703,8.19822404300988e-05,-0.0019517972403846966,-0.0016304268578987092,-3.761091360195085e-05,2.511319688451324e-06,-4.253310019131544e-05,-3.268872701258625e-05
0.0235,-0.001789241457494818,True,-0.001789241457494818,8.193575899052304e-05,-0.0019498355451162432,-0.001628647369873393,-3.8028427045825645e-05,2.536827166610343e-06,-4.3000608292381914e-05,-3.3056245799269376e-05
0.02375,-0.0017873641568864989,True,-0.0017873641568864989,8.188943343819789e-05,-0.0019478674464253668,-0.001626860867347631,-3.844662300945128e-05,2.5623013653208372e-06,-4.346873368548012e-05,-3.3424512333422435e-05
0.024,-0.0017854800676158865,True,-0.0017854800676158865,8.184326614997013e-05,-0.0019458928692698278,-0.0016250672659619452,-3.886551424763867e-05,2.587742253114219e-06,-4.393748906374254e-05,-3.37935394315348e-05
0.02425,-0.00178358910998212,True,-0.00178358910998212,8.179725955877395e-05,-0.001943911738717317,-0.001623266481246923,-3.928511351519874e-05,2.613149799281661e-06,-4.4406887121790796e-05,-3.4163339908606685e-05
0.0245,-0.0017816912042843379,True,-0.0017816912042843379,8.175141615484489e-05,-0.001941923979947834,-0.0016214584286208418,-3.9705433566942365e-05,2.6385239738830313e-06,-4.487694055575311e-05,-3.453392657813162e-05
0.02475,-0.0017797862708216813,True,-0.0017797862708216813,8.170573848694662e-05,-0.0019399295182560966,-0.001619643023387266,-4.0126487157680496e-05,2.6638647477558716e-06,-4.5347662063282e-05,-3.490531225207899e-05
0.025,-0.0017778742298932891,True,-0.0017778742298932891,8.166022916361122e-05,-0.0019379282790539672,-0.001617820180732611,-4.054828704222404e-05,2.68917209252441e-06,-4.581906434357188e-05,-3.52775097408762e-05
0.02525,-0.0017759550017983012,True,-0.0017759550017983012,8.161489085439249e-05,-0.0019359201878729104,-0.001615989815723692,-4.09708459753839e-05,2.7144459806086077e-06,-4.629116009737677e-05,-3.5650531853391026e-05
0.025500000000000002,-0.001774028506835856,True,-0.001774028506835856,8.156972629113191e-05,-0.0019339051703664745,-0.0016141518433052376,-4.1394176711970994e-05,2.739686385233248e-06,-4.676396202702816e-05,-3.602439139691383e-05
0.025750000000000002,-0.0017720946653050956,True,-0.0017720946653050956,8.152473826923814e-05,-0.0019318831523128025,-0.0016123061782973888,-4.1818292006796244e-05,2.7648932804370666e-06,-4.7237482836452896e-05,-3.639910117713959e-05
0.026000000000000002,-0.0017701533975051573,True,-0.0017701533975051573,8.147992964897892e-05,-0.001929854059617156,-0.0016104527353931585,-4.224320461467054e-05,2.790066641081912e-06,-4.7711735231191085e-05,-3.677467399814999e-05
0.02625,-0.001768204623735182,True,-0.001768204623735182,8.143530335678603e-05,-0.0019278178183144827,-0.0016085914291558813,-4.266892729040481e-05,2.8152064428619492e-06,-4.8186731918414225e-05,-3.715112266239539e-05
0.0265,-0.0017662482642943093,True,-0.0017662482642943093,8.139086238657264e-05,-0.0019257743545719917,-0.001606722174016627,-4.309547278880997e-05,2.840312662312902e-06,-4.866248560694326e-05,-3.752845997067668e-05
0.02675,-0.0017642842394816778,True,-0.0017642842394816778,8.134660980106357e-05,-0.0019237235946917624,-0.0016048448842715933,-4.3522853864696926e-05,2.865385276821333e-06,-4.913900900726674e-05,-3.790669872212711e-05
0.027,-0.0017623124695964282,True,-0.0017623124695964282,8.130254873313791e-05,-0.0019216654651133785,-0.0016029594740794779,-4.395108327287659e-05,2.8904242646339608e-06,-4.961631483155915e-05,-3.828585171419403e-05
0.02725,-0.0017603328749376999,True,-0.0017603328749376999,8.125868238718391e-05,-0.0019195998924165802,-0.0016010658574588195,-4.438017376815989e-05,2.915429604867017e-06,-5.009441579369924e-05,-3.8665931742620534e-05
0.0275,-0.001758345375804632,True,-0.001758345375804632,8.121501404046633e-05,-0.001917526803323946,-0.001599163948285318,-4.4810138105357716e-05,2.940401277515648e-06,-5.057332460928839e-05,-3.9046951601427043e-05
0.02775,-0.0017563498924963645,True,-0.0017563498924963645,8.117154704450574e-05,-0.0019154461247035957,-0.0015972536602891333,-4.524098903928099e-05,2.965339263463347e-06,-5.105305399566915e-05,-3.942892408289283e-05
0.028,-0.0017543463453120367,True,-0.0017543463453120367,8.112828482647e-05,-0.001913357783571918,-0.0015953349070521555,-4.567273932474063e-05,2.9902435444914267e-06,-5.1533616671943825e-05,-3.981186197753743e-05
0.02825,-0.0017523346545507894,True,-0.0017523346545507894,8.108523089057764e-05,-0.0019112617070963216,-0.001593407602005257,-4.610540171654755e-05,3.0151141032885424e-06,-5.201502535899309e-05,-4.019577807410201e-05
0.0285,-0.0017503147405117608,True,-0.0017503147405117608,8.104238881951264e-05,-0.0019091578225980056,-0.001591471658425516,-4.653898896951267e-05,3.0399509234602397e-06,-5.2497292779494736e-05,-4.05806851595306e-05
0.02875,-0.0017482865234940915,True,-0.0017482865234940915,8.099976227585129e-05,-0.0019070460575547601,-0.001589526989433423,-4.697351383844688e-05,3.064753989538552e-06,-5.298043165794245e-05,-4.0966596018951316e-05
0.029,-0.0017462499237969199,True,-0.0017462499237969199,8.095735500350017e-05,-0.0019049263396037801,-0.0015875735079900596,-4.740898907816111e-05,3.0895232869916352e-06,-5.3464454720664715e-05,-4.135352343565751e-05
0.02925,-0.0017442048617193878,True,-0.0017442048617193878,8.091517082914534e-05,-0.0019027985965445126,-0.001585611126894263,-4.784542744346627e-05,3.114258802233439e-06,-5.394937469584381e-05,-4.174148019108873e-05
0.029500000000000002,-0.0017421512575606325,True,-0.0017421512575606325,8.087321366371297e-05,-0.0019006627563415098,-0.0015836397587797551,-4.828284168917328e-05,3.138960522633423e-06,-5.443520431353479e-05,-4.2130479064811765e-05
0.029750000000000002,-0.0017400890316197947,True,-0.0017400890316197947,8.083148750384046e-05,-0.001898518747127322,-0.0015816593161122675,-4.872124457009302e-05,3.1636284365263174e-06,-5.49219563056846e-05,-4.252053283450144e-05
0.03,-0.0017380181041960138,True,-0.0017380181041960138,8.078999643335861e-05,-0.0018963664972053967,-0.001579669711186631,-4.916064884103643e-05,3.188262533221905e-06,-5.5409643406151366e-05,-4.2911654275921496e-05
0.03025,-0.0017359383955884299,True,-0.0017359383955884299,8.07487446247841e-05,-0.0018942059350530067,-0.001577670856123853,-4.960106725681444e-05,3.212862803014872e-06,-5.5898278350723587e-05,-4.330385616290529e-05
0.0305,-0.0017338498260961821,True,-0.0017338498260961821,8.070773634082242e-05,-0.0018920369893241941,-0.00157566266286817,-5.004251257223793e-05,3.2374292371946734e-06,-5.638787387713949e-05,-4.369715126733637e-05
