panel,row_role,series,x_exact,exact_value,numeric_value,context
B,two-axis-frame-constant,theta=15deg,9/20,1/4 - sqrt(99*sqrt(3) + 202)/80,0.0084318710392840938,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,23/50,1/4 - sqrt(621*sqrt(3) + 1258)/200,0.0084630695162604755,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,47/100,1/4 - sqrt(2491*sqrt(3) + 5018)/400,0.0084873377846661265,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,12/25,1/4 - sqrt(156*sqrt(3) + 313)/100,0.0085046737552163607,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,49/100,1/4 - sqrt(2499*sqrt(3) + 5002)/400,0.0085150759349221766,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,1/2,1/4 - sqrt(sqrt(3) + 2)/8,0.0085185434277329289,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,51/100,1/4 - sqrt(2499*sqrt(3) + 5002)/400,0.0085150759349221766,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,13/25,1/4 - sqrt(156*sqrt(3) + 313)/100,0.0085046737552163607,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,53/100,1/4 - sqrt(2491*sqrt(3) + 5018)/400,0.0084873377846661265,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,27/50,1/4 - sqrt(621*sqrt(3) + 1258)/200,0.0084630695162604755,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,11/20,1/4 - sqrt(99*sqrt(3) + 202)/80,0.0084318710392840938,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,14/25,1/4 - sqrt(154*sqrt(3) + 317)/100,0.0083937450384185316,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,57/100,1/4 - sqrt(2451*sqrt(3) + 5098)/400,0.0083486947925880978,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,29/50,1/4 - sqrt(609*sqrt(3) + 1282)/200,0.0082967241735516801,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,59/100,1/4 - sqrt(2419*sqrt(3) + 5162)/400,0.0082378376442418487,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,3/5,1/4 - sqrt(6*sqrt(3) + 13)/20,0.0081720402568529315,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,61/100,1/4 - sqrt(2379*sqrt(3) + 5242)/400,0.008099337650679956,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,31/50,1/4 - sqrt(589*sqrt(3) + 1322)/200,0.0080197360497106206,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,63/100,1/4 - sqrt(2331*sqrt(3) + 5338)/400,0.0079332422599726702,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,16/25,1/4 - sqrt(144*sqrt(3) + 337)/100,0.0078398636666393157,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,13/20,1/4 - sqrt(91*sqrt(3) + 218)/80,0.0077396082308955443,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,33/50,1/4 - sqrt(561*sqrt(3) + 1378)/200,0.0076324844865684064,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,67/100,1/4 - sqrt(2211*sqrt(3) + 5578)/400,0.0075185015365245994,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,17/25,1/4 - sqrt(136*sqrt(3) + 353)/100,0.007397669048838834,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,69/100,1/4 - sqrt(2139*sqrt(3) + 5722)/400,0.0072699972527367433,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,7/10,1/4 - sqrt(21*sqrt(3) + 58)/40,0.007135496934316244,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,71/100,1/4 - sqrt(2059*sqrt(3) + 5882)/400,0.0069941794320514845,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,18/25,1/4 - sqrt(126*sqrt(3) + 373)/100,0.0068460566320836863,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,73/100,1/4 - sqrt(1971*sqrt(3) + 6058)/400,0.0066911409633033788,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,37/50,1/4 - sqrt(481*sqrt(3) + 1538)/200,0.006529445392228694,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,3/4,1/4 - sqrt(3*sqrt(3) + 10)/16,0.0063609834176845542,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,19/25,1/4 - sqrt(114*sqrt(3) + 397)/100,0.0061857690652877394,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,77/100,1/4 - sqrt(1771*sqrt(3) + 6458)/400,0.0060038168817429828,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,39/50,1/4 - sqrt(429*sqrt(3) + 1642)/200,0.0058151419289553721,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,79/100,1/4 - sqrt(1659*sqrt(3) + 6682)/400,0.0056197597779644613,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,4/5,1/4 - sqrt(4*sqrt(3) + 17)/20,0.005417686502705652,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,81/100,1/4 - sqrt(1539*sqrt(3) + 6922)/400,0.005208938673604468,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,41/50,1/4 - sqrt(369*sqrt(3) + 1762)/200,0.0049935333510095024,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,83/100,1/4 - sqrt(1411*sqrt(3) + 7178)/400,0.0047714880784698877,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,21/25,1/4 - sqrt(84*sqrt(3) + 457)/100,0.0045428208758632191,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,17/20,1/4 - sqrt(51*sqrt(3) + 298)/80,0.0043075502323799714,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,43/50,1/4 - sqrt(301*sqrt(3) + 1898)/200,0.0040656950993704869,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,87/100,1/4 - sqrt(1131*sqrt(3) + 7738)/400,0.0038172748830606891,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,22/25,1/4 - sqrt(66*sqrt(3) + 493)/100,0.0035623094371427322,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,89/100,1/4 - sqrt(979*sqrt(3) + 8042)/400,0.0033008190552468253,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,9/10,1/4 - sqrt(9*sqrt(3) + 82)/40,0.0030328244633005185,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,91/100,1/4 - sqrt(819*sqrt(3) + 8362)/400,0.0027583468117817517,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,23/25,1/4 - sqrt(46*sqrt(3) + 533)/100,0.0024774076678719908,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,93/100,1/4 - sqrt(651*sqrt(3) + 8698)/400,0.0021900290075157823,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,47/50,1/4 - sqrt(141*sqrt(3) + 2218)/200,0.0018962332073930554,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,19/20,1/4 - sqrt(19*sqrt(3) + 362)/80,0.0015960430368104936,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,24/25,1/4 - sqrt(24*sqrt(3) + 577)/100,0.0012894816495182778,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,97/100,1/4 - sqrt(291*sqrt(3) + 9418)/400,0.00097657257545848402,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,49/50,1/4 - sqrt(49*sqrt(3) + 2402)/200,0.00065733971245138191,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,99/100,1/4 - sqrt(99*sqrt(3) + 9802)/400,0.00033180731782583991,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,1/100,1/4 - sqrt(9901)/400,0.0012405780678850348,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,1/50,1/4 - sqrt(2451)/200,0.0024621241102687334,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,3/100,1/4 - sqrt(9709)/400,0.003664354995059637,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,1/25,1/4 - sqrt(601)/100,0.0048469865573747429,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,1/20,1/4 - sqrt(381)/80,0.0060097338007108116,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,3/50,1/4 - sqrt(2359)/200,0.0071523111083821745,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,7/100,1/4 - sqrt(9349)/400,0.0082744324652437602,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,2/25,1/4 - sqrt(579)/100,0.0093758116896807062,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,9/100,1/4 - sqrt(9181)/400,0.010456162675805829,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,1/10,1/4 - sqrt(91)/40,0.011515199645763587,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,11/100,1/4 - sqrt(9021)/400,0.012552637411993983,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,3/25,1/4 - sqrt(559)/100,0.013568191649262217,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,13/100,1/4 - 7*sqrt(181)/400,0.014561579176210069,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,7/50,1/4 - sqrt(2199)/200,0.015532518246132903,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,3/20,1/4 - sqrt(349)/80,0.016480728846632445,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,4/25,1/4 - sqrt(541)/100,0.017405933007739856,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,17/100,1/4 - sqrt(8589)/400,0.018307855118046782,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,9/50,1/4 - sqrt(2131)/200,0.01918622224832418,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,19/100,1/4 - sqrt(8461)/400,0.020040764482049993,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,1/5,1/4 - sqrt(21)/20,0.020871215252208,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,21/100,1/4 - sqrt(8341)/400,0.021677311683661188,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,11/50,1/4 - sqrt(2071)/200,0.022458794940344924,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,23/100,1/4 - sqrt(8229)/400,0.023215410576467962,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,6/25,1/4 - sqrt(511)/100,0.023946908890853696,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,1/4,1/4 - sqrt(13)/16,0.024653045283500669,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,13/50,1/4 - sqrt(2019)/200,0.025333580613390288,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,27/100,1/4 - sqrt(8029)/400,0.025988281556522136,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,7/25,1/4 - sqrt(499)/100,0.026616920963113234,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,29/100,1/4 - sqrt(7941)/400,0.027219278212857925,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,3/10,1/4 - sqrt(79)/40,0.027795139567110279,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,31/100,1/4 - sqrt(7861)/400,0.028344298516821364,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,8/25,1/4 - sqrt(489)/100,0.028866556125040192,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,33/100,1/4 - sqrt(7789)/400,0.029361721362769874,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,17/50,1/4 - sqrt(1939)/200,0.029829611436960033,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,7/20,1/4 - sqrt(309)/80,0.030270052109413179,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,9/25,1/4 - sqrt(481)/100,0.030682878005386913,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,37/100,1/4 - sqrt(7669)/400,0.031067932910685742,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,19/50,1/4 - 7*sqrt(39)/200,0.031425070056056062,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,39/100,1/4 - sqrt(7621)/400,0.031754152387725824,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,2/5,1/4 - sqrt(19)/20,0.032055052822966321,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,41/100,1/4 - 19*sqrt(21)/400,0.032327654489597603,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,21/50,1/4 - sqrt(1891)/200,0.032571850948411009,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,43/100,1/4 - sqrt(7549)/400,0.032787546397541931,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,11/25,1/4 - sqrt(471)/100,0.03297465585789295,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,9/20,1/4 - sqrt(301)/80,0.033133105338781596,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,23/50,1/4 - sqrt(1879)/200,0.033262831983067565,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,47/100,1/4 - sqrt(7509)/400,0.033363784191100677,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,12/25,1/4 - sqrt(469)/100,0.033435921722922847,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,49/100,1/4 - sqrt(7501)/400,0.033479215778253753,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,1/2,1/4 - sqrt(3)/8,0.033493649053890337,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,51/100,1/4 - sqrt(7501)/400,0.033479215778253753,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,13/25,1/4 - sqrt(469)/100,0.033435921722922847,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,53/100,1/4 - sqrt(7509)/400,0.033363784191100677,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,27/50,1/4 - sqrt(1879)/200,0.033262831983067565,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,11/20,1/4 - sqrt(301)/80,0.033133105338781596,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,14/25,1/4 - sqrt(471)/100,0.03297465585789295,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,57/100,1/4 - sqrt(7549)/400,0.032787546397541931,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,29/50,1/4 - sqrt(1891)/200,0.032571850948411009,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,59/100,1/4 - 19*sqrt(21)/400,0.032327654489597603,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,3/5,1/4 - sqrt(19)/20,0.032055052822966321,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,61/100,1/4 - sqrt(7621)/400,0.031754152387725824,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,31/50,1/4 - 7*sqrt(39)/200,0.031425070056056062,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,63/100,1/4 - sqrt(7669)/400,0.031067932910685742,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,16/25,1/4 - sqrt(481)/100,0.030682878005386913,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,13/20,1/4 - sqrt(309)/80,0.030270052109413179,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,33/50,1/4 - sqrt(1939)/200,0.029829611436960033,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,67/100,1/4 - sqrt(7789)/400,0.029361721362769874,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,17/25,1/4 - sqrt(489)/100,0.028866556125040192,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,69/100,1/4 - sqrt(7861)/400,0.028344298516821364,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,7/10,1/4 - sqrt(79)/40,0.027795139567110279,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,71/100,1/4 - sqrt(7941)/400,0.027219278212857925,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,18/25,1/4 - sqrt(499)/100,0.026616920963113234,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,73/100,1/4 - sqrt(8029)/400,0.025988281556522136,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,37/50,1/4 - sqrt(2019)/200,0.025333580613390288,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,3/4,1/4 - sqrt(13)/16,0.024653045283500669,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,19/25,1/4 - sqrt(511)/100,0.023946908890853696,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,77/100,1/4 - sqrt(8229)/400,0.023215410576467962,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,39/50,1/4 - sqrt(2071)/200,0.022458794940344924,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,79/100,1/4 - sqrt(8341)/400,0.021677311683661188,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,4/5,1/4 - sqrt(21)/20,0.020871215252208,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,81/100,1/4 - sqrt(8461)/400,0.020040764482049993,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,41/50,1/4 - sqrt(2131)/200,0.01918622224832418,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,83/100,1/4 - sqrt(8589)/400,0.018307855118046782,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,21/25,1/4 - sqrt(541)/100,0.017405933007739856,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,17/20,1/4 - sqrt(349)/80,0.016480728846632445,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,43/50,1/4 - sqrt(2199)/200,0.015532518246132903,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,87/100,1/4 - 7*sqrt(181)/400,0.014561579176210069,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,22/25,1/4 - sqrt(559)/100,0.013568191649262217,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,89/100,1/4 - sqrt(9021)/400,0.012552637411993983,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,9/10,1/4 - sqrt(91)/40,0.011515199645763587,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,91/100,1/4 - sqrt(9181)/400,0.010456162675805829,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,23/25,1/4 - sqrt(579)/100,0.0093758116896807062,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,93/100,1/4 - sqrt(9349)/400,0.0082744324652437602,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,47/50,1/4 - sqrt(2359)/200,0.0071523111083821745,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,19/20,1/4 - sqrt(381)/80,0.0060097338007108116,r=alpha/(alpha+beta)
