azimuthOverPi,mu,D,sign
0.716666666667,-0.988888888889,0.076185976883879111,1
0.725,-0.988888888889,0.07454490429179865,1
0.733333333333,-0.988888888889,0.072852742345917654,1
0.741666666667,-0.988888888889,0.071110650769508399,1
0.75,-0.988888888889,0.069319823505118019,1
0.758333333333,-0.988888888889,0.067481487896299694,1
0.766666666667,-0.988888888889,0.065596903846452753,1
0.775,-0.988888888889,0.063667362955347903,1
0.783333333333,-0.988888888889,0.061694187633929226,1
0.791666666667,-0.988888888889,0.059678730197999671,1
0.8,-0.988888888889,0.057622371941411482,1
0.808333333333,-0.988888888889,0.055526522189396389,1
0.816666666667,-0.988888888889,0.053392617332684328,1
0.825,-0.988888888889,0.051222119843073177,1
0.833333333333,-0.988888888889,0.049016517271123612,1
0.841666666667,-0.988888888889,0.046777321226666044,1
0.85,-0.988888888889,0.044506066342819041,1
0.858333333333,-0.988888888889,0.042204309224228347,1
0.866666666667,-0.988888888889,0.039873627380247592,1
0.875,-0.988888888889,0.037515618143792562,1
0.883333333333,-0.988888888889,0.035131897576608742,1
0.891666666667,-0.988888888889,0.03272409936170332,1
0.9,-0.988888888889,0.030293873683700623,1
0.908333333333,-0.988888888889,0.027842886097887917,1
0.916666666667,-0.988888888889,0.025372816388726866,1
0.925,-0.988888888889,0.022885357418613441,1
0.933333333333,-0.988888888889,0.020382213967674451,1
0.941666666667,-0.988888888889,0.017865101565396276,1
0.95,-0.988888888889,0.015335745314886918,1
0.958333333333,-0.988888888889,0.012795878710576348,1
0.966666666667,-0.988888888889,0.010247242450165912,1
0.975,-0.988888888889,0.0076915832416413121,1
0.983333333333,-0.988888888889,0.005130652606166089,1
0.991666666667,-0.988888888889,0.0025662056776763736,1
1,-0.988888888889,1.2005584196286488e-17,1
1.00833333333,-0.988888888889,-0.0025662056776763059,-1
1.01666666667,-0.988888888889,-0.0051306526061660222,-1
1.025,-0.988888888889,-0.0076915832416412869,-1
1.03333333333,-0.988888888889,-0.010247242450165844,-1
1.04166666667,-0.988888888889,-0.012795878710576282,-1
1.05,-0.988888888889,-0.015335745314886892,-1
1.05833333333,-0.988888888889,-0.017865101565396214,-1
1.06666666667,-0.988888888889,-0.020382213967674385,-1
1.075,-0.988888888889,-0.022885357418613417,-1
1.08333333333,-0.988888888889,-0.0253728163887268,-1
1.09166666667,-0.988888888889,-0.027842886097887851,-1
1.1,-0.988888888889,-0.030293873683700599,-1
1.10833333333,-0.988888888889,-0.032724099361703257,-1
1.11666666667,-0.988888888889,-0.03513189757660868,-1
1.125,-0.988888888889,-0.037515618143792541,-1
1.13333333333,-0.988888888889,-0.039873627380247537,-1
1.14166666667,-0.988888888889,-0.042204309224228277,-1
1.15,-0.988888888889,-0.044506066342819027,-1
1.15833333333,-0.988888888889,-0.046777321226665981,-1
1.16666666667,-0.988888888889,-0.049016517271123557,-1
1.175,-0.988888888889,-0.05122211984307317,-1
1.18333333333,-0.988888888889,-0.053392617332684272,-1
1.19166666667,-0.988888888889,-0.055526522189396334,-1
1.2,-0.988888888889,-0.057622371941411461,-1
1.20833333333,-0.988888888889,-0.059678730197999616,-1
1.21666666667,-0.988888888889,-0.061694187633929184,-1
1.225,-0.988888888889,-0.063667362955347875,-1
1.23333333333,-0.988888888889,-0.065596903846452698,-1
1.24166666667,-0.988888888889,-0.067481487896299652,-1
1.25,-0.988888888889,-0.069319823505118006,-1
1.25833333333,-0.988888888889,-0.071110650769508357,-1
1.26666666667,-0.988888888889,-0.072852742345917598,-1
1.275,-0.988888888889,-0.074544904291798608,-1
1.28333333333,-0.988888888889,-0.07618597688387907,-1
1.29166666667,-0.988888888889,-0.077774835412977791,-1
1.3,-0.988888888889,-0.079310390954824173,-1
1.30833333333,-0.988888888889,-0.080791591116352562,-1
1.31666666667,-0.988888888889,-0.082217420756959744,-1
1.325,-0.988888888889,-0.083586902684231967,-1
1.33333333333,-0.988888888889,-0.08489909832366338,-1
