p,mu,c,norm,gain,N,dtMax,finiteDimensionalOnly
0.25,1e-09,0.005623413251903491,raw_q,719840.7132440119,10,0.0025,True
0.25,1e-09,0.005623413251903491,xmu,1.000001497060255,10,0.0025,True
0.25,1e-09,0.005623413251903491,hminus1,1.0000014902166705,10,0.0025,True
0.25,1e-09,0.005623413251903491,balanced_l2,22.78999755185159,10,0.0025,True
0.25,1e-09,0.005623413251903491,kinetic,22.424463724452718,10,0.0025,True
0.25,1e-09,0.005623413251903491,kinetic_under,1.010077574698364,10,0.0025,True
0.25,1e-09,0.005623413251903491,kinetic_over,3982.8550059156105,10,0.0025,True
0.25,1e-10,0.0031622776601683794,raw_q,4047961.2714138264,10,0.0025,True
0.25,1e-10,0.0031622776601683794,xmu,1.0000004735745809,10,0.0025,True
0.25,1e-10,0.0031622776601683794,hminus1,1.0000004714104187,10,0.0025,True
0.25,1e-10,0.0031622776601683794,balanced_l2,40.49460037081282,10,0.0025,True
0.25,1e-10,0.0031622776601683794,kinetic,39.84386311270912,10,0.0025,True
0.25,1e-10,0.0031622776601683794,kinetic_under,1.010077047903649,10,0.0025,True
0.25,1e-10,0.0031622776601683794,kinetic_over,12594.891314975688,10,0.0025,True
0.25,1e-11,0.0017782794100389228,raw_q,22763358.09840714,10,0.0025,True
0.25,1e-11,0.0017782794100389228,xmu,1.0000001497736875,10,0.0025,True
0.25,1e-11,0.0017782794100389228,hminus1,1.000000149089316,10,0.0025,True
0.25,1e-11,0.0017782794100389228,balanced_l2,71.9924886420775,10,0.0025,True
0.25,1e-11,0.0017782794100389228,kinetic,70.83489224855913,10,0.0025,True
0.25,1e-11,0.0017782794100389228,kinetic_under,1.0100768811655974,10,0.0025,True
0.25,1e-11,0.0017782794100389228,kinetic_over,39828.541624554775,10,0.0025,True
0.25,1e-12,0.001,raw_q,128007767.87973072,10,0.0025,True
0.25,1e-12,0.001,xmu,1.0000000473642228,10,0.0025,True
0.25,1e-12,0.001,hminus1,1.0000000471478052,10,0.0025,True
0.25,1e-12,0.001,balanced_l2,128.01250863535765,10,0.0025,True
0.25,1e-12,0.001,kinetic,125.9537515752459,10,0.0025,True
0.25,1e-12,0.001,kinetic_under,1.0100768284233006,10,0.0025,True
0.25,1e-12,0.001,kinetic_over,125948.90569219622,10,0.0025,True
0.25,1e-13,0.0005623413251903491,raw_q,719840575.2005528,10,0.0025,True
0.25,1e-13,0.0005623413251903491,xmu,1.0000000149780448,10,0.0025,True
0.25,1e-13,0.0005623413251903491,hminus1,1.0000000149096073,10,0.0025,True
0.25,1e-13,0.0005623413251903491,balanced_l2,227.63624295986247,10,0.0025,True
0.25,1e-13,0.0005623413251903491,kinetic,223.97506985469997,10,0.0025,True
0.25,1e-13,0.0005623413251903491,kinetic_under,1.0100768117432142,10,0.0025,True
0.25,1e-13,0.0005623413251903491,kinetic_over,398285.40909695433,10,0.0025,True
0.25,1e-14,0.00031622776601683794,raw_q,4047961024.431688,10,0.0025,True
0.25,1e-14,0.00031622776601683794,xmu,1.0000000047364932,10,0.0025,True
0.25,1e-14,0.00031622776601683794,hminus1,1.0000000047148514,10,0.0025,True
0.25,1e-14,0.00031622776601683794,balanced_l2,404.79760164104425,10,0.0025,True
0.25,1e-14,0.00031622776601683794,kinetic,398.2869410097254,10,0.0025,True
0.25,1e-14,0.00031622776601683794,kinetic_under,1.0100768064683603,10,0.0025,True
0.25,1e-14,0.00031622776601683794,kinetic_over,1259489.0498710764,10,0.0025,True
0.5,1e-08,0.0001,raw_q,1280.0781230636019,10,0.0025,True
0.5,1e-08,0.0001,xmu,0.99999999297365,10,0.0025,True
0.5,1e-08,0.0001,hminus1,0.9999999929714855,10,0.0025,True
0.5,1e-08,0.0001,balanced_l2,1.0103347956085278,10,0.0025,True
0.5,1e-08,0.0001,kinetic,1.010076796400005,10,0.0025,True
0.5,1e-08,0.0001,kinetic_under,1.0000010112294975,10,0.0025,True
0.5,1e-08,0.0001,kinetic_over,12.643203227211217,10,0.0025,True
0.5,1e-09,3.1622776601683795e-05,raw_q,4047.961164920436,10,0.0025,True
0.5,1e-09,3.1622776601683795e-05,xmu,0.999999999297365,10,0.0025,True
0.5,1e-09,3.1622776601683795e-05,hminus1,0.9999999992971492,10,0.0025,True
