caseId,family,pathId,N,dimension,start,end,tau,mu,gammaAbs,c,Lambda,p,kappa,sign,norm,muWeightExponentA,laplacianWeightExponentB,gain,logGain,xmuLogBound,kineticLogBound,boundMargin,inputMeanFraction,inputK1Fraction,inputK2Fraction,inputTailFraction,outputMeanFraction,outputK1Fraction,outputK2Fraction,outputTailFraction,rk4Steps,finiteDimensionalOnly
R073B-W0045,power,p0.75-k1,10,21,0.0,0.1,0.1,1e-06,0.001,-3.1622776601683795e-05,-0.03162277660168379,0.75,1.0,-1,balanced_l2,1.0,0.0,1.0000047626720632,4.762660721687798e-06,1.037898164013867e-05,0.0014038134884638421,0.0013990508277421543,0.9999711744538724,2.549675632693606e-05,3.328789800567454e-06,9.83390620719948e-18,0.9999614494719209,3.114209886836853e-05,7.408429210757982e-06,1.3859275972566885e-17,40,True
R073B-W0045,power,p0.75-k1,10,21,0.0,0.1,0.1,1e-06,0.001,-3.1622776601683795e-05,-0.03162277660168379,0.75,1.0,-1,kinetic,1.0,1.0,1.0000032327920605,3.2327868350314376e-06,1.037898164013867e-05,0.0014038134884638421,0.0014005807016288106,0.9999736701357581,2.5497655196708977e-05,8.322090452787621e-07,1.2934124192955048e-17,0.9999670047716741,3.114310147065054e-05,1.8521268552702689e-06,5.179945858616925e-18,40,True
R073B-W0045,power,p0.75-k1,10,21,0.0,0.1,0.1,1e-06,0.001,-3.1622776601683795e-05,-0.03162277660168379,0.75,1.0,-1,kinetic_under,0.5,1.0,0.9999999033388213,-9.666118339955576e-08,1.037898164013867e-05,0.0014038134884638421,0.0014039101496472416,0.9999999736104799,2.5556632153056247e-08,8.328880210993484e-10,1.295772613354443e-20,0.9999999669447266,3.1202428651748464e-08,1.8528449254805951e-09,5.1909733886372974e-21,40,True
R073B-W0045,power,p0.75-k1,10,21,0.0,0.1,0.1,1e-06,0.001,-3.1622776601683795e-05,-0.03162277660168379,0.75,1.0,-1,kinetic_over,1.5,1.0,1.003244830028984,0.003239576928570052,1.037898164013867e-05,0.0014038134884638421,-0.00183576344010621,0.9760115168710611,0.02319504003070542,0.0007934430982215403,1.1843586364996094e-14,0.9697080361894667,0.028514645072278806,0.0017773187382498518,4.683249137630737e-15,40,True
R073B-W0046,power,p0.75-k1,10,21,0.0,0.1,0.1,1e-05,0.0031622776601683794,-0.0001778279410038923,-0.05623413251903491,0.75,1.0,-1,raw_q,-2.0,0.0,1.5397723898297326,0.43163460669035514,5.792764422160918e-05,0.0024955504500111677,-0.429139056240344,0.8358193677032748,0.09192120629821174,0.07225942599702953,1.4839552532446638e-12,0.3525319685629997,0.2661880382903791,0.381279993146156,4.65171914881257e-13,40,True
R073B-W0046,power,p0.75-k1,10,21,0.0,0.1,0.1,1e-05,0.0031622776601683794,-0.0001778279410038923,-0.05623413251903491,0.75,1.0,-1,xmu,0.0,0.0,0.9999990004317352,-9.99568764394303e-07,5.792764422160918e-05,0.0024955504500111677,0.002496550018775562,0.9999999962937116,3.5798928217641027e-09,1.2639546487127923e-10,3.126002121743069e-20,0.9999999961658241,3.579296917929806e-09,2.548789839724778e-10,6.375732728439281e-20,40,True
R073B-W0046,power,p0.75-k1,10,21,0.0,0.1,0.1,1e-05,0.0031622776601683794,-0.0001778279410038923,-0.05623413251903491,0.75,1.0,-1,hminus1,0.0,1.0,0.9999990003841508,-9.99616348822748e-07,5.792764422160918e-05,0.0024955504500111677,0.0024965500663599906,0.9999999963697687,3.5798946445250743e-09,5.0336670390631884e-11,4.504491853519367e-20,0.9999999963402402,3.5792951643521196e-09,8.046462882873646e-11,2.0962146314057217e-20,40,True
R073B-W0046,power,p0.75-k1,10,21,0.0,0.1,0.1,1e-05,0.0031622776601683794,-0.0001778279410038923,-0.05623413251903491,0.75,1.0,-1,balanced_l2,1.0,0.0,1.0000143760459417,1.4375942607319417e-05,5.792764422160918e-05,0.0024955504500111677,0.002481174507403848,0.9999088706765645,8.060425468192624e-05,1.0525068752573531e-05,9.83109246969892e-16,0.9998781224417029,9.845289137768789e-05,2.3424666917971733e-05,1.385433176912027e-15,40,True
R073B-W0046,power,p0.75-k1,10,21,0.0,0.1,0.1,1e-05,0.0031622776601683794,-0.0001778279410038923,-0.05623413251903491,0.75,1.0,-1,kinetic,1.0,1.0,1.0000095384839454,9.538438454310677e-06,5.792764422160918e-05,0.0024955504500111677,0.002486012011556857,0.9999167559230111,8.06126880412611e-05,2.631388946311361e-06,1.2931341423332275e-15,0.9998956813979152,9.846223957186542e-05,5.856362512468052e-06,5.178645361456575e-16,40,True
R073B-W0046,power,p0.75-k1,10,21,0.0,0.1,0.1,1e-05,0.0031622776601683794,-0.0001778279410038923,-0.05623413251903491,0.75,1.0,-1,kinetic_under,0.5,1.0,0.9999990335163763,-9.664840907333845e-07,5.792764422160918e-05,0.0024955504500111677,0.002496516934101901,0.9999997348746196,2.5678276525808583e-07,8.342615085643158e-09,4.112801166309563e-18,0.9999996682192305,3.132386638524753e-07,1.8542105670378547e-08,1.6486436371817936e-18,40,True
R073B-W0046,power,p0.75-k1,10,21,0.0,0.1,0.1,1e-05,0.0031622776601683794,-0.0001778279410038923,-0.05623413251903491,0.75,1.0,-1,kinetic_over,1.5,1.0,1.0032438519037927,0.0032386019664881883,5.792764422160918e-05,0.0024955504500111677,-0.0007430515164770207,0.9760120949490965,0.02319446638662907,0.0007934386638998519,3.7451678571590205e-13,0.9697087562585444,0.02851393523019254,0.0017773085111150427,1.4809181531890227e-13,40,True
R073B-W0047,power,p0.75-k1,10,21,0.0,0.1,0.1,0.0001,0.01,-0.001,-0.1,0.75,1.0,-1,raw_q,-2.0,0.0,1.239555904834571,0.21475317420660436,0.00032137449541925117,0.004429564261378267,-0.2103236099452261,0.8012870299577082,0.13028307689237106,0.06842989308730243,6.26182905044252e-11,0.521491449343446,0.2445050423367423,0.23400350828326533,3.654624608699221e-11,40,True
R073B-W0047,power,p0.75-k1,10,21,0.0,0.1,0.1,0.0001,0.01,-0.001,-0.1,0.75,1.0,-1,xmu,0.0,0.0,0.9999900136845891,-9.986365274516687e-06,0.00032137449541925117,0.004429564261378267,0.004439550626652783,0.999999882817471,1.1318573403564986e-07,3.996795006794715e-09,3.125075896536053e-17,0.9999998787734895,1.1316689318657264e-07,8.059617163318179e-09,6.372977474719262e-17,40,True
R073B-W0047,power,p0.75-k1,10,21,0.0,0.1,0.1,0.0001,0.01,-0.001,-0.1,0.75,1.0,-1,hminus1,0.0,1.0,0.9999900121799407,-9.987869937949733e-06,0.00032137449541925117,0.004429564261378267,0.004439552131316217,0.9999998852219882,1.1318631396310022e-07,1.5916977481927687e-09,4.503434524765166e-17,0.9999998842892976,1.1316634255282084e-07,2.54435981430115e-09,2.0955826850292746e-17,40,True
R073B-W0047,power,p0.75-k1,10,21,0.0,0.1,0.1,0.0001,0.01,-0.001,-0.1,0.75,1.0,-1,balanced_l2,1.0,0.0,1.000038611894619,3.861114919894116e-05,0.00032137449541925117,0.004429564261378267,0.004390953112179325,0.9997120713186994,0.00025466099737992955,3.326768382244798e-05,9.821342491088565e-14,0.9996148935937862,0.0003110613969681264,7.404500910729201e-05,1.383628894644526e-13,40,True
R073B-W0047,power,p0.75-k1,10,21,0.0,0.1,0.1,0.0001,0.01,-0.001,-0.1,0.75,1.0,-1,kinetic,1.0,1.0,1.0000233163617351,2.331608991300027e-05,0.00032137449541925117,0.004429564261378267,0.004406248171465266,0.999736953871461,0.00025472780555553396,8.318322854150084e-06,1.292129920310059e-13,0.9996703532964967,0.0003111334845038249,1.851321894780452e-05,5.173778976397566e-14,40,True
R073B-W0047,power,p0.75-k1,10,21,0.0,0.1,0.1,0.0001,0.01,-0.001,-0.1,0.75,1.0,-1,kinetic_under,0.5,1.0,0.9999903392070609,-9.660839604830843e-06,0.00032137449541925117,0.004429564261378267,0.0044392251009830975,0.9999973101526538,2.605990235755133e-06,8.385710906129782e-08,1.3155798573652432e-15,0.9999966438132641,3.1703425734684216e-06,1.858441618323695e-07,5.283465497027899e-16,40,True
R073B-W0047,power,p0.75-k1,10,21,0.0,0.1,0.1,0.0001,0.01,-0.001,-0.1,0.75,1.0,-1,kinetic_over,1.5,1.0,1.0032340745331532,0.0032288561621503322,0.00032137449541925117,0.004429564261378267,0.0012007080992279344,0.9760178427732377,0.0231887624728692,0.0007933947420531358,1.1840016771519669e-11,0.9697159242025474,0.02850686919553543,0.0017772065972359568,4.681333167246514e-12,40,True
R073B-W0048,power,p0.75-k1,10,21,0.0,0.1,0.1,0.001,0.03162277660168379,-0.005623413251903491,-0.1778279410038923,0.75,1.0,-1,raw_q,-2.0,0.0,1.1009411329130643,0.09616538938385541,0.0017634557288834496,0.00779478571555363,-0.08837060366830178,0.8159829043784175,0.13929407790004256,0.0447230157735568,1.947983090883831e-09,0.6730790774639328,0.20625583393361868,0.12066508686247235,1.7399762281775745e-09,40,True
R073B-W0048,power,p0.75-k1,10,21,0.0,0.1,0.1,0.001,0.03162277660168379,-0.005623413251903491,-0.1778279410038923,0.75,1.0,-1,xmu,0.0,0.0,0.9999004354466364,-9.956951024273924e-05,0.0017634557288834496,0.00779478571555363,0.007894355225796368,0.9999963008988041,3.5727689571977164e-06,1.2633220759603266e-07,3.115797974689963e-14,0.9999961730745714,3.572173879959182e-06,2.54751485062898e-07,6.345476382856944e-14,40,True
R073B-W0048,power,p0.75-k1,10,21,0.0,0.1,0.1,0.001,0.03162277660168379,-0.005623413251903491,-0.1778279410038923,0.75,1.0,-1,hminus1,0.0,1.0,0.9999003878883613,-9.96170732545561e-05,0.0017634557288834496,0.00779478571555363,0.007894402788808185,0.9999963767376502,3.5729560258109917e-06,5.030627910341257e-08,4.492821106384068e-14,0.9999963475850876,3.5720043779435616e-06,8.041051355718439e-08,2.0892265402123026e-14,40,True
R073B-W0048,power,p0.75-k1,10,21,0.0,0.1,0.1,0.001,0.03162277660168379,-0.005623413251903491,-0.1778279410038923,0.75,1.0,-1,balanced_l2,1.0,0.0,1.0000535907507515,5.35893148185273e-05,0.0017634557288834496,0.00779478571555363,0.007741196400735103,0.9990918704902944,0.0008031023517165245,0.0001050271482070971,9.782004040663358e-12,0.9987853918471138,0.0009808188217648437,0.00023378931736615818,1.3755270941754678e-11,40,True
R073B-W0048,power,p0.75-k1,10,21,0.0,0.1,0.1,0.001,0.03162277660168379,-0.005623413251903491,-0.1778279410038923,0.75,1.0,-1,kinetic,1.0,1.0,1.0000052045670609,5.2045535171669756e-06,0.0017634557288834496,0.00779478571555363,0.007789581162036463,0.99917050204938,0.0008032212339965314,2.6276703746227617e-05,1.2877236411699345e-11,0.9989606637322737,0.0009808689135963387,5.846734897907831e-05,5.150895218532633e-12,40,True
R073B-W0048,power,p0.75-k1,10,21,0.0,0.1,0.1,0.001,0.03162277660168379,-0.005623413251903491,-0.1778279410038923,0.75,1.0,-1,kinetic_under,0.5,1.0,0.9999035187303417,-9.648592427542157e-05,0.0017634557288834496,0.00779478571555363,0.007891271639829051,0.9999719141501857,2.723399360419762e-05,8.518557797283714e-07,4.3030397967676086e-13,0.9999652721929293,3.285686796661783e-05,1.8709389303118815e-06,1.7369451004067766e-13,40,True
R073B-W0048,power,p0.75-k1,10,21,0.0,0.1,0.1,0.001,0.03162277660168379,-0.005623413251903491,-0.1778279410038923,0.75,1.0,-1,kinetic_over,1.5,1.0,1.0031364330369894,0.003131524691345279,0.0017634557288834496,0.00779478571555363,0.004663261024208351,0.9760742384107687,0.023132792369571328,0.0007929688462575013,3.7340249258598016e-10,0.9697865166597422,0.028437284381848442,0.0017761988109163236,1.474929904599968e-10,40,True
R073B-W0049,power,p0.75-k1,10,21,0.0,0.1,0.1,0.01,0.1,-0.03162277660168379,-0.3162277660168379,0.75,1.0,-1,raw_q,-2.0,0.0,1.0380879457825452,0.03738050734205928,0.009478981640138669,0.013039134884638422,-0.024341372457420855,0.872748287347623,0.10519606105679581,0.022055608578460145,4.3017121065190974e-08,0.8082688188461862,0.13873005102938732,0.05300108163065034,4.8493776025366247e-08,40,True
R073B-W0049,power,p0.75-k1,10,21,0.0,0.1,0.1,0.01,0.1,-0.03162277660168379,-0.3162277660168379,0.75,1.0,-1,xmu,0.0,0.0,0.9990138864092873,-0.0009866001205950008,0.009478981640138669,0.013039134884638422,0.014025735005233422,0.9998850978457434,0.00011092577136131789,3.976352654466693e-06,3.024080231864773e-11,0.9998810752899399,0.00011090619762177176,8.018451682450069e-06,6.075593008264901e-11,40,True
R073B-W0049,power,p0.75-k1,10,21,0.0,0.1,0.1,0.01,0.1,-0.03162277660168379,-0.3162277660168379,0.75,1.0,-1,hminus1,0.0,1.0,0.9990123901394116,-0.0009880978685409018,0.009478981640138669,0.013039134884638422,0.014027232753179325,0.999887428445865,0.00011098934837958857,1.5821618811498293e-06,4.3874271654466816e-11,0.9998866131607235,0.00011085967899713978,2.527140015840553e-06,2.0263603224059616e-11,40,True
