branch,N,epsilon,sampleIndex,d,lambda,lambdaImaginary,cumulativeAction,fixedContourCount,phaseAnchorAbs,eigenResidualRelative,finiteCompressionOnly
viscous,40,0.001,25,0.00086805555555555551,0.16865536042911541,-1.0529397330964083e-16,0.00014652733337787576,1,0.27377360480380825,3.9032637192454464e-16,true
viscous,40,0.001,26,0.00090277777777777774,0.16864384172073427,-1.4935202704005303e-16,0.00015238322230032441,1,0.2737817885329118,2.0586234518133896e-16,true
viscous,40,0.001,27,0.00093749999999999997,0.16863232431310365,-6.3694571918675945e-17,0.00015823871129020395,1,0.27378997308820829,2.7676630931699489e-16,true
viscous,40,0.001,28,0.00097222222222222219,0.16862080820603703,1.2814963370000186e-17,0.00016409380039267613,1,0.27379815846967337,2.3732969777868918e-16,true
viscous,40,0.001,29,0.0010069444444444444,0.16860929339934377,-1.7099544584266179e-16,0.00016994848965289609,1,0.27380634467728071,2.8700639165788991e-16,true
viscous,40,0.001,30,0.0010416666666666667,0.16859777989283575,-3.5002039959540549e-17,0.0001758027791160124,1,0.27381453171100234,2.6089568693649555e-16,true
viscous,40,0.001,31,0.0010763888888888889,0.16858626768632645,-4.3519480310208979e-17,0.00018165666882716711,1,0.27382271957081661,3.2705693192572947e-16,true
viscous,40,0.001,32,0.0011111111111111111,0.16857475677962622,-3.952058340753784e-18,0.00018751015883149581,1,0.27383090825669315,4.0899959967408119e-16,true
viscous,40,0.001,33,0.0011458333333333333,0.16856324717254928,-2.4341195690450556e-17,0.00019336324917412754,1,0.27383909776860738,1.9690148797237978e-16,true
viscous,40,0.001,34,0.0011805555555555556,0.16855173886490621,-1.0257435585912759e-16,0.00019921593990018479,1,0.27384728810653663,1.9614231775789684e-16,true
viscous,40,0.001,35,0.0012152777777777778,0.16854023185650996,1.9702180759683294e-16,0.00020506823105478363,1,0.27385547927044968,2.4820590008197324e-16,true
viscous,40,0.001,36,0.00125,0.16852872614717043,1.5260420878345124e-16,0.0002109201226830334,1,0.27386367126032624,3.4387042179985541e-16,true
viscous,40,0.001,37,0.0012847222222222223,0.16851722173670361,-1.807972455749594e-16,0.00021677161483003708,1,0.27387186407613606,2.2200221609253577e-16,true
viscous,40,0.001,38,0.0013194444444444445,0.16850571862491986,3.4806946221560363e-17,0.00022262270754089112,1,0.27388005771785279,2.4633474456527457e-16,true
viscous,40,0.001,39,0.0013541666666666667,0.16849421681163138,-3.0055791525820965e-17,0.00022847340086068542,1,0.27388825218545476,2.2958022129203981e-16,true
viscous,40,0.001,40,0.0013888888888888889,0.16848271629664899,-8.3468014197142807e-17,0.00023432369483450332,1,0.27389644747890962,1.8898166027278079e-16,true
viscous,40,0.001,41,0.0014236111111111112,0.1684712170797886,9.4311847169701928e-17,0.00024017358950742171,1,0.27390464359819772,2.5493072679148601e-16,true
viscous,40,0.001,42,0.0014583333333333334,0.168459719160859,-3.102140364561905e-17,0.00024602308492451094,1,0.27391284054328979,2.209266644973794e-16,true
viscous,40,0.001,43,0.0014930555555555556,0.16844822253967492,1.5462696655090864e-16,0.00025187218113083488,1,0.27392103831415776,1.9810430808310832e-16,true
viscous,40,0.001,44,0.0015277777777777779,0.16843672721604863,7.6767648829751525e-17,0.00025772087817145083,1,0.27392923691078008,2.8181801561210693e-16,true
viscous,40,0.001,45,0.0015625000000000001,0.16842523318978966,1.2091328641637624e-18,0.00026356917609140964,1,0.27393743633312767,3.2075993891425264e-16,true
viscous,40,0.001,46,0.0015972222222222223,0.16841374046071778,1.5735084440004686e-17,0.00026941707493575556,1,0.27394563658117183,3.5899158894587811e-16,true
viscous,40,0.001,47,0.0016319444444444445,0.16840224902863471,1.0704293439797942e-16,0.00027526457474952645,1,0.27395383765489423,3.4484190540846912e-16,true
viscous,40,0.001,48,0.0016666666666666666,0.16839075889336352,9.0065516570184228e-17,0.00028111167557775353,1,0.27396203955425935,2.3379225622891546e-16,true
viscous,40,0.001,49,0.0017013888888888888,0.16837927005471201,2.0686939945941226e-17,0.00028695837746546158,1,0.27397024227924749,2.5590680140773825e-16,true
viscous,40,0.001,50,0.001736111111111111,0.16836778251249176,6.0624919352185293e-17,0.00029280468045766902,1,0.27397844582982844,2.0777226772270695e-16,true
viscous,40,0.001,51,0.0017708333333333332,0.16835629626651674,-1.9826270570952612e-17,0.00029865058459938748,1,0.27398665020597773,3.1097198903131385e-16,true
