equal_phase_delta,base_C0,mixed_C1
-0.66120000000000001,0.69464516512526753,2.6784787223246762
-0.65999999999999992,0.69143445047886831,2.6727099868963822
-0.65879999999999994,0.68823066682140221,2.6669270897581363
-0.65759999999999996,0.68503383109053417,2.6611301249118195
-0.65639999999999998,0.6818439601110371,2.6553191865121177
-0.6552,0.67866107059460612,2.6494943688652737
-0.65400000000000003,0.67548517913967876,2.6436557664278335
-0.65279999999999994,0.67231630223125527,2.6378034738054001
-0.65159999999999996,0.66915445624072045,2.6319375857513796
-0.65039999999999998,0.66599965742566658,2.6260581971657211
-0.6492,0.6628519219297192,2.6201654030936647
-0.64800000000000002,0.6597112657823625,2.6142592987244817
-0.64680000000000004,0.65657770489876865,2.6083399793902111
-0.64559999999999995,0.65345125507962432,2.6024075405643989
-0.64439999999999997,0.65033193201096673,2.5964620778608363
-0.64319999999999999,0.64721975126401032,2.5905036870322893
-0.64200000000000002,0.64411472829498484,2.5845324639692326
-0.64080000000000004,0.64101687844496902,2.5785485046985785
-0.63959999999999995,0.63792621693972795,2.5725519053824097
-0.63839999999999997,0.63484275888955288,2.5665427623167023
-0.63719999999999999,0.63176651928909833,2.5605211719300525
-0.63600000000000001,0.62869751301722709,2.554487230782398
-0.63480000000000003,0.62563575483685063,2.5484410355637466
-0.63359999999999994,0.62258125939477627,2.5423826830928857
-0.63239999999999996,0.61953404122155176,2.5363122703161123
-0.63119999999999998,0.61649411473131288,2.5302298943059416
-0.63,0.61346149422163354,2.5241356522598277
-0.62880000000000003,0.61043619387337678,2.5180296414988712
-0.62759999999999994,0.60741822775054621,2.5119119594665404
-0.62639999999999996,0.60440760980014119,2.5057827037273759
-0.62519999999999998,0.6014043538520113,2.4996419719656995
-0.624,0.5984084736187133,2.493489861984326
-0.62280000000000002,0.59541998269537055,2.4873264717032666
-0.62159999999999993,0.59243889455953225,2.4811518991584327
-0.62039999999999995,0.58946522257103662,2.4749662425003418
-0.61919999999999997,0.58649897997187261,2.4687695999928194
-0.61799999999999999,0.58354017988604512,2.4625620700116966
-0.61680000000000001,0.58058883531944094,2.4563437510435104
-0.61559999999999993,0.57764495915969849,2.4501147416842044
-0.61439999999999995,0.57470856417607519,2.4438751406378207
-0.61319999999999997,0.57177966301931971,2.4376250467151959
-0.61199999999999999,0.56885826822154417,2.4313645588326569
-0.61080000000000001,0.56594439219609849,2.4250937760107112
-0.60960000000000003,0.56303804723744633,2.4188127973727371
-0.60839999999999994,0.56013924552104155,2.4125217221436754
-0.60719999999999996,0.55724799910320877,2.4062206496487182
-0.60599999999999998,0.55436431992102275,2.3999096793119916
-0.6048,0.55148821979218965,2.3935889106552479
-0.60360000000000003,0.54861971041493229,2.3872584432965445
-0.60239999999999994,0.54575880336787463,2.3809183769489315
-0.60119999999999996,0.54290551010992893,2.374568811419131
-0.59999999999999998,0.5400598419801832,2.3682098466062218
-0.5988,0.53722181019779214,2.3618415825003152
-0.59760000000000002,0.53439142586186905,2.3554641191812364
-0.59640000000000004,0.53156869995137646,2.3490775568172015
-0.59519999999999995,0.52875364332502461,2.3426819956634937
-0.59399999999999997,0.52594626672116451,2.3362775360611403
-0.59279999999999999,0.52314658075768827,2.3298642784355854
-0.59160000000000001,0.52035459593192623,2.3234423232953643
-0.59040000000000004,0.51757032262055014,2.3170117712307752
-0.58919999999999995,0.51479377107947477,2.3105727229125512
-0.58799999999999997,0.51202495144376248,2.3041252790905307
-0.58679999999999999,0.50926387372752924,2.297669540592326
-0.58560000000000001,0.50651054782385097,2.2912056083219929
-0.58440000000000003,0.50376498350467447,2.2847335832586957
-0.58319999999999994,0.50102719042072685,2.2782535664553762
-0.58199999999999996,0.49829717810142837,2.2717656590374209
-0.58079999999999998,0.49557495595480522,2.2652699622013195
-0.5796,0.49286053326740675,2.2587665772133358
-0.57840000000000003,0.4901539192042213,2.2522556054081662
