kappa_q_rj,exact_alpha,quadratic_asymptotic
0.045260000000000002,0.0024545666517568066,0.0024581611200000003
0.045879999999999997,0.0025221738371641322,0.0025259692799999996
0.0465,0.0025906952732732691,0.0025947000000000001
0.047120000000000002,0.0026601307342808411,0.0026643532800000006
0.047739999999999998,0.0027304799914524835,0.0027349291199999992
0.04836,0.0028017428131867916,0.0028064275199999999
0.048980000000000003,0.0028739189648234742,0.0028788484800000005
0.049599999999999998,0.0029470082083449256,0.0029521920000000002
0.050220000000000001,0.0030210103032075608,0.0030264580799999998
0.050840000000000003,0.003095925005638378,0.0031016467200000002
0.051459999999999999,0.0031717520688161471,0.0031777579200000005
0.052080000000000001,0.0032484912430739143,0.0032547916800000007
0.052699999999999997,0.0033261422755899162,0.0033327479999999991
0.053319999999999999,0.0034047049105794258,0.00341162688
0.053940000000000002,0.0034841788894226511,0.00349142832
0.054559999999999997,0.0035645639502490667,0.0035721523199999999
0.05518,0.0036458598282358423,0.0036537988800000006
0.055800000000000002,0.0037280662557677147,0.0037363680000000003
0.056419999999999998,0.0038111829620319781,0.00381985968
0.05704,0.0038952096733382291,0.0039042739200000004
0.057660000000000003,0.003980146112755989,0.0039896107199999999
0.058279999999999998,0.0040659920007648509,0.0040758700800000002
0.058900000000000001,0.0041527470544977518,0.0041630519999999996
0.059520000000000003,0.0042404109883271701,0.0042511564800000005
0.060139999999999999,0.0043289835135560395,0.0043401835200000006
0.060760000000000002,0.0044184643383218258,0.0044301331200000005
0.061379999999999997,0.0045088531681081179,0.0045210052799999996
0.062,0.0046001497051690876,0.0046127999999999994
0.062619999999999995,0.0046923536487906148,0.0047055172799999991
0.063240000000000005,0.0047854646954714752,0.0047991571200000013
0.06386,0.0048794825384277374,0.0048937195200000009
0.064479999999999996,0.0049744068680883657,0.0049892044799999995
0.065100000000000005,0.0050702373718767291,0.0050856120000000006
0.065720000000000001,0.0051669737342106004,0.0051829420800000008
0.066339999999999996,0.0052646156365288022,0.0052811947200000001
0.066960000000000006,0.0053631627573071938,0.005380369920000001
0.067580000000000001,0.0054626147719574192,0.00548046768
0.068199999999999997,0.0055629713530667146,0.005581487999999999
0.068820000000000006,0.0056642321701847465,0.0056834308800000014
0.069440000000000002,0.0057663968897809781,0.0057862963200000003
0.070059999999999997,0.0058694651755377691,0.0058900843199999999
0.070680000000000007,0.0059734366879879985,0.0059947948800000012
0.071300000000000002,0.0060783110848294797,0.0061004279999999998
0.071919999999999998,0.0061840880207331139,0.00620698368
0.072539999999999993,0.006290767147380194,0.0063144619199999984
0.073160000000000003,0.0063983481135210241,0.0064228627200000003
0.073779999999999998,0.0065068305649162994,0.0065321860799999994
0.074399999999999994,0.006616214144411714,0.0066424319999999985
0.075020000000000003,0.0067264984918686821,0.0067536004800000009
0.075639999999999999,0.0068376832441217061,0.0068656915199999998
0.076259999999999994,0.0069497680351648938,0.0069787051199999995
0.076880000000000004,0.0070627524958535304,0.0070926412800000008
0.077499999999999999,0.0071766362543304041,0.0072075000000000004
0.078119999999999995,0.0072914189355621772,0.0073232812799999989
0.078740000000000004,0.0074071001616964338,0.0074399851200000009
0.07936,0.0075236795518272004,0.0075576115199999985
0.079979999999999996,0.0076411567221601473,0.0076761604799999994
0.080600000000000005,0.0077595312859806143,0.0077956320000000011
0.081220000000000001,0.0078788028535576871,0.0079160260799999993
0.081839999999999996,0.0079989710322401208,0.00803734272
0.082460000000000006,0.008120035426371075,0.0081595819200000006
0.083080000000000001,0.0082419956374852887,0.0082827436799999994
0.083699999999999997,0.0083648512640692729,0.0084068279999999999
0.084320000000000006,0.0084886019016732206,0.008531834880000002
0.084940000000000002,0.0086132471429110069,0.0086577643200000005
0.085559999999999997,0.0087387865775081508,0.008784616319999999
0.086180000000000007,0.0088652197921366138,0.0089123908800000009
0.086800000000000002,0.0089925463707158926,0.0090410879999999992
0.087419999999999998,0.009120765894055971,0.0091707076799999992
0.088039999999999993,0.0092498779401077869,0.0093012499199999991
0.088660000000000003,0.0093798820839099406,0.0094327147200000024
0.089279999999999998,0.0095107778975087598,0.0095651020799999986
0.089899999999999994,0.0096425649500595512,0.0096984119999999983
0.090520000000000003,0.0097752428077919618,0.0098326444800000013
0.091139999999999999,0.009908811034020637,0.0099677995199999991
0.091759999999999994,0.010043269189105253,0.010103877119999998
0.092380000000000004,0.010178616830517129,0.010240877280000001
0.092999999999999999,0.010314853512753963,0.010378800000000001
0.093619999999999995,0.010451978787438421,0.010517645279999998
0.094240000000000004,0.010589992203280829,0.010657413120000002
0.09486,0.010728893306047205,0.01079810352
0.095479999999999995,0.010868681638577904,0.010939716479999997
0.096100000000000005,0.011009356740864895,0.011082252000000001
0.09672,0.011150918149913203,0.01122571008
0.097339999999999996,0.011293365399847488,0.011370090719999998
0.097960000000000005,0.011436698021920044,0.011515393920000002
0.098580000000000001,0.011580915544414871,0.011661619679999999
0.099199999999999997,0.011726017492770247,0.011808768000000001
0.099820000000000006,0.011872003389458818,0.011956838880000001
0.10044,0.012018872754078203,0.012105832319999999
0.10106,0.012166625103372297,0.012255748319999999
0.10168000000000001,0.012315259951130031,0.012406586880000001
0.1023,0.012464776808281286,0.012558348
0.10292,0.012615175182782323,0.012711031680000002
0.10353999999999999,0.012766454579820952,0.012864637919999996
0.10416,0.012918614501616688,0.013019166720000003
0.10478,0.013071654447490033,0.01317461808
0.10539999999999999,0.013225573913942412,0.013330991999999996
0.10602,0.013380372394469653,0.013488288479999999
0.10664,0.013536049379852422,0.01364650752
0.10725999999999999,0.013692604357825822,0.013805649119999999
0.10788,0.01385003681334851,0.01396571328
0.1085,0.014008346228458812,0.014126700000000001
0.10911999999999999,0.014167532082333345,0.01428860928
0.10974,0.014327593851260367,0.014451441120000002
0.11036,0.014488531008693073,0.014615195520000002
0.11098,0.01465034302513768,0.014779872480000001
0.1116,0.01481302936832396,0.014945472000000001
0.11222,0.014976589503040039,0.01511199408
0.11284,0.01514102289127095,0.01527943872
0.11346000000000001,0.015306328992097384,0.015447805920000002
0.11408,0.015472507261711677,0.015617095680000002
0.1147,0.015639557153521721,0.015787308
0.11532000000000001,0.015807478118057716,0.01595844288
0.11594,0.015976269602940185,0.016130500319999998
0.11656,0.016145931052989226,0.016303480320000001
0.11718000000000001,0.016316461910165891,0.016477382880000002
0.1178,0.016487861613566857,0.016652207999999998
0.11842,0.016660129599436413,0.016827955679999999
0.11904000000000001,0.016833265301202438,0.017004625920000002
0.11966,0.017007268149448418,0.01718221872
0.12028,0.017182137571884137,0.017360734080000002
