N,saturationNormalGainSquaredExact,saturationNormalGainDecimal,saturationPlanarGainSquaredExact,saturationPlanarGainDecimal,halfLimitNormalGainSquaredExact,halfLimitNormalGainDecimal,halfLimitPlanarGainSquaredExact,halfLimitPlanarGainDecimal,classification
48,1/1,1,1/2305,0.020828813681835669,1/2,0.70710678118654757,2401/9410,0.50512779708914857,exact all-index family presentation row
49,1/1,1,1/2402,0.020403914662519312,1/2,0.70710678118654757,1250/4901,0.5050247417681637,exact all-index family presentation row
50,1/1,1,1/2501,0.019996001199600141,1/2,0.70710678118654757,2601/10202,0.50492574682026226,exact all-index family presentation row
51,1/1,1,1/2602,0.019604074934445579,1/2,0.70710678118654757,1352/5305,0.50483057693085065,exact all-index family presentation row
52,1/1,1,1/2705,0.019227214231343204,1/2,0.70710678118654757,2809/11026,0.50473901462268422,exact all-index family presentation row
53,1/1,1,1/2810,0.018864566947613626,1/2,0.70710678118654757,1458/5725,0.50465085859727754,exact all-index family presentation row
54,1/1,1,1/2917,0.018515344006020947,1/2,0.70710678118654757,3025/11882,0.50456592225799057,exact all-index family presentation row
55,1/1,1,1/3026,0.018178813667514959,1/2,0.70710678118654757,1568/6161,0.50448403239199158,exact all-index family presentation row
56,1/1,1,1/3137,0.01785429641688294,1/2,0.70710678118654757,3249/12770,0.50440502799151066,exact all-index family presentation row
57,1/1,1,1/3250,0.017541160386140585,1/2,0.70710678118654757,1682/6613,0.5043287591975073,exact all-index family presentation row
58,1/1,1,1/3365,0.017238817250844786,1/2,0.70710678118654757,3481/13690,0.504255086351174,exact all-index family presentation row
59,1/1,1,1/3482,0.016946718543287685,1/2,0.70710678118654757,1800/7081,0.50418387914064933,exact all-index family presentation row
60,1/1,1,1/3601,0.016664352333993333,1/2,0.70710678118654757,3721/14642,0.50411501583197216,exact all-index family presentation row
61,1/1,1,1/3722,0.01639124023930107,1/2,0.70710678118654757,1922/7565,0.50404838257473483,exact all-index family presentation row
62,1/1,1,1/3845,0.016126934718260072,1/2,0.70710678118654757,3969/15626,0.50398387277410273,exact all-index family presentation row
63,1/1,1,1/3970,0.015871016626723793,1/2,0.70710678118654757,2048/8065,0.50392138652191809,exact all-index family presentation row
64,1/1,1,1/4097,0.015623093000542114,1/2,0.70710678118654757,4225/16642,0.50386083008050186,exact all-index family presentation row
65,1/1,1,1/4226,0.015382795043203982,1/2,0.70710678118654757,2178/8581,0.5038021154135458,exact all-index family presentation row
66,1/1,1,1/4357,0.015149776296267386,1/2,0.70710678118654757,4489/17690,0.50374515975915846,exact all-index family presentation row
67,1/1,1,1/4490,0.01492371097349751,1/2,0.70710678118654757,2312/9113,0.50368988524071046,exact all-index family presentation row
68,1/1,1,1/4625,0.014704292441876154,1/2,0.70710678118654757,4761/18770,0.50363621851163254,exact all-index family presentation row
69,1/1,1,1/4762,0.014491231834595648,1/2,0.70710678118654757,2450/9661,0.5035840904307598,exact all-index family presentation row
