amplitude,exactSignedTotal,sampledSignedSum,sampledTotalResidual,annularL1,exactTotalOverAnnularL1OfMeans,minimumAnnulus,negativeAnnulusCount
0.21925,0.029319800643454505,0.029841521010961436,0.000521720367506931,0.03196553393454857,0.9172316878388026,-0.0010620064617935672,1
0.2195,0.029373534578785526,0.029897914973867828,0.0005243803950823016,0.032029446550886354,0.9170790551163198,-0.0010657657885092605,1
0.21975,0.02942744588850984,0.029954491412038514,0.0005270455235286756,0.03209355913827175,0.9169268438481616,-0.0010695338631166143,1
0.22,0.029481534749111075,0.030011250508261,0.0005297157591499235,0.0321578718995806,0.9167750540574661,-0.0010733106956597996,1
0.22025,0.02953580133707288,0.03006819244532281,0.00053239110824993,0.03222238503768879,0.9166236857553047,-0.0010770962961829866,1
0.2205,0.029590245828878897,0.03012531740601147,0.0005350715771325724,0.03228709875547216,0.9164727389407763,-0.0010808906747303453,1
0.22075,0.029644868401012745,0.030182625573114477,0.000537757172101732,0.03235201325580657,0.9163222136010981,-0.0010846938413460465,1
0.221,0.02969966922995807,0.03024011712941936,0.0005404478994612896,0.03241712874156788,0.9161721097117013,-0.0010885058060742603,1
0.22125,0.029754648492198513,0.030297792257713643,0.0005431437655151299,0.03248244541563196,0.9160224272363215,-0.001092326578959157,1
0.2215,0.029809806364217706,0.030355651140784833,0.0005458447765671268,0.032547963480874645,0.9158731661270945,-0.001096156170044907,1
0.22175,0.029865143022499277,0.03041369396142044,0.0005485509389211614,0.0326136831401718,0.9157243263246456,-0.0010999945893756806,1
0.222,0.029920658643526873,0.030471920902407995,0.0005512622588811217,0.03267960459639929,0.9155759077581861,-0.0011038418469956483,1
0.22225,0.029976353403784132,0.030530332146535017,0.0005539787427508852,0.03274572805243298,0.9154279103456034,-0.0011076979529489805,1
0.2225,0.030032227479754682,0.030588927876589015,0.000556700396834333,0.0328120537111487,0.9152803339935559,-0.0011115629172798475,1
0.22275,0.030088281047922168,0.030647708275357503,0.0005594272274353357,0.03287858177542235,0.9151331785975633,-0.0011154367500324192,1
0.223,0.030144514284770215,0.030706673525628003,0.0005621592408577882,0.03294531244812974,0.9149864440421016,-0.0011193194612508666,1
0.22325,0.030200927366782475,0.03076582381018804,0.0005648964434055645,0.03301224593214676,0.9148401302006941,-0.0011232110609793598,1
0.2235,0.030257520470442573,0.03082515931182513,0.0005676388413825562,0.03307938243034926,0.9146942369360039,-0.001127111559262069,1
0.22375,0.03031429377223415,0.03088468021332677,0.0005703864410926199,0.033146722145613094,0.9145487640999275,-0.001131020966143165,1
0.224,0.030371247448640844,0.030944386697480498,0.000573139248839654,0.033214265280814136,0.9144037115336846,-0.0011349392916668174,1
0.22425,0.03042838167614628,0.031004278947073822,0.0005758972709275431,0.03328201203882822,0.9142590790679129,-0.0011388665458771973,1
0.2245,0.030485696631234106,0.031064357144894267,0.0005786605136601612,0.03334996262253122,0.9141148665227584,-0.0011428027388184748,1
0.22475,0.030543192490387963,0.031124621473729342,0.000581428983341379,0.03341811723479898,0.9139710737079676,-0.0011467478805348198,1
0.225,0.03060086943009148,0.03118507211636657,0.0005842026862750913,0.033486476078507375,0.9138277004229787,-0.0011507019810704034,1
0.22525,0.03065872762682828,0.03124570925559346,0.0005869816287651791,0.03355503935653226,0.9136847464570134,-0.0011546650504693954,1
0.2255,0.030716767257082025,0.03130653307419753,0.0005897658171155028,0.03362380727174946,0.9135422115891701,-0.0011586370987759663,1
0.22575,0.030774988497336342,0.031367543754966316,0.0005925552576299745,0.03369278002703489,0.9134000955885111,-0.0011626181360342867,1
0.226,0.03083339152407486,0.03142874148068731,0.0005953499566124509,0.033761957825264366,0.9132583982141571,-0.0011666081722885265,1
0.22625,0.03089197651378122,0.03149012643414806,0.0005981499203668375,0.033831340869313775,0.9131171192153763,-0.0011706072175828566,1
0.2265,0.03095074364293906,0.03155169879813604,0.0006009551551969805,0.03390092936205893,0.9129762583316774,-0.0011746152819614468,1
0.22675,0.03100969308803202,0.031613458755438806,0.0006037656674067853,0.03397072350637574,0.9128358152928953,-0.0011786323754684677,1
0.227,0.03106882502554373,0.031675406488843844,0.000606581463300112,0.03404072350514002,0.9126957898192868,-0.0011826585081480899,1
0.22725,0.031128139631957832,0.0317375421811387,0.0006094025491808694,0.03411092956122767,0.9125561816216162,-0.001186693690044483,1
0.2275,0.031187637083757956,0.031799866015110874,0.0006122289313529178,0.034181341877514516,0.9124169904012485,-0.0011907379312018184,1
0.22775,0.03124731755742774,0.031862378173547895,0.0006150606161201555,0.034251960656876426,0.912278215850237,-0.0011947912416642658,1
0.228,0.03130718122945083,0.031925078839237266,0.0006178976097864358,0.03432278610218926,0.9121398576514137,-0.0011988536314759954,1
0.22825,0.031367228276310846,0.031987968194966514,0.0006207399186556675,0.034393818416328874,0.9120019154784769,-0.001202925110681178,1
0.2285,0.031427458874491436,0.032051046423523154,0.0006235875490317178,0.03446505780217112,0.9118643889960825,-0.0012070056893239835,1
0.22875,0.03148787320047624,0.03211431370769469,0.0006264405072184537,0.034536504462591856,0.9117272778599312,-0.0012110953774485827,1
0.229,0.031548471430748876,0.03217777023026867,0.000629298799519791,0.03460815860046696,0.9115905817168556,-0.0012151941850991456,1
0.22925,0.031609253741793006,0.03224141617403258,0.0006321624322395761,0.03468002041867226,0.9114543002049126,-0.0012193021223198429,1
0.2295,0.03167022031009224,0.03230525172177396,0.0006350314116817177,0.034752090120083644,0.9113184329534657,-0.0012234191991548449,1
0.22975,0.03173137131213024,0.03236927705628031,0.0006379057441500691,0.034824367907576946,0.9111829795832778,-0.0012275454256483215,1
0.23,0.031792706924390624,0.032433492360339156,0.0006407854359485321,0.034896853984028045,0.9110479397065948,-0.0012316808118444432,1
0.23025,0.03185422732335704,0.032497897816738015,0.0006436704933809739,0.034969548552312775,0.9109133129272354,-0.001235825367787381,1
0.2305,0.03191593268551312,0.03256249360826441,0.0006465609227512895,0.03504245181530702,0.9107790988406755,-0.0012399791035213046,1
0.23075,0.03197782318734249,0.03262727991770584,0.0006494567303633458,0.03511556397588661,0.9106452970341367,-0.0012441420290903843,1
0.231,0.03203989900532881,0.03269225692784984,0.000652357922521031,0.035188885236927425,0.9105119070866715,-0.0012483141545387908,1
0.23125,0.0321021603159557,0.03275742482148391,0.0006552645055282122,0.0352624158013053,0.9103789285692496,-0.0012524954899106942,1
0.2315,0.03216460729570679,0.03282278378139559,0.0006581764856887981,0.035336155871896126,0.9102463610448425,-0.0012566860452502653,1
0.23175,0.03222724012106573,0.03288833399037238,0.000661093869306649,0.03541010565157573,0.9101142040685111,-0.0012608858306016736,1
0.232,0.03229005896851615,0.032954075631201805,0.0006640166626856528,0.03548426534321999,0.9099824571874882,-0.0012650948560090902,1
0.23225,0.032353064014541695,0.03302000888667138,0.0006669448721296836,0.035558635149704754,0.9098511199412648,-0.0012693131315166851,1
0.2325,0.032416255435626,0.033086133939568614,0.0006698785039426156,0.03563321527390587,0.9097201918616744,-0.001273540667168629,1
0.23275,0.03247963340825268,0.033152450972681054,0.0006728175644283713,0.035708005918699236,0.9095896724729747,-0.001277777473009092,1
0.233,0.03254319810890541,0.03321896016879617,0.0006757620598907624,0.03578300728696066,0.9094595612919364,-0.0012820235590822444,1
0.23325,0.03260694971406779,0.03328566171070151,0.0006787119966337254,0.03585821958156602,0.9093298578279205,-0.0012862789354322565,1
0.2335,0.032670888400223475,0.033352555781184595,0.0006816673809611207,0.03593364300539119,0.9092005615829657,-0.001290543612103299,1
0.23375,0.0327350143438561,0.033419642563032925,0.0006846282191768222,0.036009277761312006,0.9090716720518695,-0.0012948175991395418,1
0.234,0.03279932772144929,0.033486922239034024,0.0006875945175847317,0.03608512405220434,0.90894318872227,-0.0012991009065851556,1
0.23425,0.0328638287094867,0.03355439499197541,0.0006905662824887096,0.036161182080944036,0.9088151110747303,-0.0013033935444843106,1
0.23450000000000001,0.032928517484451955,0.033622061004644606,0.0006935435201926507,0.03623745205040697,0.908687438582817,-0.001307695522881177,1
0.23475000000000001,0.032993394222828695,0.03368992045982912,0.0006965262370004222,0.03631393416346897,0.9085601707131842,-0.0013120068518199255,1
0.23500000000000001,0.033058459101100564,0.033757973540316476,0.0006995144392159119,0.036390628623005926,0.9084333069256522,-0.001316327541344726,1
0.23525000000000001,0.03312371229575118,0.03382622042889419,0.000702508133143008,0.036467535631893686,0.9083068466732895,-0.0013206576014997496,1
0.23550000000000001,0.03318915398326419,0.033894661308349776,0.0007055073250855845,0.0365446553930081,0.9081807894024936,-0.0013249970423291658,1
0.23575000000000002,0.03325478434012323,0.033963296361470746,0.0007085120213475155,0.03662198810922504,0.9080551345530689,-0.0013293458738771453,1
0.23600000000000002,0.03332060354281194,0.03403212577104463,0.0007115222282326888,0.03669953398342034,0.9079298815583083,-0.0013337041061878586,1
0.23625000000000002,0.03338661176781395,0.03410114971985893,0.0007145379520449788,0.03677729321846988,0.9078050298450703,-0.001338071749305476,1
0.23650000000000002,0.0334528091916129,0.03417036839070118,0.0007175591990882801,0.03685526601724951,0.9076805788338592,-0.0013424488132741678,1
0.23675000000000002,0.033519195990692426,0.03423978196635888,0.0007205859756664532,0.036933452582635085,0.9075565279389035,-0.0013468353081381042,1
0.23700000000000002,0.03358577234153617,0.03430939062961957,0.0007236182880833997,0.037011853117502484,0.9074328765682321,-0.0013512312439414556,1
0.23725000000000002,0.03365253842062776,0.03437919456327075,0.0007266561426429938,0.03709046782472754,0.9073096241237546,-0.0013556366307283928,1
0.23750000000000002,0.03371949440445083,0.03444919395009993,0.0007296995456491026,0.03716929690718611,0.9071867700013364,-0.0013600514785430855,1
0.23775000000000002,0.033786640469489024,0.03451938897289466,0.000732748503405635,0.037248340567754064,0.9070643135908761,-0.0013644757974297043,1
0.23800000000000002,0.03385397679222598,0.034589779814442424,0.0007358030222164441,0.03732759900930726,0.9069422542763823,-0.0013689095974324197,1
0.23825000000000002,0.033921503549145325,0.034660366657530736,0.0007388631083854111,0.037407072434721536,0.9068205914360494,-0.0013733528885954017,1
0.23850000000000002,0.033989220916730706,0.034731149684947143,0.0007419287682164377,0.03748676104687279,0.9066993244423326,-0.001377805680962821,1
0.23875000000000002,0.034057129071465755,0.034802129079479154,0.0007450000080133981,0.03756666504863685,0.9065784526620245,-0.001382267984578848,1
0.23900000000000002,0.034125228189834114,0.03487330502391427,0.0007480768340801525,0.03764678464288958,0.9064579754563292,-0.0013867398094876528,1
0.23925000000000002,0.0341935184483194,0.03494467770104001,0.0007511592527206096,0.03772712003250682,0.9063378921809362,-0.0013912211657334057,1
0.23950000000000002,0.03426200002340528,0.0350162472936439,0.0007542472702386227,0.03780767142036445,0.906218202186095,-0.0013957120633602772,1
0.23975000000000002,0.034330673091575364,0.035088013984513465,0.0007573408929381006,0.03788843900933834,0.9060989048166884,-0.0014002125124124379,1
0.24,0.03439953782931329,0.03515997795643621,0.0007604401271229175,0.03796942300230432,0.9059799994123068,-0.001404722522934057,1
0.24025,0.03446859441310271,0.03523213939219965,0.0007635449790969404,0.03805062360213827,0.9058614853073192,-0.0014092421049693065,1
0.2405,0.034537843019427264,0.035304498474591314,0.0007666554551640503,0.03813204101171602,0.9057433618309483,-0.001413771268562356,1
0.24075,0.034607283824770574,0.035377055386398716,0.0007697715616281423,0.03821367543391347,0.9056256283073381,-0.0014183100237573757,1
0.241,0.03467691700561627,0.03544981031040936,0.0007728933047930903,0.03829552707160644,0.90550828405563,-0.0014228583805985361,1
0.24125,0.03474674273844801,0.03552276342941078,0.0007760206909627684,0.0383775961276708,0.9053913283900319,-0.0014274163491300076,1
0.2415,0.03481676119974941,0.03559591492619049,0.0007791537264410786,0.038459882804982415,0.9052747606198883,-0.0014319839393959603,1
0.24175,0.03488697256600412,0.035669264983535995,0.0007822924175318741,0.038542387306417125,0.9051585800497522,-0.001436561161440565,1
0.242,0.03495737701369578,0.03574281378423482,0.0007854367705390428,0.03862510983485081,0.9050427859794538,-0.0014411480253079918,1
0.24225,0.03502797471930801,0.03581656151107449,0.0007885867917664796,0.038708050593159314,0.9049273777041703,-0.0014457445410424109,1
0.2425,0.03509876585932447,0.035890508346842515,0.0007917424875180448,0.0387912097842185,0.9048123545144953,-0.001450350718687993,1
0.24275,0.03516975061022877,0.03596465447432641,0.0007949038640976402,0.03887458761090423,0.9046977156965065,-0.001454966568288908,1
0.243,0.03524092914850456,0.03603900007631369,0.000798070927809133,0.03895818427609235,0.9045834605318356,-0.0014595920998893269,1
0.24325,0.03531230165063548,0.036113545335591885,0.0008012436849564042,0.039041999982658726,0.9044695882977342,-0.001464227323533419,1
0.2435,0.03538386829310515,0.0361882904349485,0.0008044221418433486,0.03912603493347921,0.9043560982671419,-0.0014688722492653557,1
0.24375,0.03545562925239723,0.036263235557171064,0.0008076063047738335,0.03921028933142967,0.904242989708754,-0.0014735268871293068,1
0.244,0.035527584704995334,0.036338380885047074,0.0008107961800517399,0.03929476337938596,0.9041302618870868,-0.001478191247169443,1
0.24425,0.035599734827383114,0.03641372660136406,0.0008139917739809488,0.039379457280223934,0.9040179140625443,-0.0014828653394299343,1
0.2445,0.0356720797960442,0.036489272888909546,0.0008171930928653481,0.03946437123681945,0.9039059454914836,-0.001487549173954951,1
0.24475,0.03574461978746224,0.03656501993047104,0.0008204001430087982,0.03954950545204837,0.903794355426281,-0.001492242760788664,1
0.245,0.03581735497812085,0.03664096790883606,0.0008236129307152076,0.039634860128786545,0.9036831431153944,-0.0014969461099752432,1
0.24525,0.035890285544503686,0.03671711700679213,0.0008268314622884437,0.039720435469909846,0.9035723078034307,-0.0015016592315588591,1
0.2455,0.035963411663094365,0.03679346740712676,0.0008300557440323944,0.03980623167829413,0.9034618487312074,-0.001506382135583682,1
0.24575,0.03603673351037654,0.036870019292627475,0.0008332857822509337,0.039892248956815236,0.903351765135818,-0.001511114832093882,1
0.246,0.03611025126283384,0.03694677284608178,0.0008365215832479359,0.039978487508349037,0.9032420562506933,-0.0015158573311336299,1
0.24625,0.0361839650969499,0.03702372825027718,0.0008397631533272817,0.040064947535771375,0.903132721305665,-0.0015206096427470956,1
0.2465,0.036257875189208366,0.03710088568800123,0.0008430104987928663,0.040151629241958135,0.9030237595270274,-0.0015253717769784503,1
