replicate,index,xZone,yZone,xRole,yRole,pairClass,c0,c1,c2,c3
13,-6,0,1,inner-core,inner-transition,inner-core--inner-transition,4.2627414023948796e-05,-8.525482804789788e-05,4.262741402394945e-05,-3.7947076036992655e-19
13,-6,0,2,inner-core,intermediate-plateau,inner-core--intermediate-plateau,0.0,0.0,0.0,0.0
13,-6,0,3,inner-core,outer-transition,inner-core--outer-transition,0.0,0.0,0.0,0.0
13,-6,1,1,inner-transition,inner-transition,inner-transition--inner-transition,0.00023619670120642375,-0.00011237449011477552,-0.00048384112338971993,0.0003600189122980712
13,-6,1,2,inner-transition,intermediate-plateau,inner-transition--intermediate-plateau,0.0,-0.000847955450793888,0.0016959109015877755,-0.0008479554507938875
13,-6,1,3,inner-transition,outer-transition,inner-transition--outer-transition,0.0,0.0,0.0,0.0
13,-6,2,2,intermediate-plateau,intermediate-plateau,intermediate-plateau--intermediate-plateau,0.0,0.0,0.0,0.0
13,-6,2,3,intermediate-plateau,outer-transition,intermediate-plateau--outer-transition,0.0,3.970466940254533e-23,-1.5881867761018131e-22,7.608674196581108e-09
13,-6,3,3,outer-transition,outer-transition,outer-transition--outer-transition,0.0,3.2526065174565133e-18,-1.3010426069826053e-17,0.0003738943895463219
13,-5,0,0,inner-core,inner-core,inner-core--inner-core,0.0,0.0,0.0,0.0
13,-5,0,1,inner-core,inner-transition,inner-core--inner-transition,0.0015963309650631227,-0.0031926619301262463,0.0015963309650631266,-3.469446951953614e-18
13,-5,0,2,inner-core,intermediate-plateau,inner-core--intermediate-plateau,0.0,0.0,0.0,0.0
13,-5,0,3,inner-core,outer-transition,inner-core--outer-transition,0.0,0.0,0.0,0.0
13,-5,1,1,inner-transition,inner-transition,inner-transition--inner-transition,0.001552274303248731,-0.0026209314162441285,0.0005850399227420658,0.0004836171902533326
13,-5,1,2,inner-transition,intermediate-plateau,inner-transition--intermediate-plateau,0.0,-0.003341067551575619,0.006682135103151238,-0.003341067551575618
13,-5,1,3,inner-transition,outer-transition,inner-transition--outer-transition,0.0,0.0,0.0,0.0
13,-5,2,2,intermediate-plateau,intermediate-plateau,intermediate-plateau--intermediate-plateau,0.0,0.0,0.0,0.0
13,-5,2,3,intermediate-plateau,outer-transition,intermediate-plateau--outer-transition,0.0,1.6940658945086007e-20,1.3552527156068805e-20,2.242108251090457e-05
13,-5,3,3,outer-transition,outer-transition,outer-transition--outer-transition,0.0,2.168404344971009e-18,-3.469446951953614e-18,0.0017245223328284393
13,-4,0,0,inner-core,inner-core,inner-core--inner-core,0.0,0.0,0.0,0.0
13,-4,0,1,inner-core,inner-transition,inner-core--inner-transition,0.01683368565010579,-0.03366737130021158,0.01683368565010579,0.0
13,-4,0,2,inner-core,intermediate-plateau,inner-core--intermediate-plateau,0.0,0.0,0.0,0.0
13,-4,0,3,inner-core,outer-transition,inner-core--outer-transition,0.0,0.0,0.0,0.0
13,-4,1,1,inner-transition,inner-transition,inner-transition--inner-transition,-0.006150930553525384,0.00038376608796217293,0.0176852594846518,-0.011918095019088595
13,-4,1,2,inner-transition,intermediate-plateau,inner-transition--intermediate-plateau,0.0,0.0007334014652027314,-0.001466802930405463,0.0007334014652027314
13,-4,1,3,inner-transition,outer-transition,inner-transition--outer-transition,0.0,0.0,0.0,0.0
