kind,index,z,k,theta,phi_plus,phi_minus,omega_sq,beta_plus_norm,beta_minus_norm,parent_norm,fine_defect_norm,critical_rate,critical_rate_over_k2,box_cost,cauchy_ratio
geometry,37,0.96865773485685291,,,0.41040801261367493,0.58959198738632512,0.32081602522734987,,,,,,,,
geometry,38,0.99483767363676778,,,0.39831583923104996,0.60168416076895004,0.29663167846209992,,,,,,,,
geometry,39,1.0210176124166828,,,0.38650237506511331,0.61349762493488669,0.27300475013022663,,,,,,,,
geometry,40,1.0471975511965976,,,0.37500000000000006,0.625,0.25000000000000011,,,,,,,,
geometry,41,1.0733774899765125,,,0.36384024124624331,0.63615975875375663,0.2276804824924866,,,,,,,,
geometry,42,1.0995574287564276,,,0.35305368692688177,0.64694631307311823,0.20610737385376349,,,,,,,,
geometry,43,1.1257373675363425,,,0.34266990223754068,0.65733009776245932,0.18533980447508136,,,,,,,,
geometry,44,1.1519173063162573,,,0.33271734841028555,0.66728265158971445,0.16543469682057102,,,,,,,,
geometry,45,1.1780972450961724,,,0.32322330470336313,0.67677669529663687,0.1464466094067263,,,,,,,,
geometry,46,1.2042771838760873,,,0.31421379363065149,0.68578620636934851,0.12842758726130296,,,,,,,,
geometry,47,1.2304571226560024,,,0.30571350963575727,0.69428649036424273,0.11142701927151455,,,,,,,,
geometry,48,1.2566370614359172,,,0.29774575140626314,0.70225424859373686,0.095491502812526302,,,,,,,,
geometry,49,1.2828170002158321,,,0.29033235801364399,0.70966764198635601,0.080664716027288058,,,,,,,,
geometry,50,1.3089969389957472,,,0.2834936490538903,0.7165063509461097,0.06698729810778066,,,,,,,,
geometry,51,1.3351768777756621,,,0.27724836895290805,0.72275163104709195,0.054496737905816099,,,,,,,,
geometry,52,1.3613568165555772,,,0.27161363558934976,0.7283863644106503,0.043227271178699511,,,,,,,,
geometry,53,1.387536755335492,,,0.26660489337569959,0.73339510662430041,0.033209786751399122,,,,,,,,
geometry,54,1.4137166941154069,,,0.26223587092621159,0.73776412907378841,0.024471741852423231,,,,,,,,
geometry,55,1.439896632895322,,,0.25851854342773295,0.74148145657226705,0.01703708685546583,,,,,,,,
geometry,56,1.4660765716752369,,,0.25546309981654858,0.74453690018345142,0.010926199633097178,,,,,,,,
geometry,57,1.4922565104551517,,,0.25307791485121556,0.74692208514878444,0.0061558297024311452,,,,,,,,
geometry,58,1.5184364492350668,,,0.25136952615793162,0.74863047384206838,0.0027390523158633221,,,,,,,,
geometry,59,1.5446163880149817,,,0.25034261631135657,0.74965738368864343,0.00068523262271306235,,,,,,,,
geometry,60,1.5707963267948963,,,0.25,0.75,8.0245827501905714e-32,,,,,,,,
geometry,61,1.5969762655748114,,,0.25034261631135657,0.74965738368864343,0.00068523262271305606,,,,,,,,
geometry,62,1.6231562043547263,,,0.25136952615793162,0.74863047384206838,0.0027390523158633091,,,,,,,,
geometry,63,1.6493361431346414,,,0.25307791485121556,0.74692208514878444,0.0061558297024311261,,,,,,,,
geometry,64,1.6755160819145563,,,0.25546309981654858,0.74453690018345142,0.010926199633097152,,,,,,,,
geometry,65,1.7016960206944711,,,0.25851854342773289,0.74148145657226716,0.017037086855465802,,,,,,,,
geometry,66,1.7278759594743862,,,0.26223587092621159,0.73776412907378841,0.024471741852423196,,,,,,,,
geometry,67,1.7540558982543011,,,0.26660489337569954,0.73339510662430052,0.033209786751399073,,,,,,,,
geometry,68,1.7802358370342162,,,0.27161363558934981,0.72838636441065019,0.043227271178699553,,,,,,,,
geometry,69,1.806415775814131,,,0.27724836895290805,0.72275163104709195,0.054496737905816037,,,,,,,,
geometry,70,1.8325957145940459,,,0.2834936490538903,0.7165063509461097,0.066987298107780605,,,,,,,,
geometry,71,1.858775653373961,,,0.29033235801364399,0.70966764198635601,0.080664716027288003,,,,,,,,
geometry,72,1.8849555921538759,,,0.29774575140626314,0.70225424859373686,0.095491502812526233,,,,,,,,
geometry,73,1.9111355309337907,,,0.30571350963575722,0.69428649036424273,0.11142701927151447,,,,,,,,
geometry,74,1.9373154697137058,,,0.31421379363065144,0.68578620636934851,0.12842758726130288,,,,,,,,
geometry,75,1.9634954084936207,,,0.32322330470336308,0.67677669529663698,0.14644660940672621,,,,,,,,
geometry,76,1.9896753472735356,,,0.33271734841028539,0.66728265158971456,0.16543469682057077,,,,,,,,
geometry,77,2.0158552860534504,,,0.34266990223754057,0.65733009776245943,0.18533980447508108,,,,,,,,
geometry,78,2.0420352248333655,,,0.35305368692688166,0.64694631307311834,0.2061073738537634,,,,,,,,
geometry,79,2.0682151636132806,,,0.36384024124624326,0.63615975875375674,0.22768048249248651,,,,,,,,
geometry,80,2.0943951023931953,,,0.37499999999999989,0.62500000000000011,0.24999999999999983,,,,,,,,
geometry,81,2.1205750411731104,,,0.38650237506511326,0.61349762493488669,0.27300475013022651,,,,,,,,
geometry,82,2.146754979953025,,,0.39831583923104974,0.60168416076895026,0.29663167846209954,,,,,,,,
geometry,83,2.1729349187329405,,,0.41040801261367504,0.58959198738632501,0.32081602522735009,,,,,,,,
geometry,84,2.1991148575128552,,,0.42274575140626314,0.57725424859373686,0.34549150281252616,,,,,,,,
geometry,85,2.2252947962927703,,,0.43529523872436982,0.56470476127563018,0.37059047744873963,,,,,,,,
geometry,86,2.2514747350726849,,,0.44802207729556004,0.55197792270443991,0.39604415459112013,,,,,,,,
geometry,87,2.2776546738526,,,0.46089138373994226,0.53910861626005779,0.42178276747988441,,,,,,,,
geometry,88,2.3038346126325147,,,0.47386788418308645,0.52613211581691355,0.44773576836617285,,,,,,,,
geometry,89,2.3300145514124302,,,0.48691601093926412,0.51308398906073582,0.4738320218785283,,,,,,,,
geometry,90,2.3561944901923448,,,0.49999999999999994,0.5,0.49999999999999989,,,,,,,,
geometry,91,2.3823744289722599,,,0.51308398906073593,0.48691601093926401,0.52616797812147209,,,,,,,,
geometry,92,2.4085543677521746,,,0.52613211581691322,0.47386788418308673,0.55226423163382643,,,,,,,,
geometry,93,2.4347343065320897,,,0.53910861626005768,0.46089138373994232,0.57821723252011525,,,,,,,,
geometry,94,2.4609142453120048,,,0.55197792270443991,0.44802207729556015,0.6039558454088797,,,,,,,,
geometry,95,2.4870941840919198,,,0.5647047612756303,0.4352952387243697,0.62940952255126059,,,,,,,,
geometry,96,2.5132741228718345,,,0.57725424859373686,0.42274575140626319,0.65450849718747361,,,,,,,,
geometry,97,2.5394540616517491,,,0.5895919873863249,0.4104080126136751,0.6791839747726498,,,,,,,,
geometry,98,2.5656340004316642,,,0.60168416076894993,0.39831583923105007,0.70336832153789997,,,,,,,,
geometry,99,2.5918139392115793,,,0.61349762493488669,0.38650237506511331,0.72699524986977337,,,,,,,,
geometry,100,2.6179938779914944,,,0.625,0.375,0.75000000000000011,,,,,,,,
geometry,101,2.6441738167714091,,,0.63615975875375663,0.36384024124624337,0.77231951750751338,,,,,,,,
geometry,102,2.6703537555513241,,,0.64694631307311823,0.35305368692688177,0.79389262614623646,,,,,,,,
geometry,103,2.6965336943312388,,,0.65733009776245921,0.34266990223754079,0.81466019552491842,,,,,,,,
geometry,104,2.7227136331111543,,,0.66728265158971456,0.33271734841028539,0.83456530317942923,,,,,,,,
geometry,105,2.748893571891069,,,0.67677669529663687,0.32322330470336313,0.85355339059327373,,,,,,,,
geometry,106,2.7750735106709841,,,0.68578620636934862,0.31421379363065138,0.87157241273869712,,,,,,,,
geometry,107,2.8012534494508987,,,0.69428649036424261,0.30571350963575739,0.88857298072848534,,,,,,,,
geometry,108,2.8274333882308138,,,0.70225424859373686,0.29774575140626314,0.90450849718747361,,,,,,,,
geometry,109,2.8536133270107285,,,0.7096676419863559,0.2903323580136441,0.9193352839727118,,,,,,,,
geometry,110,2.879793265790644,,,0.7165063509461097,0.2834936490538903,0.93301270189221941,,,,,,,,
geometry,111,2.9059732045705586,,,0.72275163104709195,0.27724836895290805,0.94550326209418389,,,,,,,,
geometry,112,2.9321531433504737,,,0.72838636441065019,0.27161363558934981,0.9567727288213006,,,,,,,,
geometry,113,2.9583330821303884,,,0.73339510662430041,0.26660489337569959,0.9667902132486007,,,,,,,,
geometry,114,2.9845130209103035,,,0.73776412907378841,0.26223587092621159,0.9755282581475766,,,,,,,,
