sector,plot_charge,input_charge,minimum_tail_degree,exact,decimal,kind,highlight,classification
29,29,29,82,865346421971721251087094838279683090158713926464432394345195359944879347954583705348075369134522202069224935089094450203055816219551015909105166124402113717847679177591657354724839028893341893169612228212908371495673550434961352712224768072440861067653541742381004968702435990664454042277530194001829294128783146968633039728095852228241115153249653/2426255716282422212668241139446933070922200764564245788801686333845067924615874238901694345994765530525841253171441569567403790195706528896253885479460640413537644685303874056519204404897657062304329851766402037159973034509870338931960437404207889803605748359695638634699170574529525205866213949575662391051278370376557527040000000000000000000000000,0.35665919967316123129,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
30,30,30,81,3769734907149373298942093623342625138992137807356576048790898115866607791321666897977106722081272116348784407981920665615818052413525347104310287959282563458884708923120441873983275866956682654059104692345704875953347873147416885007721653007486990251372493697484721057631078243519167822180613248863453559567646175846427126998189162391286152824737/10544518267922600013967534804509744211847919079884917993265874976929591142583034143463641963680111808969156419480534394522866615771717352827555281949082123229346678075018816215275215498836853923296209056035880921611030081508535408915217441430265461806481258949509068772223548189412338859104932959681783226672030676338868224000000000000000000000000,0.35750660308657777886,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
31,31,31,83,10260829726365471195939228150319256760553531144076271677812625294852843146121535266141727757500733851370819554644121497603460139499501029764478766656690860692990990572637762073248349195830871306274527451785048117368400319010034283112547717376458020195807016082154714175412185296895281011727800699907108779165846477831859210387829306730240713835921827/28649629464922052489810113122081747708794130186918861514621328717134400609570760243324157393588690685830722265341736521797811828429570611766434585847708931671926236047559899148505359892821668248709852458074164372083238965916834400894649956444106927174312690441905657182786269286387766880295414797578707174583782688124378808320000000000000000000000000,0.35814877602269151735,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
32,32,32,82,75394594632211317255023626904847296512386083782526504791016589083506038569736546068448131260868883245558894579598890331900576867971629441484086168381385907388901422532670001269662693129403766414386085378719789381804378947537175649794381955561317345070137582675380912047274428358210022812687774821492709819134128934383005895891163093256335870865949/210068250408524893892597063515871104076699674912594090276408088671486815477137799493675162609720185760197318874019626458248824400479884752142282473804766971511219274771015948502525868568897191561334681426913050401644128390700374212422690932227144671119310037127246294250269602068173177445145192734090456368065646844402728960000000000000000000000000,0.3589052343016595481,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
33,33,33,81,767921985734260512005345321835390195851919872656084327567941990167753644115719612509099217628191625509119804879457479051739959227631049587324950360074331903299102036755771253568321103193895280248552464455128031514099418148369750435155396679413812834220788256218977174479500204334441471678431717453850881663958844538343896334128324009939146021911779/2135347586544827463643582283295703686788011199249422264467007910688562971193931052250003983867508535609427914415180319392404963570071915337492386250503777932964875873499108236698366524215864462209827915422940149015901389546869553027971933280235576278052317643066726779578812580050273010339118085252173029601922199659846041600000000000000000000000000,0.35962388070825651587,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
34,34,34,83,8906328328159771969429465997012009827557120403887188570744378734887108139576997224551476080579784912347037543563587277520957592446017859118302396957732951621229814677903852767846330155647468940363899089131885327168156963749998402143564064846552016036449476063409496920491782940532486731601151569265137281409967938513748353911493427575548244384179427/24729691644103496304657034081707019623076035522639680760678733882644714811881542241495483229979880432475781005614868575281553668105307738097688247286710843771436230963956640522093924462889721701391504705053024186231220658116849314921156346759637440680680548093725239313898593541980451014149855429754827487148670150597882675200000000000000000000000000,0.36014716464462592782,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
35,35,35,82,1925786058509750250613936269352216052718421366277422100291326672690463688353491594033824286264224212041620638876566708388259452499111883682856746568079349563510306554618540171052814036609972854995394707872315714205150233648920149756154391610160354739019600438177062168415763870732767905833240772441602702852491260159508894193168327779474155674145217/5337614768589145960638167775065954740002589948823883272933688509766256039825065520269143236220711108032237547031806150485414905363835161224582413185152765556726861095077276876577612517189411625582330771062339955279984539885497269540722224522738672956918110555304837184054611500908328616158435464336053625686491898327032922112000000000000000000000000,0.36079525068812329236,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
36,36,36,81,94702221545845731107193438960689867202946604256089050836582222123716410264204181853786739929553554958597236640026662429734618826508851018321619125452635469545656827966545967949750000722768425263095366665580388188068571507228579117532858314709662326249236542873004779849282905620795657512015034736787261634532874157286681952568102257169305851189137831/262032441762909799617740325031208832342055289644033414124879410398539113725206154831270055134171486531647327685159363265566521936449071952005452190190035920129832798413209400643448907848123327797793633314941339922311403026291996823602553950789233851939262024859992155950850648042972895455025848659432848073167676705708861030400000000000000000000000000,0.36141410929389222728,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
37,37,37,83,1047737587808318665513565219380866768740118779571184158086439180987807242050890999766424721025784962387151392704505587890627353646659672448668756392154620840944862640146547742033556615947840430328755576146115319030310886163179608556213646768327444759635305232968216189016763515461330805646264653706653097381245109208830001013090618514674758875976093977/2895546125004523563941903672985817182758679861971777215552714726029393668750643550695102897921090189286302763826351740142257050774303228334424592143455487916994719232259490700049767682550108022725766115093674703535140694489911363366680529277011873037537251472406518054530734645195805646109478680690685172464860169187234519449600000000000000000000000000,0.36184455110577173897,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
38,38,38,82,24711929193837988228311508778869676002736195582206114141599704829976625560456468130753635707292503164689260810749659254986595882352279792457288015313668104745323726382219215042153444773411224211500589322939516007382757309364632348738100298013972595162242474296482451031980906280032053978625901188211059465217620112833722364465291461961325658536559572870821/68188237924553005371737304539079757747146194500586528877304567078581187129646165737998108641113896236081248702907274290886716589705979840899387437196238227502183053274364678139402872798523924849482457806223828019494094378880819757707642611186694405020421775964363082899879070953637838843106421638552391596118018220129234012916940800000000000000000000000000,0.36240750525304005203,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
