levelL,levelM,L,M,H,observationTime,additionalHeatTime,heatWitness,scaledHeatWitness,certifiedScaledHeatLower,certifiedScaledBmoLower
9,4,512,16,32768,3.227718083932741e-10,0.0009765625,2.5783613626667805e-07,0.0084487745131865064,0.0012980013051190082,0.00030765513656419013
9,5,512,32,65536,8.0692952098318525e-11,0.000244140625,1.2375621088871177e-07,0.0081104870368026143,0.0012980013051190082,0.00030765513656419013
9,6,512,64,131072,2.0173238024579631e-11,6.103515625e-05,6.0604131903379792e-08,0.0079435047768397962,0.0012980013051190082,0.00030765513656419013
9,7,512,128,262144,5.0433095061449078e-12,1.52587890625e-05,2.9985625504720249e-08,0.007860551812309385,0.0012980013051190082,0.00030765513656419013
9,8,512,256,524288,1.260827376536227e-12,3.814697265625e-06,1.4913958741798084e-08,0.0078192096008198337,0.0012980013051190082,0.00030765513656419013
9,9,512,512,1048576,3.1520684413405674e-13,9.5367431640625e-07,7.4372978489405236e-09,0.0077985720292506585,0.0012980013051190082,0.00030765513656419013
9,10,512,1024,2097152,7.8801711033514185e-14,2.384185791015625e-07,3.7137325395770852e-09,0.0077882616228391634,0.0012980013051190082,0.00030765513656419013
10,0,1024,1,4096,2.0657395737169542e-08,0.25,5.259602206811905e-06,0.021543330639101563,0.0012980013051190082,0.00030765513656419013
10,1,1024,2,8192,5.1643489342923856e-09,0.0625,1.6863849722481143e-06,0.013814865692656553,0.0012980013051190082,0.00030765513656419013
10,2,1024,4,16384,1.2910872335730964e-09,0.015625,6.4707030089507958e-07,0.010601599809864984,0.0012980013051190082,0.00030765513656419013
10,3,1024,8,32768,3.227718083932741e-10,0.00390625,2.7901282048156493e-07,0.0091426921015399197,0.0012980013051190082,0.00030765513656419013
10,4,1024,16,65536,8.0692952098318525e-11,0.0009765625,1.2891739678007806e-07,0.0084487305153791957,0.0012980013051190082,0.00030765513656419013
10,5,1024,32,131072,2.0173238024579631e-11,0.000244140625,6.1877945299459015e-08,0.008110466046290692,0.0012980013051190082,0.00030765513656419013
10,6,1024,64,262144,5.0433095061449078e-12,6.103515625e-05,3.0302027261517387e-08,0.0079434946344432138,0.0012980013051190082,0.00030765513656419013
10,7,1024,128,524288,1.260827376536227e-12,1.52587890625e-05,1.4992803444290976e-08,0.0078605469322004275,0.0012980013051190082,0.00030765513656419013
10,8,1024,256,1048576,3.1520684413405674e-13,3.814697265625e-06,7.4569771878016051e-09,0.0078192073116762559,0.0012980013051190082,0.00030765513656419013
10,9,1024,512,2097152,7.8801711033514185e-14,9.5367431640625e-07,3.7186484458819257e-09,0.0077985710255781722,0.0012980013051190082,0.00030765513656419013
10,10,1024,1024,4194304,1.9700427758378546e-14,2.384185791015625e-07,1.8568661831387157e-09,0.0077882612594034478,0.0012980013051190082,0.00030765513656419013
