mOverR,sOverM,operatorNormOverTargetFrequency,stretchEntryOverTargetFrequency
0.10,11.22018454301964,0.6704287763695994,0.6612593761055386
0.10,11.88502227437019,0.6488275396848966,0.6402253600422316
0.10,12.58925411794167,0.6269117021158522,0.6188344100573502
0.10,13.33521432163324,0.6047827422847556,0.5971922540849521
0.10,14.12537544622755,0.5825424882355149,0.5754044432576578
0.10,14.96235656094434,0.5602910813064378,0.5535743791715139
0.10,15.84893192461114,0.5381251113371535,0.5318015071333962
0.10,16.78804018122561,0.5161359906675853,0.5101797427977462
0.10,17.78279410038923,0.4944086137415353,0.4887961790401957
0.10,18.83649089489802,0.4730203275496626,0.4677300984300751
0.10,19.95262314968881,0.4520402177464376,0.4470522963524293
0.10,21.13489039836648,0.4315286976770695,0.4268247023091338
0.10,22.3872113856834,0.4115373737749327,0.4071002732140271
0.10,23.71373705661655,0.3921091512553055,0.3879231230035507
0.10,25.11886431509582,0.3732785386379013,0.3693288475125276
0.10,26.60725059798811,0.3550721078995018,0.3513450018368335
0.10,28.18382931264455,0.3375090682820755,0.3339916886168575
0.10,29.8538261891796,0.3206019151658296,0.3172822190360879
0.10,31.62277660168379,0.3043571201861918,0.3012238130670845
0.10,33.49654391578279,0.2887758342488663,0.2858183109359651
0.10,35.48133892335757,0.2738545807313868,0.2710628733727332
0.10,37.58374042884443,0.2595859215514181,0.256950653568923
0.10,39.81071705534973,0.2459590836662954,0.2434714286125864
0.10,42.16965034285823,0.2329605377961805,0.2306121823658487
0.10,44.66835921509634,0.2205745246774942,0.2183576352353961
0.10,47.31512589614807,0.2087835269627961,0.2066907190703744
0.10,50.11872336272725,0.1975686870403811,0.1955929975575401
0.10,53.08844442309885,0.1869101726288716,0.1850450340472121
0.10,56.23413251903491,0.1767874930971205,0.1750267098234064
0.10,59.56621435290109,0.167179770156859,0.165517496516169
0.10,63.09573444801936,0.1580659669582396,0.1564966867266838
0.10,66.83439175686149,0.1494250797610523,0.1479435870701825
0.10,70.79457843841381,0.1412362963204848,0.1398376778012217
0.10,74.98942093324558,0.1334791249683035,0.1321587430226963
0.10,79.43282347242821,0.126133498130325,0.1248869752358221
0.10,84.13951416451955,0.1191798537317601,0.1180030576957919
0.10,89.12509381337459,0.1125991976282068,0.1114882277214446
0.10,94.40608762859236,0.1063731498798937,0.1053243237851142
0.10,100,0.1004839773730082,0.09949381889348755
0.25,0.01,0.9999999996875354,0.009700911434530064
0.25,0.01059253725177289,0.9999999996066354,0.01027566020238532
0.25,0.01122018454301964,0.9999999995047909,0.01088445246596736
0.25,0.01188502227437018,0.9999999993765795,0.01152930307159204
0.25,0.01258925411794167,0.9999999992151754,0.01221234580847546
0.25,0.01333521432163324,0.9999999990119858,0.01293584037285772
0.25,0.01412537544622754,0.9999999987561943,0.01370217972902064
0.25,0.01496235656094434,0.9999999984341844,0.01451389788775288
0.25,0.01584893192461113,0.9999999980288152,0.01537367812347732
0.25,0.01678804018122561,0.9999999975185109,0.01628436165185162
0.25,0.01778279410038923,0.9999999968761116,0.0172489567901608
0.25,0.018836490894898,0.9999999960674278,0.01827064862321205
0.25,0.0199526231496888,0.9999999950494259,0.01935280919768226
0.25,0.02113489039836646,0.9999999937679371,0.02049900826791791
0.25,0.0223872113856834,0.9999999921547786,0.02171302461599386
0.25,0.02371373705661655,0.9999999901241301,0.02299885796834428
0.25,0.02511886431509579,0.9999999875679758,0.02436074153041386
0.25,0.0266072505979881,0.9999999843503632,0.02580315515945479
0.25,0.02818382931264454,0.9999999803001879,0.02733083919371565
0.25,0.0298538261891796,0.9999999752021073,0.02894880895370918
0.25,0.03162277660168379,0.999999968785118,0.03066236992786626
0.25,0.03349654391578276,0.9999999607081799,0.03247713365051208
0.25,0.03548133892335755,0.9999999505421379,0.03439903427453744
0.25,0.03758374042884443,0.9999999377469847,0.03643434583414615
0.25,0.03981071705534973,0.9999999216432679,0.03858970018435998
0.25,0.04216965034285822,0.9999999013761396,0.0408721055932252
0.25,0.0446683592150963,0.9999998758701609,0.04328896594950708
0.25,0.04731512589614805,0.9999998437724918,0.04584810053262705
0.25,0.05011872336272725,0.9999998033815019,0.0485577642721681
0.25,0.05308844442309885,0.9999997525570737,0.05142666840083474
0.25,0.05623413251903491,0.9999996886079304,0.05446400137659645
0.25,0.05956621435290103,0.9999996081501487,0.05767944991605181
0.25,0.06309573444801933,0.999999506929531,0.06108321994088568
0.25,0.06683439175686148,0.9999993795986934,0.06468605719158591
0.25,0.0707945784384138,0.999999219437423,0.06849926720612361
0.25,0.07498942093324558,0.9999990180020192,0.07253473429472138
0.25,0.07943282347242814,0.9999987646858004,0.07680493906361545
0.25,0.08413951416451952,0.9999984461685634,0.08132297394919571
0.25,0.08912509381337459,0.9999980457273578,0.0861025561172671
0.25,0.09440608762859236,0.9999975423742267,0.09115803695849937
0.25,0.1,0.9999969097782859,0.09650440726843275
0.25,0.1059253725177289,0.9999961149193649,0.1021572970367011
0.25,0.1122018454301964,0.9999951164079525,0.1081329685835639
0.25,0.1188502227437018,0.9999938623909962,0.114448301570811
0.25,0.1258925411794168,0.9999922879445936,0.1211207681775232
0.25,0.1333521432163324,0.9999903118322179,0.1281683964687335
0.25,0.1412537544622755,0.9999878324801552,0.1356097196975971
0.25,0.1496235656094433,0.9999847229895494,0.1434637089718171
0.25,0.1584893192461114,0.9999808249661039,0.1517496863876678
0.25,0.1678804018122561,0.999975940903283,0.1604872153980347
0.25,0.1778279410038923,0.9999698248021166,0.1696959648465945
0.25,0.1883649089489801,0.9999621706498583,0.1793955427859276
0.25,0.199526231496888,0.999952598310536,0.1896052959269117
0.25,0.2113489039836648,0.9999406363030285,0.2003440703719403
0.25,0.223872113856834,0.9999257008575507,0.2116299292063832
0.25,0.2371373705661655,0.9999070705511747,0.2234798226127451
0.25,0.2511886431509581,0.9998838557303005,0.2359092064927578
0.25,0.266072505979881,0.9998549618376299,0.248931606207908
0.25,0.2818382931264455,0.9998190456799724,0.262558123061968
0.25,0.298538261891796,0.9997744636103997,0.2767968826396232
0.25,0.3162277660168379,0.9997192105657492,0.2916524261732047
0.25,0.3349654391578278,0.9996508489128659,0.3071250488154785
0.25,0.3548133892335755,0.9995664261312633,0.3232100921083265
0.25,0.3758374042884443,0.9994623805144881,0.3398972020719584
