step,L,scaledTimeTau,physicalTimeNuEqualsOne,normalizedOutput,normalizedBlockNormProduct,exactNormRatio
50,64,2.5,0.0006103515625,0.00067401917761227687,0.00067401917761227687,1
51,64,2.5499999999999998,0.00062255859374999996,0.00059965041539606885,0.00059965041539606885,1
52,64,2.6000000000000001,0.00063476562500000002,0.00053366727047978141,0.00053366727047978141,1
53,64,2.6499999999999999,0.00064697265624999998,0.00047509907589517511,0.00047509907589517511,1
54,64,2.7000000000000002,0.00065917968750000004,0.00042309113244242476,0.00042309113244242476,1
55,64,2.75,0.00067138671875,0.00037689031964937734,0.00037689031964937734,1
56,64,2.7999999999999998,0.00068359374999999996,0.00033583257354622499,0.00033583257354622499,1
57,64,2.8500000000000001,0.00069580078125000002,0.00029933197625864707,0.00029933197625864707,1
58,64,2.8999999999999999,0.00070800781249999998,0.00026687123932440287,0.00026687123932440287,1
59,64,2.9500000000000002,0.00072021484375000004,0.00023799339385533608,0.00023799339385533608,1
60,64,3,0.000732421875,0.00021229452713358206,0.00021229452713358206,1
61,64,3.0499999999999998,0.00074462890624999996,0.00018941742771812325,0.00018941742771812325,1
62,64,3.1000000000000001,0.00075683593750000002,0.00016904602028305286,0.00016904602028305286,1
63,64,3.1499999999999999,0.00076904296874999998,0.00015090048774041583,0.00015090048774041583,1
64,64,3.2000000000000002,0.00078125000000000004,0.00013473299215777354,0.00013473299215777354,1
65,64,3.25,0.00079345703125,0.00012032391793007302,0.00012032391793007302,1
66,64,3.2999999999999998,0.00080566406249999996,0.00010747857091321548,0.00010747857091321548,1
67,64,3.3500000000000001,0.00081787109375000002,9.6024276029560863e-05,9.6024276029560863e-05,1
68,64,3.3999999999999999,0.00083007812499999998,8.5807823428962413e-05,8.5807823428962413e-05,1
69,64,3.4500000000000002,0.00084228515625000004,7.6693219814245886e-05,7.6693219814245886e-05,1
70,64,3.5,0.0008544921875,6.8559707170381815e-05,6.8559707170381815e-05,1
71,64,3.5499999999999998,0.00086669921874999996,6.1300016001329167e-05,6.1300016001329167e-05,1
72,64,3.6000000000000001,0.00087890625000000002,5.4818824387277345e-05,5.4818824387277345e-05,1
73,64,3.6499999999999999,0.00089111328124999998,4.9031397820793084e-05,4.9031397820793084e-05,1
