panel,series,x,y,xUnit,yUnit,evidence,formula,source,note
B,fixed-positive-time tail,0.05,1.3071428571428572,beta in L=M^-beta,alpha in eta=M^alpha,analytic sufficient boundary,"min(9/4,(9+3 beta)/7)",R0.72C power-law corollary,strict inequality below curve; M^-3 tail prefactor; excludes the pre-ledger
B,coherent exact launch,0.07500000000000001,1.4607142857142856,beta in L=M^-beta,alpha in eta=M^alpha,analytic sufficient boundary,"min(5/2,(10+3 beta)/7)",R0.72C power-law corollary,strict inequality below curve; M^-10/3 coherent prefactor
B,arbitrary-phase exact launch,0.07500000000000001,1.175,beta in L=M^-beta,alpha in eta=M^alpha,analytic sufficient boundary,"min(2,(8+3 beta)/7)",R0.72C power-law corollary,strict inequality below curve; sharp phase-uniform M^-8/3 prefactor
B,fixed-positive-time tail,0.07500000000000001,1.3178571428571428,beta in L=M^-beta,alpha in eta=M^alpha,analytic sufficient boundary,"min(9/4,(9+3 beta)/7)",R0.72C power-law corollary,strict inequality below curve; M^-3 tail prefactor; excludes the pre-ledger
B,coherent exact launch,0.1,1.4714285714285715,beta in L=M^-beta,alpha in eta=M^alpha,analytic sufficient boundary,"min(5/2,(10+3 beta)/7)",R0.72C power-law corollary,strict inequality below curve; M^-10/3 coherent prefactor
B,arbitrary-phase exact launch,0.1,1.1857142857142857,beta in L=M^-beta,alpha in eta=M^alpha,analytic sufficient boundary,"min(2,(8+3 beta)/7)",R0.72C power-law corollary,strict inequality below curve; sharp phase-uniform M^-8/3 prefactor
B,fixed-positive-time tail,0.1,1.3285714285714287,beta in L=M^-beta,alpha in eta=M^alpha,analytic sufficient boundary,"min(9/4,(9+3 beta)/7)",R0.72C power-law corollary,strict inequality below curve; M^-3 tail prefactor; excludes the pre-ledger
B,coherent exact launch,0.125,1.4821428571428572,beta in L=M^-beta,alpha in eta=M^alpha,analytic sufficient boundary,"min(5/2,(10+3 beta)/7)",R0.72C power-law corollary,strict inequality below curve; M^-10/3 coherent prefactor
B,arbitrary-phase exact launch,0.125,1.1964285714285714,beta in L=M^-beta,alpha in eta=M^alpha,analytic sufficient boundary,"min(2,(8+3 beta)/7)",R0.72C power-law corollary,strict inequality below curve; sharp phase-uniform M^-8/3 prefactor
B,fixed-positive-time tail,0.125,1.3392857142857142,beta in L=M^-beta,alpha in eta=M^alpha,analytic sufficient boundary,"min(9/4,(9+3 beta)/7)",R0.72C power-law corollary,strict inequality below curve; M^-3 tail prefactor; excludes the pre-ledger
B,coherent exact launch,0.15000000000000002,1.4928571428571427,beta in L=M^-beta,alpha in eta=M^alpha,analytic sufficient boundary,"min(5/2,(10+3 beta)/7)",R0.72C power-law corollary,strict inequality below curve; M^-10/3 coherent prefactor
B,arbitrary-phase exact launch,0.15000000000000002,1.207142857142857,beta in L=M^-beta,alpha in eta=M^alpha,analytic sufficient boundary,"min(2,(8+3 beta)/7)",R0.72C power-law corollary,strict inequality below curve; sharp phase-uniform M^-8/3 prefactor
B,fixed-positive-time tail,0.15000000000000002,1.3499999999999999,beta in L=M^-beta,alpha in eta=M^alpha,analytic sufficient boundary,"min(9/4,(9+3 beta)/7)",R0.72C power-law corollary,strict inequality below curve; M^-3 tail prefactor; excludes the pre-ledger
B,coherent exact launch,0.17500000000000002,1.5035714285714286,beta in L=M^-beta,alpha in eta=M^alpha,analytic sufficient boundary,"min(5/2,(10+3 beta)/7)",R0.72C power-law corollary,strict inequality below curve; M^-10/3 coherent prefactor
B,arbitrary-phase exact launch,0.17500000000000002,1.217857142857143,beta in L=M^-beta,alpha in eta=M^alpha,analytic sufficient boundary,"min(2,(8+3 beta)/7)",R0.72C power-law corollary,strict inequality below curve; sharp phase-uniform M^-8/3 prefactor
B,fixed-positive-time tail,0.17500000000000002,1.3607142857142858,beta in L=M^-beta,alpha in eta=M^alpha,analytic sufficient boundary,"min(9/4,(9+3 beta)/7)",R0.72C power-law corollary,strict inequality below curve; M^-3 tail prefactor; excludes the pre-ledger
B,coherent exact launch,0.2,1.5142857142857142,beta in L=M^-beta,alpha in eta=M^alpha,analytic sufficient boundary,"min(5/2,(10+3 beta)/7)",R0.72C power-law corollary,strict inequality below curve; M^-10/3 coherent prefactor
