x,y,z,normalized_stretching
0.53996123733574564,-3.1415926535897931,-3.1415926535897931,-2.3130918596912723e-32
0.58904862254808599,-3.1415926535897931,-3.1415926535897931,-2.4996656757806279e-32
0.63813600776042678,-3.1415926535897931,-3.1415926535897931,-2.6802175783121749e-32
0.68722339297276713,-3.1415926535897931,-3.1415926535897931,-2.8543126019382327e-32
0.73631077818510793,-3.1415926535897931,-3.1415926535897931,-3.0215313364979666e-32
0.78539816339744828,-3.1415926535897931,-3.1415926535897931,-3.1814709374131863e-32
0.83448554860978863,-3.1415926535897931,-3.1415926535897931,-3.3337460961762358e-32
0.88357293382212898,-3.1415926535897931,-3.1415926535897931,-3.4779899685919264e-32
0.93266031903447022,-3.1415926535897931,-3.1415926535897931,-3.6138550585373386e-32
0.98174770424681057,-3.1415926535897931,-3.1415926535897931,-3.7410140551104132e-32
1.0308350894591509,-3.1415926535897931,-3.1415926535897931,-3.8591606211505957e-32
1.0799224746714913,-3.1415926535897931,-3.1415926535897931,-3.9680101312318786e-32
1.1290098598838316,-3.1415926535897931,-3.1415926535897931,-4.0673003573503846e-32
1.178097245096172,-3.1415926535897931,-3.1415926535897931,-4.1567921006545975e-32
1.2271846303085132,-3.1415926535897931,-3.1415926535897931,-4.2362697676963478e-32
1.2762720155208536,-3.1415926535897931,-3.1415926535897931,-4.3055418898143078e-32
1.3253594007331939,-3.1415926535897931,-3.1415926535897931,-4.364441584398776e-32
1.3744467859455343,-3.1415926535897931,-3.1415926535897931,-4.412826956926494e-32
1.4235341711578746,-3.1415926535897931,-3.1415926535897931,-4.4505814427969838e-32
1.4726215563702159,-3.1415926535897931,-3.1415926535897931,-4.4776140881468823e-32
1.5217089415825562,-3.1415926535897931,-3.1415926535897931,-4.4938597689657604e-32
1.5707963267948966,-3.1415926535897931,-3.1415926535897931,-4.4992793479855728e-32
1.6198837120072369,-3.1415926535897931,-3.1415926535897931,-4.4938597689657604e-32
1.6689710972195773,-3.1415926535897931,-3.1415926535897931,-4.4776140881468823e-32
1.7180584824319185,-3.1415926535897931,-3.1415926535897931,-4.4505814427969838e-32
1.7671458676442588,-3.1415926535897931,-3.1415926535897931,-4.412826956926494e-32
1.8162332528565992,-3.1415926535897931,-3.1415926535897931,-4.364441584398776e-32
1.8653206380689396,-3.1415926535897931,-3.1415926535897931,-4.3055418898143078e-32
1.9144080232812799,-3.1415926535897931,-3.1415926535897931,-4.2362697676963478e-32
1.9634954084936211,-3.1415926535897931,-3.1415926535897931,-4.1567921006545975e-32
2.0125827937059615,-3.1415926535897931,-3.1415926535897931,-4.0673003573503846e-32
2.0616701789183018,-3.1415926535897931,-3.1415926535897931,-3.9680101312318792e-32
2.1107575641306422,-3.1415926535897931,-3.1415926535897931,-3.8591606211505957e-32
2.1598449493429825,-3.1415926535897931,-3.1415926535897931,-3.7410140551104132e-32
2.2089323345553229,-3.1415926535897931,-3.1415926535897931,-3.6138550585373386e-32
2.2580197197676641,-3.1415926535897931,-3.1415926535897931,-3.4779899685919264e-32
2.3071071049800045,-3.1415926535897931,-3.1415926535897931,-3.3337460961762369e-32
2.3561944901923448,-3.1415926535897931,-3.1415926535897931,-3.1814709374131869e-32
2.4052818754046852,-3.1415926535897931,-3.1415926535897931,-3.0215313364979666e-32
2.4543692606170255,-3.1415926535897931,-3.1415926535897931,-2.8543126019382349e-32
2.5034566458293668,-3.1415926535897931,-3.1415926535897931,-2.6802175783121739e-32
2.5525440310417071,-3.1415926535897931,-3.1415926535897931,-2.4996656757806285e-32
2.6016314162540475,-3.1415926535897931,-3.1415926535897931,-2.3130918596912726e-32
2.6507188014663878,-3.1415926535897931,-3.1415926535897931,-2.1209456027090023e-32
2.6998061866787282,-3.1415926535897931,-3.1415926535897931,-1.9236898019969116e-32
2.7488935718910685,-3.1415926535897931,-3.1415926535897931,-1.7217996640564846e-32
2.7979809571034098,-3.1415926535897931,-3.1415926535897931,-1.5157615599135024e-32
2.8470683423157501,-3.1415926535897931,-3.1415926535897931,-1.3060718534076599e-32
2.8961557275280905,-3.1415926535897931,-3.1415926535897931,-1.0932357054085751e-32
2.9452431127404308,-3.1415926535897931,-3.1415926535897931,-8.7776585683902256e-33
2.9943304979527712,-3.1415926535897931,-3.1415926535897931,-6.6018139343713595e-33
3.0434178831651124,-3.1415926535897931,-3.1415926535897931,-4.4100649523339491e-33
3.0925052683774528,-3.1415926535897931,-3.1415926535897931,-2.2076917375503356e-33
3.1415926535897931,-3.1415926535897931,-3.1415926535897931,-5.5100280519803214e-48
-3.1415926535897931,-3.0925052683774528,-3.0925052683774528,8.8455136018705414e-19
-3.0925052683774528,-3.0925052683774528,-3.0925052683774528,0.00035441139516921729
-3.043417883165112,-3.0925052683774528,-3.0925052683774528,0.00070796898224470236
-2.9943304979527716,-3.0925052683774528,-3.0925052683774528,0.0010598210100311975
-2.9452431127404308,-3.0925052683774528,-3.0925052683774528,0.0014091198361751742
-2.8961557275280905,-3.0925052683774528,-3.0925052683774528,0.001755023969209481
-2.8470683423157501,-3.0925052683774528,-3.0925052683774528,0.0020967000957800176
-2.7979809571034093,-3.0925052683774528,-3.0925052683774528,0.0024333250881705855
-2.748893571891069,-3.0925052683774528,-3.0925052683774528,0.0027640879872896408
-2.6998061866787286,-3.0925052683774528,-3.0925052683774528,0.0030881919563418019
-2.6507188014663878,-3.0925052683774528,-3.0925052683774528,0.0034048562004774701
-2.6016314162540475,-3.0925052683774528,-3.0925052683774528,0.0037133178477960047
-2.5525440310417071,-3.0925052683774528,-3.0925052683774528,0.0040128337871709685
-2.5034566458293663,-3.0925052683774528,-3.0925052683774528,0.0043026824584699126
-2.454369260617026,-3.0925052683774528,-3.0925052683774528,0.0045821655908559267
-2.4052818754046852,-3.0925052683774528,-3.0925052683774528,0.0048506098849832669
-2.3561944901923448,-3.0925052683774528,-3.0925052683774528,0.0051073686350344332
-2.3071071049800045,-3.0925052683774528,-3.0925052683774528,0.0053518232866911434
-2.2580197197676637,-3.0925052683774528,-3.0925052683774528,0.0055833849272858603
-2.2089323345553233,-3.0925052683774528,-3.0925052683774528,0.0058014957045439833
-2.1598449493429825,-3.0925052683774528,-3.0925052683774528,0.0060056301704988517
-2.1107575641306422,-3.0925052683774528,-3.0925052683774528,0.0061952965473419117
-2.0616701789183018,-3.0925052683774528,-3.0925052683774528,0.0063700379121585373
-2.0125827937059615,-3.0925052683774528,-3.0925052683774528,0.0065294332976953478
-1.9634954084936207,-3.0925052683774528,-3.0925052683774528,0.0066730987065071997
-1.9144080232812801,-3.0925052683774528,-3.0925052683774528,0.0068006880360406618
-1.8653206380689396,-3.0925052683774528,-3.0925052683774528,0.0069118939124253797
