tier,caseId,projection,N,dimension,d,beta,mu,gap,c,alpha,spectralAbscissa,spectralImagAtEdge,numericalAbscissa,frobeniusNorm,henriciRelativeDeparture,eigenvectorCondition,sampledTransientGain,sampledPeakTime,sampledLog10TransientGain,transientGainCensored,timeGridCount,resolventSampleScale,resolventPeak,sampledKreissLowerBound,epsilonRelative,pseudoRightExcursion,pseudospectralAbscissaLowerSample,projectionRankRemoved,qStarCompressionLeakage,finiteDimensionalOnly
broad,B0273,span-sin1-sin2,18,35,0.25,0.01,1e-06,0.000101,4.0,1.0,-0.00010100000002393226,5.365185106065047e-16,2.404462273937901e-05,929.8996487076674,0.009327524252501598,1.4283376648939319,,,,,,,,,,,,2,0.0332892306076927,True
broad,B0274,unprojected,18,37,0.25,0.01,1e-06,0.000101,128.0,0.5,28.607378422761585,-57.26867947086805,240009.9990027291,480023.8307582596,0.9999981471694745,15737.124843229463,,,,,,,,,,,,0,3.2974368962156237,True
broad,B0274,qstar-Wxx,18,36,0.25,0.01,1e-06,0.000101,128.0,0.5,0.624415144465662,-2.020003471025453e-14,13.250961954751459,951.6350488983977,0.2717681798087692,3138.2798966469254,,,,,,,,,,,,1,1.6030706512022088,True
broad,B0274,span-sin1-sin2,18,35,0.25,0.01,1e-06,0.000101,128.0,0.5,0.022886614820195057,-2.1786472874450275e-15,6.61584200383021,950.4919340651179,0.26994215534664223,2407.2991503963794,,,,,,,,,,,,2,0.3885263328740426,True
broad,B0275,unprojected,18,37,0.25,0.01,1e-06,0.000101,4096.0,0.24999999999999997,114.43931752363812,-1686.3694468617723,7680357.4023662405,15360733.790729744,0.9999998964996775,66005.7884360058,,,,,,,,,,,,0,21.582883483820854,True
broad,B0275,qstar-Wxx,18,36,0.25,0.01,1e-06,0.000101,4096.0,0.24999999999999997,18.9617663902389,-7.611703938085762e-12,503.98666824337505,6540.166562579244,0.21312766021001156,21.610078786818494,,,,,,,,,,,,1,12.841624819225936,True
broad,B0275,span-sin1-sin2,18,35,0.25,0.01,1e-06,0.000101,4096.0,0.24999999999999997,21.18679216120877,4.873669253573439e-13,342.83548328249077,6368.297867343722,0.16775100507600701,7.444547877076804,,,,,,,,,,,,2,12.39862227702603,True
broad,B0276,unprojected,18,37,0.25,0.01,1e-06,0.000101,131072.0,0.12499999999999999,1359.8134380164665,54938.162039253235,245771474.3102378,491543480.403553,0.9999998971586148,117682.17805686012,,,,,,,,,,,,0,625.8724016204877,True
broad,B0276,qstar-Wxx,18,36,0.25,0.01,1e-06,0.000101,131072.0,0.12499999999999999,2110.188174299224,-29443.943565562542,16220.51682638512,207161.2248393685,0.17356090931505339,5.628915971538933,,,,,,,,,,,,1,401.35833422503106,True
broad,B0276,span-sin1-sin2,18,35,0.25,0.01,1e-06,0.000101,131072.0,0.12499999999999999,674.4359949150968,1.1602927925397619e-09,11126.314205198712,201603.59566655743,0.11150744406885288,3.9962776293294686,,,,,,,,,,,,2,396.76024880003484,True
