certificateId,s,d,mu,c,gain,bound,sourceCommit,certificateCommit
R073A-XMU-N03-M02-C02-T01,0,0.10000000000000001,0.050000000000000003,-1,1.0064508601523598,1.3859342977443654,pending,pending
R073A-XMU-N03-M02-C02-T02,0,0.75,0.050000000000000003,-1,1.0032637571685221,3.8999549372567386,pending,pending
R073A-XMU-N03-M02-C02-T03,0.5,2,0.050000000000000003,-1,0.94374028979852997,2.2639064054498426,pending,pending
R073A-XMU-N03-M02-C03-T01,0,0.10000000000000001,0.050000000000000003,0,0.99501247919268221,0.99501247919268232,pending,pending
R073A-XMU-N03-M02-C03-T02,0,0.75,0.050000000000000003,0,0.96319441772082282,0.96319441772082182,pending,pending
R073A-XMU-N03-M02-C03-T03,0.5,2,0.050000000000000003,0,0.92774348632855386,0.92774348632855286,pending,pending
R073A-XMU-N03-M02-C04-T01,0,0.10000000000000001,0.050000000000000003,1,1.0064508601523603,1.3859342977443654,pending,pending
R073A-XMU-N03-M02-C04-T02,0,0.75,0.050000000000000003,1,1.0032637571685223,3.8999549372567386,pending,pending
R073A-XMU-N03-M02-C04-T03,0.5,2,0.050000000000000003,1,0.94374028979852986,2.2639064054498426,pending,pending
R073A-XMU-N03-M02-C05-T01,0,0.10000000000000001,0.050000000000000003,4,1.1099551751507812,3.7452859967506837,pending,pending
R073A-XMU-N03-M02-C05-T02,0,0.75,0.050000000000000003,4,1.492541975298959,258.87879885318574,pending,pending
R073A-XMU-N03-M02-C05-T03,0.5,2,0.050000000000000003,4,1.177327699415412,32.896533140478212,pending,pending
R073A-XMU-N03-M03-C01-T01,0,0.10000000000000001,0.25,-4,1.0635609998790041,3.6711243651693888,pending,pending
R073A-XMU-N03-M03-C01-T02,0,0.75,0.25,-4,1.1462643183980983,222.81904710027499,pending,pending
R073A-XMU-N03-M03-C01-T03,0.5,2,0.25,-4,0.81155689764129169,24.37035114772624,pending,pending
R073A-XMU-N03-M03-C02-T01,0,0.10000000000000001,0.25,-1,0.98343355809654653,1.3584909599393566,pending,pending
R073A-XMU-N03-M03-C02-T02,0,0.75,0.25,-1,0.85236720214590789,3.3567223221951612,pending,pending
R073A-XMU-N03-M03-C02-T03,0.5,2,0.25,-1,0.6952330531841111,1.6771431150752962,pending,pending
R073A-XMU-N03-M03-C03-T01,0,0.10000000000000001,0.25,0,0.9753099120283325,0.97530991202833262,pending,pending
R073A-XMU-N03-M03-C03-T02,0,0.75,0.25,0,0.82902911818040059,0.82902911818040037,pending,pending
R073A-XMU-N03-M03-C03-T03,0.5,2,0.25,0,0.68728927879097301,0.68728927879097224,pending,pending
R073A-XMU-N03-M03-C04-T01,0,0.10000000000000001,0.25,1,0.98343355809654631,1.3584909599393566,pending,pending
R073A-XMU-N03-M03-C04-T02,0,0.75,0.25,1,0.85236720214590789,3.3567223221951612,pending,pending
R073A-XMU-N03-M03-C04-T03,0.5,2,0.25,1,0.6952330531841111,1.6771431150752962,pending,pending
R073A-XMU-N03-M03-C05-T01,0,0.10000000000000001,0.25,4,1.063560999879005,3.6711243651693888,pending,pending
R073A-XMU-N03-M03-C05-T02,0,0.75,0.25,4,1.1462643183980983,222.81904710027499,pending,pending
R073A-XMU-N03-M03-C05-T03,0.5,2,0.25,4,0.81155689764129157,24.37035114772624,pending,pending
R073A-XMU-N03-M04-C01-T01,0,0.10000000000000001,1,-4,0.9310738761747237,3.4058617172879435,pending,pending
R073A-XMU-N03-M04-C01-T02,0,0.75,1,-4,0.49797838578178921,126.95846606064727,pending,pending
R073A-XMU-N03-M04-C01-T03,0.5,2,1,-4,0.2279354675398233,7.9118946304987139,pending,pending
R073A-XMU-N03-M04-C02-T01,0,0.10000000000000001,1,-1,0.90665141646073322,1.2603311393199612,pending,pending
R073A-XMU-N03-M04-C02-T02,0,0.75,1,-1,0.47403065772603881,1.9126027265777024,pending,pending
R073A-XMU-N03-M04-C02-T03,0.5,2,1,-1,0.2234357256791816,0.54448865042226358,pending,pending
R073A-XMU-N03-M04-C03-T01,0,0.10000000000000001,1,0,0.90483741803595963,0.90483741803595952,pending,pending
R073A-XMU-N03-M04-C03-T02,0,0.75,1,0,0.47236655274102241,0.47236655274101469,pending,pending
R073A-XMU-N03-M04-C03-T03,0.5,2,1,0,0.22313016014843684,0.22313016014842982,pending,pending
R073A-XMU-N03-M04-C04-T01,0,0.10000000000000001,1,1,0.906651416460733,1.2603311393199612,pending,pending
R073A-XMU-N03-M04-C04-T02,0,0.75,1,1,0.47403065772603881,1.9126027265777024,pending,pending
R073A-XMU-N03-M04-C04-T03,0.5,2,1,1,0.2234357256791816,0.54448865042226358,pending,pending
R073A-XMU-N03-M04-C05-T01,0,0.10000000000000001,1,4,0.93107387617472326,3.4058617172879435,pending,pending
R073A-XMU-N03-M04-C05-T02,0,0.75,1,4,0.4979783857817891,126.95846606064727,pending,pending
R073A-XMU-N03-M04-C05-T03,0.5,2,1,4,0.22793546753982333,7.9118946304987139,pending,pending
R073A-XMU-N05-M01-C01-T01,0,0.10000000000000001,0.001,-4,1.1224506089120989,3.7636829338213946,pending,pending
R073A-XMU-N05-M01-C01-T02,0,0.75,0.001,-4,1.5986790520036189,268.56957202641064,pending,pending
R073A-XMU-N05-M01-C01-T03,0.5,2,0.001,-4,1.2944530629210798,35.405503584680886,pending,pending
R073A-XMU-N05-M01-C02-T01,0,0.10000000000000001,0.001,-1,1.0123278917201324,1.3927420411535107,pending,pending
R073A-XMU-N05-M01-C02-T02,0,0.75,0.001,-1,1.044905084921707,4.0459444074264743,pending,pending
R073A-XMU-N05-M01-C02-T03,0.5,2,0.001,-1,1.0174799561297903,2.4365712341556249,pending,pending
R073A-XMU-N05-M01-C03-T01,0,0.10000000000000001,0.001,0,0.99990000499983311,0.99990000499983334,pending,pending
R073A-XMU-N05-M01-C03-T02,0,0.75,0.001,0,0.99925028117970038,0.99925028117970072,pending,pending
R073A-XMU-N05-M01-C03-T03,0.5,2,0.001,0,0.99850112443771211,0.99850112443771089,pending,pending
R073A-XMU-N05-M01-C04-T01,0,0.10000000000000001,0.001,1,1.0123278917201326,1.3927420411535107,pending,pending
R073A-XMU-N05-M01-C04-T02,0,0.75,0.001,1,1.0449050849217065,4.0459444074264743,pending,pending
R073A-XMU-N05-M01-C04-T03,0.5,2,0.001,1,1.01747995612979,2.4365712341556249,pending,pending
