degree,exact,decimal
497,3169230160/540208683,5.866677563196443
498,88349440/15066243,5.864065779371805
499,3191949520/544565187,5.861464515542012
500,8008348/1366875,5.858873708276177
501,357194320/60993243,5.856293294652327
502,806544640/137783187,5.853723212252305
503,3237628240/553330683,5.851163399156739
504,626755/107163,5.848613793940072
505,130423504/22309587,5.846074335665649
506,818024320/139987683,5.843544963880858
507,364847440/62462907,5.841025618612339
508,205948540/35274123,5.838516240361241
509,3306746320/566610147,5.836016770098542
510,3687040/632043,5.833527149260414
511,3329945680/571071627,5.831047319743658
512,52212115/8957952,5.828577223901178
513,4599760/789507,5.826116804537516
514,841223680/144449163,5.823666004904438
515,135063376/23201883,5.821224768696575
516,23529820/4043763,5.818793040047105
517,3400023760/584561043,5.816370763523494
518,852943360/146706147,5.813957884123288
519,380393680/65454723,5.811554347269944
520,2147083/369603,5.809160098808722
521,3447142480/593641467,5.806775085002611
522,10675840/1839267,5.804399252528317
523,3470821840/598207923,5.802032548472281
524,217668220/37531107,5.799674920326757
525,15531472/2679075,5.797326315985928
526,876622720/151272603,5.794986683742065
527,3518420560/607393323,5.792655972281737
528,6129115/1058508,5.790334130682054
529,3542339920/612012267,5.788021108406966
530,35543296/6143283,5.78571685530359
531,44028880/7612947,5.783421321598587
532,223648060/38685843,5.781134457894584
533,3590418640/621302643,5.778856215166623
534,100069120/17323227,5.776586544758664
535,144583120/25038963,5.774325398380117
536,56666995/9817443,5.772072728102419
537,404313040/70073667,5.769828486355652
538,912741760/158253507,5.767592625925187
539,3663136720/635369427,5.76536509994838
540,12604/2187,5.763145861911294
541,3687536080/640093347,5.760934865645464
542,924941440/160615467,5.758732065324693
543,412446160/71648307,5.75653741546189
544,58191955/10112688,5.754350870905935
545,149462992/25983747,5.752172386838588
546,104135680/18110547,5.750001918771421
547,3761214160/654370083,5.747839422542794
548,235847740/41047803,5.745684854314859
549,46739920/8137827,5.743538170570596
550,37983232/6615675,5.741399328110888
551,3810732880/663975387,5.73926828405162
552,6637435/1156923,5.737144995820811
553,3835612240/668804283,5.735029421155785
554,962020480/167806323,5.732921518100364
555,17158096/2994003,5.730821245002092
556,242067580/42255027,5.728728560509499
557,3885610960/678514563,5.726643423569377
558,12031360/2101707,5.724565793424107
559,3910730320/683395947,5.722495629608995
560,2452075/428652,5.720432891949647
561,437325520/76477203,5.718377540559374
562,987139840/172687707,5.716329535836619
563,3961209040/693211203,5.71428883846241
564,27596380/4831083,5.712255409397851
565,159462736/27925803,5.710229209881629
566,999819520/175154643,5.708210201427547
567,1834480/321489,5.706198345822097
568,62886835/11024667,5.704193605122041
569,4037527120/708065307,5.702195941652032
570,4500352/789507,5.700205318002247
571,4063126480/713051667,5.698221697026058
572,254747260/44721963,5.696245041837721
573,454311760/79783947,5.694275315810084
574,1025418880/180141003,5.692312482572333
575,164582608/28923075,5.690356506007746
576,796195/139968,5.688407350251486
577,4140404560/728115723,5.686464979688401
578,1038338560/182660427,5.684529358950858
579,462924880/81463563,5.6826004529166
580,10448284/1839267,5.680678226706617
581,4192323280/738245907,5.678762645683046
582,116815360/20577483,5.67685367544709
583,4218402640/743337243,5.674951281836957
584,66116755/11654523,5.67305543092583
585,2096080/369603,5.67116608901984
586,1064417920/187751763,5.669283222656077
587,4270801360/753572403,5.667406798600612
588,29749660/5250987,5.665536783846542
589,4297120720/758716227,5.663673145612055
590,43103104/7612947,5.661815851338516
591,480391120/84875283,5.659964868688568
592,67761715/11976012,5.658120165544256
593,4349999440/769056363,5.656281710005175
594,1496320/264627,5.65444947038662
595,175062352/30970107,5.652623415217778
596,274366780/48553587,5.650803513239918
597,489244240/86607387,5.648989733404611
598,1104136960/195519987,5.647182044871965
599,4429917520/784697787,5.645380417008873
600,308563/54675,5.643584819387288
601,4456716880/789946587,5.641795221782508
602,1117536640/198144387,5.640011594171477
603,55353040/9817443,5.638233906731111
604,281066620/49865787,5.636462129836636
605,180422224/32019867,5.634696234059935
606,125668480/22309587,5.632936190167931
607,4537594960/805797963,5.631181969120962
608,71111635/12632112,5.629433542071191
609,507190480/90124083,5.627690880361024
610,45783040/8137827,5.625953955521542
611,4591913680/816453027,5.624222739270952
612,3553660/632043,5.622497203513052
613,4619193040/821806803,5.620777320335714
614,1158215680/206122563,5.619063062009373
615,20651344/3676347,5.617354400985543
616,72816595/12966723,5.615651309895338
617,4673991760/832566843,5.613953761548008
618,130215040/23201883,5.612261728929501
619,4701511120/837973107,5.610575185201021
620,11788252/2101707,5.608894103697613
621,6487120/1156923,5.607218457926759
622,1185735040/211528827,5.605548221566983
623,4756789840/848838123,5.603883368466475
624,8282395/1478412,5.602223872641726
625,191381968/34171875,5.600569708276177
626,1199614720/214258203,5.598920849718879
627,534709840/95530347,5.597277271483166
628,301646140/53907363,5.595638948245345
629,4840307920/865266867,5.594005854843394
630,599296/107163,5.592377966275674
631,4868307280/870778107,5.590755257699652
632,76286515/13649067,5.58913770443064
633,544042960/97367427,5.587525281940541
634,1227614080/219769443,5.585917965856609
635,196981840/35274123,5.584315731960225
636,34296220/6143283,5.582718556185674
637,4952785360/887416803,5.581126414618949
638,1241733760/222551307,5.579539283496547
639,61495120/11024667,5.577957139204295
640,3122059/559872,5.576379958276178
641,5009504080/898596747,5.574807717393172
642,139548160/25038963,5.573240393382106
643,5037983440/904212963,5.571677963214513
644,315765820/56689227,5.570120404005509
645,22517968/4043763,5.568567693012672
646,1270213120/228167523,5.567019807634937
647,5095182160/915497883,5.565476725411499
648,36505/6561,5.563938424020728
649,5123901520/921166587,5.56240488127909
650,51382912/9240075,5.560876075140083
651,572522320/102983643,5.559351983693177
652,322945660/58106403,5.557832585162775
653,5181580240/932556483,5.556317857907166
654,144334720/25983747,5.554807780417505
655,208421584/37531107,5.553302331316793
656,81641395/14705388,5.551801489358867
657,64686160/11654523,5.5503052334274
658,1313532160/236723067,5.548813542534915
659,5268698320/949772547,5.547326395821798
660,1467580/264627,5.545843772555332
661,5297897680/955546227,5.544365652128727
