delta,normalized_negative_mass,negative_to_signed_ratio,leading_asymptote
0.012869941040791453,0.31190127771714088,24.234864536563574,24.732816193555447
0.013322043123627041,0.31167711135500925,23.39559393875858,23.893473638383483
0.013790026887090105,0.31144513889442971,22.584810127237478,23.082615341510671
0.014274450231241556,0.31120509101882332,21.801546537863089,22.299274649970521
0.014775890654350154,0.31095668930130355,21.044869414335786,21.54251771551094
0.015294945941348718,0.31069964590970434,20.313876695029798,20.8114423813205
0.015832234876474737,0.3104336633030394,19.607696937614008,20.105177106535368
0.01638839798094505,0.31015843391921988,18.925488280175042,19.422879927244423
0.016964098276543934,0.3098736398538614,18.266437437604342,18.763737452754217
0.017560022076034895,0.30957895253001438,17.6297587320527,18.126963895917036
0.018176879801338513,0.30927403235865747,17.014693156296445,17.511800136366137
0.01881540683045161,0.30895852838979826,16.420507468898698,16.917512815541421
0.019476364374117483,0.30863207795403419,15.846493320087054,16.343393462426636
0.02016054038329225,0.30829430629443189,15.291966407305543,15.788757648955944
0.020868750488489199,0.30794482618859403,14.756265659434209,15.252944174082884
0.02160183897212082,0.30758323756079331,14.238752448703931,14.735314275539187
0.022360679774997897,0.30720912708406317,13.73880982936674,14.23525086834354
0.023146177538185354,0.3068220677721501,13.255841802214256,13.752157809152706
0.023959268681457011,0.30642161856124761,12.789272604067374,13.285459185577848
0.024800922519634817,0.30600732388144664,12.338546021390194,12.834598629618945
0.025672142418143491,0.30557871321785934,11.903124727209955,12.399038654398739
0.026573966989158058,0.30513530066139199,11.482489640552519,11.978260013405537
0.027507471329770307,0.30467658444916818,11.076139307629782,11.571761081481009
0.028473768303650185,0.30420204649462834,10.683589304041336,11.179057256815041
0.029474009867730151,0.30371115190736209,10.304371657277709,10.79968038323468
0.030509388445493866,0.30320334850276043,9.9380342888368371,10.43317819209857
0.0315811383485066,0.30267806630161315,9.584140475288665,10.07911376313143
0.032690537247881873,0.30213471701981254,9.2422683276454514,9.7370650035558839
0.03383890769743856,0.30157269354837085,8.9120102884171537,9.40662414490067
0.035027618710364257,0.30099136942400356,8.5929726457523579,9.0873972568853674
0.036258087391264501,0.30039009829058572,8.284775064085629,8.7790037778021262
0.037531780625543479,0.29976821335184217,7.9870501307317436,8.4810760608345479
0.038850216828130224,0.29912502681569786,7.6994429178863886,8.1932589357728496
0.040214967753634992,0.29845982933078136,7.4216105595112376,7.9152092856028453
0.041627660370093654,0.29777188941564975,7.1532218425990735,7.6465956374639887
0.043089978798534136,0.29706045288138494,6.893956812331747,7.3870977674887879
0.044603666320676867,0.2963247422483008,6.6435063906603995,7.1364063190525702
0.04617052745716281,0.29556395615759712,6.401572007853332,6.8942224339784683
0.047792430118786609,0.29477726877890309,6.167865246572382,6.6602573962579692
