record_type,sample_index,j,N,l2_norm,heat_trace_norm,hhalf_seminorm,heat_to_l2_ratio,hhalf_to_l2_ratio,hhalf_to_heat_ratio,n,g_l4_fourth,g_l4_norm,fractional_output
shear_norm,24,24,16777216,0.011048543456039806,2.2220479025854357e-06,45.254833995939045,0.00020111681792505683,4096,20366272.906755682,,,,
shear_norm,25,25,33554432,0.009290680585958758,1.3212375878157366e-06,53.817370576237735,0.00014221106576546788,5792.6187514801977,40732545.813511364,,,,
shear_norm,26,26,67108864,0.0078125000000000017,7.8561257001975335e-07,64.000000000000014,0.0001005584089625284,8192,81465091.627022728,,,,
shear_norm,27,27,134217728,0.0065695032441696454,4.6712802895153195e-07,76.109255360174146,7.1105532882733929e-05,11585.237502960394,162930183.25404546,,,,
shear_norm,28,28,268435456,0.0055242717280199029,2.7775598782317946e-07,90.509667991878089,5.0279204481264207e-05,16384,325860366.50809091,,,,
shear_norm,29,29,536870912,0.004645340292979379,1.6515469847696707e-07,107.63474115247547,3.5552766441366971e-05,23170.475005920791,651720733.01618183,,,,
shear_norm,30,30,1073741824,0.0039062500000000009,9.8201571252469169e-08,128.00000000000003,2.51396022406321e-05,32768,1303441466.0323637,,,,
shear_norm,31,31,2147483648,0.0032847516220848227,5.8391003618941494e-08,152.21851072034829,1.7776383220683482e-05,46340.950011841574,2606882932.0647273,,,,
shear_norm,32,32,4294967296,0.0027621358640099515,3.4719498477897433e-08,181.01933598375618,1.2569801120316052e-05,65536,5213765864.1294546,,,,
endpoint_counterexample,0,1,,,,,,,,2,0.6534264097200273,0.89908172648397278,1.0989278511313518
endpoint_counterexample,1,2,,,,,,,,4,0.82671320486001365,0.95353956675453766,2.3382980530119166
endpoint_counterexample,2,3,,,,,,,,8,0.91335660243000683,0.97759752442169412,4.3446806805779028
endpoint_counterexample,3,4,,,,,,,,16,0.95667830121500341,0.98898904491161921,7.6534264097200273
endpoint_counterexample,4,5,,,,,,,,32,0.97833915060750176,0.99454023665624802,13.162910154371394
endpoint_counterexample,5,6,,,,,,,,64,0.98916957530375083,0.99728132713325213,22.382352462102386
endpoint_counterexample,6,7,,,,,,,,128,0.99458478765187541,0.99864343902201347,37.84855379037058
endpoint_counterexample,7,8,,,,,,,,256,0.99729239382593771,0.99932241007537337,63.826713204860013
endpoint_counterexample,8,9,,,,,,,,512,0.99864619691296885,0.99966137726903637,107.48902490763143
endpoint_counterexample,9,10,,,,,,,,1024,0.99932309845648448,0.99983073164130487,180.89680371582261
endpoint_counterexample,10,11,,,,,,,,2048,0.99966154922824224,0.99991537656597818,304.33398449583837
endpoint_counterexample,11,12,,,,,,,,4096,0.99983077461412107,0.99995769096852483,511.91335660242999
endpoint_counterexample,12,13,,,,,,,,8192,0.99991538730706053,0.99997884615554689,861.00507109738169
endpoint_counterexample,13,14,,,,,,,,16384,0.99995769365353027,0.99998942324558215,1448.0934217360827
endpoint_counterexample,14,15,,,,,,,,32768,0.99997884682676519,0.99999471166474174,2435.4446530531436
endpoint_counterexample,15,16,,,,,,,,65536,0.99998942341338259,0.99999735584285832,4095.9566783012151
endpoint_counterexample,16,17,,,,,,,,131072,0.9999947117066913,0.99999867792405095,6888.5870046972186
endpoint_counterexample,17,18,,,,,,,,262144,0.99999735585334559,0.99999933896268089,11585.206869893413
endpoint_counterexample,18,19,,,,,,,,524288,0.99999867792667285,0.99999966948150432,19483.943612968367
endpoint_counterexample,19,20,,,,,,,,1048576,0.99999933896333637,0.99999983474079313,32767.978339150606
