N,epsilon,absoluteLambda,fastStep,physicalTime,fastTime,finiteTopDimension,finiteTopSpectralAbscissa,finiteTopRealGap,projectorIdempotenceResidual,projectorCommutatorResidual,logFullNorm,logTopConorm,normalizedFullRate,normalizedTopRate,topConormNoLargerThanFullNorm,r073bUpperLogBound,r073bUpperSlack
48,0.001,1000.0,0.25,0.004,4.0,1,0.16894375143319584,0.1316175451401557,3.407783582797235e-16,4.161864908867306e-15,0.9798615494446098,0.6726201591203691,0.24496538736115248,0.16815503978009227,True,312.5,311.5201384505554
48,0.001,1000.0,0.25,0.005,5.0,1,0.16894375143319584,0.1316175451401557,3.407783582797235e-16,4.161864908867306e-15,1.1910662016280902,0.8398340875845969,0.23821324032561805,0.1679668175169194,True,312.5,311.3089337983719
48,0.001,1000.0,0.25,0.006,6.0,1,0.16894375143319584,0.1316175451401557,3.407783582797235e-16,4.161864908867306e-15,1.391705123345399,1.006689587146965,0.23195085389089984,0.1677815978578275,True,312.5,311.1082948766546
48,0.001,1000.0,0.25,0.007,7.0,1,0.16894375143319584,0.1316175451401557,3.407783582797235e-16,4.161864908867306e-15,1.584087544765841,1.1731943370500149,0.22629822068083444,0.167599191007145,True,312.5,310.91591245523415
48,0.001,1000.0,0.25,0.008,8.0,1,0.16894375143319584,0.1316175451401557,3.407783582797235e-16,4.161864908867306e-15,1.7700903602202422,1.3393553327075858,0.22126129502753028,0.16741941658844822,True,312.5,310.72990963977975
48,0.001,1000.0,0.25,0.009,9.0,1,0.16894375143319584,0.1316175451401557,3.407783582797235e-16,4.161864908867306e-15,1.951156195387667,1.5051788466038794,0.21679513282085192,0.16724209406709772,True,312.5,310.5488438046123
48,0.001,1000.0,0.25,0.01,10.0,1,0.16894375143319584,0.1316175451401557,3.407783582797235e-16,4.161864908867306e-15,2.1283700844858986,1.670670398344237,0.21283700844858988,0.1670670398344237,True,312.5,310.3716299155141
48,0.0001,10000.0,0.25,0.0,0.0,1,0.17026100524771026,0.13004323778482255,3.4127077421626366e-16,2.2350432655941637e-15,0.0,4.440892098500626e-16,0.0,0.0,True,3125.0,3125.0
48,0.0001,10000.0,0.25,0.001,10.0,1,0.17026100524771026,0.13004323778482255,3.4127077421626366e-16,2.2350432655941637e-15,2.172252712773041,1.7007117611438494,0.2172252712773041,0.17007117611438494,True,3125.0,3122.827747287227
48,0.0001,10000.0,0.25,0.002,20.0,1,0.17026100524771026,0.13004323778482255,3.4127077421626366e-16,2.2350432655941637e-15,3.9150181193629865,3.3979757954693994,0.19575090596814934,0.16989878977346998,True,3125.0,3121.084981880637
48,0.0001,10000.0,0.25,0.003,30.0,1,0.17026100524771026,0.13004323778482255,3.4127077421626366e-16,2.2350432655941637e-15,5.610048185591662,5.091939044660666,0.18700160618638875,0.16973130148868887,True,3125.0,3119.3899518144085
48,0.0001,10000.0,0.25,0.004,40.0,1,0.17026100524771026,0.13004323778482255,3.4127077421626366e-16,2.2350432655941637e-15,7.299013875309993,6.782590085946336,0.18247534688274983,0.1695647521486584,True,3125.0,3117.70098612469
48,0.0001,10000.0,0.25,0.005,50.0,1,0.17026100524771026,0.13004323778482255,3.4127077421626366e-16,2.2350432655941637e-15,8.98619811473498,8.469939224578344,0.1797239622946996,0.16939878449156687,True,3125.0,3116.013801885265
48,0.0001,10000.0,0.25,0.006,60.0,1,0.17026100524771026,0.13004323778482255,3.4127077421626366e-16,2.2350432655941637e-15,10.670349452353758,10.15399948673028,0.1778391575392293,0.169233324778838,True,3125.0,3114.3296505476465
48,0.0001,10000.0,0.25,0.007,70.0,1,0.17026100524771026,0.13004323778482255,3.4127077421626366e-16,2.2350432655941637e-15,12.351130990329615,11.834781267327076,0.17644472843328024,0.16906830381895824,True,3125.0,3112.6488690096703
48,0.0001,10000.0,0.25,0.008,80.0,1,0.17026100524771026,0.13004323778482255,3.4127077421626366e-16,2.2350432655941637e-15,14.028637594061491,13.512294949311029,0.17535796992576863,0.16890368686638785,True,3125.0,3110.9713624059386
48,0.0001,10000.0,0.25,0.009,89.99999999999999,1,0.17026100524771026,0.13004323778482255,3.4127077421626366e-16,2.2350432655941637e-15,15.70289434154734,15.18655106135777,0.1744766037949705,0.16873945623730857,True,3125.0,3109.2971056584524
48,0.0001,10000.0,0.25,0.01,99.99999999999999,1,0.17026100524771026,0.13004323778482255,3.4127077421626366e-16,2.2350432655941637e-15,17.373903829670212,16.85756006925027,0.17373903829670212,0.1685756006925027,True,3125.0,3107.6260961703297
96,0.01,100.0,0.25,0.0,0.0,1,0.1563164070149098,0.14833990013772147,1.4483464547614035e-16,3.6335135739564154e-15,0.0,0.0,0.0,0.0,True,31.25,31.25
96,0.01,100.0,0.25,0.001,0.1,1,0.1563164070149098,0.14833990013772147,1.4483464547614035e-16,3.6335135739564154e-15,0.02449281812471016,0.015610026978917446,0.24492818124710158,0.15610026978917446,True,31.25,31.22550718187529
96,0.01,100.0,0.25,0.002,0.2,1,0.1563164070149098,0.14833990013772147,1.4483464547614035e-16,3.6335135739564154e-15,0.048911544005463714,0.031177118052069686,0.2445577200273186,0.15588559026034843,True,31.25,31.201088455994537
96,0.01,100.0,0.25,0.003,0.3,1,0.1563164070149098,0.14833990013772147,1.4483464547614035e-16,3.6335135739564154e-15,0.07324630577980895,0.046701704807690314,0.24415435259936316,0.1556723493589677,True,31.25,31.176753694220192
96,0.01,100.0,0.25,0.004,0.4,1,0.1563164070149098,0.14833990013772147,1.4483464547614035e-16,3.6335135739564154e-15,0.09748752051408505,0.062184211286190116,0.24371880128521262,0.1554605282154753,True,31.25,31.152512479485914
96,0.01,100.0,0.25,0.005,0.5,1,0.1563164070149098,0.14833990013772147,1.4483464547614035e-16,3.6335135739564154e-15,0.12162594611655009,0.07762505408313625,0.24325189223310018,0.1552501081662725,True,31.25,31.12837405388345
96,0.01,100.0,0.25,0.006,0.6,1,0.1563164070149098,0.14833990013772147,1.4483464547614035e-16,3.6335135739564154e-15,0.14565272846433341,0.09302464245511,0.24275454744055566,0.15504107075851667,True,31.25,31.104347271535666
96,0.01,100.0,0.25,0.007,0.7,1,0.1563164070149098,0.14833990013772147,1.4483464547614035e-16,3.6335135739564154e-15,0.16955944321372174,0.10838337842792178,0.2422277760196025,0.15483339775417398,True,31.25,31.08044055678628
96,0.01,100.0,0.25,0.008,0.8,1,0.1563164070149098,0.14833990013772147,1.4483464547614035e-16,3.6335135739564154e-15,0.1933381318989864,0.12370165690672175,0.241672664873733,0.15462707113340218,True,31.25,31.056661868101013
