schemaVersion,evidenceClass,diagnosticOnly,smokeMode,gridKind,archivePrefix,N,dimensionPerKz,viscousEpsilon,absoluteLambda,profileTime,fastTime,fastStep,topEigenvalueFastReal,topEigenvalueFastImag,topClusterDimension,topRealGap,topEigenResidualRelative,generatorRelativeDefect,unitRealLaunchL2,v1L2,v1PositiveKzL2,v2MeanL2,v2DoublePairL2,v2L2,v3MeanPathTargetL2,v3DoublePathTargetL2,v3TargetPairL2,v3TriplePairL2,v3L2,quadraticNaturalResponse,targetCubicNaturalResponse,tripleCubicNaturalResponse,quadraticCompensated,targetCubicCompensated,tripleCubicCompensated,meanPathSignedNaturalParallel,doublePathSignedNaturalParallel,totalSignedNaturalParallel,meanPathSignedCompensated,doublePathSignedCompensated,totalSignedCompensated,meanPathCosineWithLinear,doublePathCosineWithLinear,totalCubicCosineWithLinear,v1OuterThreeMassFraction,v2OuterThreeMassFraction,v3OuterThreeMassFraction,maximumDivergenceRelative,maximumRealityRelative,forbiddenParityRelative,caseChecksPass
r073h-harmonic-duhamel-primary-v1,finite-binary64-galerkin-diagnostic-only,true,false,formal,case_024,64,129,0.001,1000,0.0030000000000000001,3,0.050000000000000003,0.16894375143319798,-2.1542359873639028e-16,1,0.13161754514015828,2.2347780434201663e-16,5.6387086176302319e-17,0.99999999999999989,1.6570508941303135,1.1717119240107765,0.0013717003618690304,0.0010805598137926978,0.001746187674316635,9.8778187199493409e-07,6.4704530172865714e-07,1.5093281298080063e-06,6.7441097894769886e-07,1.6531489866176392e-06,0.00063594451157675919,3.3172341218015072e-07,1.482235086791528e-07,0.63594451157675913,0.33172341218015072,0.14822350867915279,-1.5340147084785187e-07,-8.8084937769465158e-08,-2.41486408617317e-07,-0.15340147084785188,-0.08808493776946516,-0.24148640861731702,-0.70660387430461424,-0.61940471362025096,-0.72797517374556531,2.9628418091290869e-42,7.2430549496903289e-39,1.0276849559254475e-35,5.5511151231257827e-17,1.3877787807814457e-17,0,true
r073h-harmonic-duhamel-primary-v1,finite-binary64-galerkin-diagnostic-only,true,false,formal,case_024,64,129,0.001,1000,0.0040000000000000001,4,0.050000000000000003,0.16894375143319798,-2.1542359873639028e-16,1,0.13161754514015828,2.2347780434201663e-16,5.6387086176302319e-17,0.99999999999999989,1.9593644473198402,1.3854798875156908,0.0022313906373552703,0.0016784652637171337,0.0027921944448733847,2.2881720106308022e-06,1.4308653337430292e-06,3.4009859398046365e-06,1.4526085103371966e-06,3.6982126557369414e-06,0.00072730271989073555,4.5212567065127186e-07,1.931091773251131e-07,0.72730271989073558,0.45212567065127185,0.19310917732511312,-2.1995634464575147e-07,-1.0785622812270002e-07,-3.2781257276845135e-07,-0.21995634464575148,-0.10785622812270003,-0.32781257276845138,-0.7230918978180737,-0.5670118521031402,-0.72504746809940779,9.5584528994222201e-46,3.122828568823008e-42,6.1176248265165266e-39,6.9388939039072284e-17,2.7755575615628914e-17,0,true
r073h-harmonic-duhamel-primary-v1,finite-binary64-galerkin-diagnostic-only,true,false,formal,case_024,64,129,0.001,1000,0.0050000000000000001,5,0.050000000000000003,0.16894375143319798,-2.1542359873639028e-16,1,0.13161754514015828,2.2347780434201663e-16,5.6387086176302319e-17,0.99999999999999989,2.3159826945269995,1.6376470684107338,0.0034314752170417403,0.0024709115829294102,0.0042285253003649373,4.7215345976108756e-06,2.8328432105140593e-06,6.8366006485630166e-06,2.7974186409606607e-06,7.3867895245990631e-06,0.00078834862332759551,5.5034405832919088e-07,2.2519126198129123e-07,0.78834862332759548,0.55034405832919087,0.22519126198129125,-2.8040512053602441e-07,-1.1679255523355175e-07,-3.9719767576957625e-07,-0.2804051205360244,-0.11679255523355175,-0.39719767576957626,-0.73774910878108935,-0.51215162112832224,-0.72172610889166811,3.7335027899062247e-49,1.3051764872378063e-45,2.9549699631834197e-42,8.3266726846886741e-17,2.7755575615628914e-17,0,true
r073h-harmonic-duhamel-primary-v1,finite-binary64-galerkin-diagnostic-only,true,false,formal,case_024,64,129,0.001,1000,0.0060000000000000001,6,0.050000000000000003,0.16894375143319798,-2.1542359873639028e-16,1,0.13161754514015828,2.2347780434201663e-16,5.6387086176302319e-17,0.99999999999999989,2.7365269697037036,1.9350167771773628,0.0051059214369715712,0.0035312434190439656,0.0062080684439741116,9.0911543209764738e-06,5.2580709157183332e-06,1.2848573459613628e-05,5.0473805784205135e-06,1.3804415621477944e-05,0.00082900477305719578,6.2698292539962939e-07,2.4630138517794105e-07,0.82900477305719578,0.62698292539962941,0.24630138517794106,-3.3294272009031021e-07,-1.1785433505742512e-07,-4.5079705514773541e-07,-0.33294272009031023,-0.11785433505742512,-0.45079705514773544,-0.75049826299766365,-0.45932313542631104,-0.71899414941866924,2.0291567001677911e-52,6.107324884325787e-49,1.1737439265052128e-45,1.2490009027033011e-16,2.7755575615628914e-17,0,true
r073h-harmonic-duhamel-primary-v1,finite-binary64-galerkin-diagnostic-only,true,false,formal,case_024,64,129,0.001,1000,0.0070000000000000001,7,0.050000000000000003,0.16894375143319798,-2.1542359873639028e-16,1,0.13161754514015828,2.2347780434201663e-16,5.6387086176302319e-17,0.99999999999999989,3.2323012245999223,2.2855821147521866,0.0074409860572665076,0.0049640671727407687,0.0089448441238468256,1.6737176986639858e-05,9.3690177413081678e-06,2.3141320447883853e-05,8.7460605216073441e-06,2.4738922505219701e-05,0.00085614854565717498,6.8525569882433548e-07,2.5898642336297735e-07,0.85614854565717491,0.68525569882433546,0.25898642336297734,-3.7735345390241806e-07,-1.1433464876707914e-07,-4.9168810266949752e-07,-0.37735345390241809,-0.11433464876707915,-0.49168810266949753,-0.76138023943548783,-0.41211581494703203,-0.71752501075593578,1.477903196327781e-55,2.834250205523883e-51,8.6428339522247188e-47,1.0581448015387303e-16,2.3514328923082898e-17,0,true
r073h-harmonic-duhamel-primary-v1,finite-binary64-galerkin-diagnostic-only,true,false,formal,case_024,64,129,0.001,1000,0.0080000000000000002,8,0.050000000000000003,0.16894375143319798,-2.1542359873639028e-16,1,0.13161754514015828,2.2347780434201663e-16,5.6387086176302319e-17,0.99999999999999989,3.8165822861206808,2.6987312154723901,0.010695467090047105,0.0069185589408051317,0.012738111088056791,2.9885163558072752e-05,1.6244713771391705e-05,4.0526298117205934e-05,1.4769824224341702e-05,4.3133844562044318e-05,0.00087449186031072308,7.2897568726580575e-07,2.656754568008136e-07,0.87449186031072301,0.72897568726580575,0.26567545680081361,-4.1420203160085542e-07,-1.0893750333423537e-07,-5.2313953493509077e-07,-0.41420203160085545,-0.10893750333423537,-0.5231395349350908,-0.7705139013592357,-0.37281145242140801,-0.71763646452633878,1.1864509745929656e-58,2.0398058644124066e-51,3.2749711258180067e-46,1.5909939298320684e-16,1.9887424122900854e-17,0,true
r073h-harmonic-duhamel-primary-v1,finite-binary64-galerkin-diagnostic-only,true,false,formal,case_024,64,129,0.001,1000,0.0089999999999999993,9,0.050000000000000003,0.16894375143319798,-2.1542359873639028e-16,1,0.13161754514015828,2.2347780434201663e-16,5.6387086176302319e-17,0.99999999999999989,4.5049592546096386,3.1854872379035699,0.01522873792587621,0.0096065139336773478,0.018005542723643665,5.2218001432230142e-05,2.7641251515725251e-05,6.9638691824929199e-05,2.4537741360123064e-05,7.3835277138666955e-05,0.0008872060236273751,7.6168955860500967e-07,2.6838731308656415e-07,0.88720602362737511,0.76168955860500975,0.26838731308656416,-4.4438843187539722e-07,-1.0351302385247606e-07,-5.4790145572787316e-07,-0.44438843187539723,-0.10351302385247606,-0.54790145572787319,-0.77806360527807727,-0.34238118818171315,-0.71932383677586831,9.1533087905628301e-62,1.8558593044285569e-51,6.033334135854786e-46,2.6921264299018881e-16,8.4128950934434002e-18,0,true
r073h-harmonic-duhamel-primary-v1,finite-binary64-galerkin-diagnostic-only,true,false,formal,case_024,64,129,0.001,1000,0.01,10,0.050000000000000003,0.16894375143319798,-2.1542359873639028e-16,1,0.13161754514015828,2.2347780434201663e-16,5.6387086176302319e-17,0.99999999999999989,5.3157302592916187,3.7587889133036279,0.021539530072086661,0.013326784064128541,0.025328926728510153,8.9813064331129334e-05,4.6419499490006475e-05,0.00011811598274265284,4.0355255471430214e-05,0.00012481959791405781,0.00089637743975412804,7.8635719085810974e-07,2.6866512551493926e-07,0.89637743975412798,0.78635719085810973,0.26866512551493926,-4.6890602292227791e-07,-9.9114207865443797e-08,-5.6802023078772181e-07,-0.46890602292227795,-0.099114207865443796,-0.56802023078772179,-0.78421492229500822,-0.32071868759495265,-0.72234378650225295,6.40454727793618e-65,1.7007645446225513e-51,7.9917235943974149e-46,2.2784944438145342e-16,2.8481180547681678e-17,0,true
r073h-harmonic-duhamel-primary-v1,finite-binary64-galerkin-diagnostic-only,true,false,formal,case_025,64,129,0.00050000000000000001,2000,0,0,0.050000000000000003,0.16967433830975756,-1.1001584524558666e-17,1,0.13074245473838464,2.8748295302818793e-16,5.8143348621629967e-17,1,1,0.70710678118654757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.828438646929231e-31,0,0,6.9388939039072284e-18,0,0,true
r073h-harmonic-duhamel-primary-v1,finite-binary64-galerkin-diagnostic-only,true,false,formal,case_025,64,129,0.00050000000000000001,2000,0.001,2,0.050000000000000003,0.16967433830975756,-1.1001584524558666e-17,1,0.13074245473838464,2.8748295302818793e-16,5.8143348621629967e-17,1,1.4034686251875461,0.99240218205267483,0.0003784184640777897,0.00031402492952042671,0.00049174402926248362,8.5949970288883071e-08,5.9664209215969686e-08,1.3562423416937175e-07,6.3857452792572897e-08,1.4990566090439767e-07,0.00024965121197409787,4.9060184129490813e-08,2.3099547151222863e-08,0.49930242394819574,0.19624073651796325,0.092398188604891462,-2.1261408627078868e-08,-1.4281883188507034e-08,-3.5543291815585902e-08,-0.085045634508315482,-0.05712753275402814,-0.14217316726234361,-0.68383988662127682,-0.66172830664635629,-0.72448345733419894,2.7577042489955132e-35,5.4030697581692217e-32,8.9385677272655366e-29,1.6913553890773869e-17,3.4694469519536142e-18,0,true
r073h-harmonic-duhamel-primary-v1,finite-binary64-galerkin-diagnostic-only,true,false,formal,case_025,64,129,0.00050000000000000001,2000,0.002,4,0.050000000000000003,0.16967433830975756,-1.1001584524558666e-17,1,0.13074245473838464,2.8748295302818793e-16,5.8143348621629967e-17,1,1.9681974450233539,1.3917257600900506,0.0011216521236252295,0.00084608579381303961,0.0014049785254320539,5.7888490763859145e-07,3.6504696539830327e-07,8.642137351955657e-07,3.7093568292039454e-07,9.4045662364847574e-07,0.00036268730871994608,1.1334834236993337e-07,4.8651095293424651e-08,0.72537461743989218,0.45339336947973347,0.1946043811736986,-5.4504255203766568e-08,-2.69747401253557e-08,-8.1478995329122281e-08,-0.21801702081506627,-0.10789896050142281,-0.32591598131648913,-0.71786730415173416,-0.56339698421887441,-0.71883711420499163,4.1402572502904429e-39,8.0793697332326951e-36,1.135416613768198e-32,4.2934406030425976e-17,3.4694469519536142e-18,0,true
r073h-harmonic-duhamel-primary-v1,finite-binary64-galerkin-diagnostic-only,true,false,formal,case_025,64,129,0.00050000000000000001,2000,0.0030000000000000001,6,0.050000000000000003,0.16967433830975756,-1.1001584524558666e-17,1,0.13074245473838464,2.8748295302818793e-16,5.8143348621629967e-17,1,2.7581186763436154,1.9502844193598348,0.002580391866095909,0.0017887527523249567,0.003139754543203024,2.3163966033113664e-06,1.3536806442142116e-06,3.2915069753196454e-06,1.3014256548384176e-06,3.5394529102178325e-06,0.00041273357514233093,1.5687579242570793e-07,6.2026962852204187e-08,0.82546715028466189,0.62750316970283171,0.24810785140881675,-8.2273142082524154e-08,-2.9387286717521886e-08,-1.1166042880004604e-07,-0.32909256833009665,-0.11754914687008755,-0.4466417152001842,-0.74521915855598941,-0.45549343118001184,-0.7117760304090599,8.0113275794337534e-43,1.8932461762804248e-39,2.8001176808077751e-36,2.2102382372516909e-16,1.1051191186258455e-16,0,true
r073h-harmonic-duhamel-primary-v1,finite-binary64-galerkin-diagnostic-only,true,false,formal,case_025,64,129,0.00050000000000000001,2000,0.0040000000000000001,8,0.050000000000000003,0.16967433830975756,-1.1001584524558666e-17,1,0.13074245473838464,2.8748295302818793e-16,5.8143348621629967e-17,1,3.8623197145748471,2.7310724612863653,0.0054405218106115816,0.0035265688466465965,0.0064835148956317382,7.6797821882586592e-06,4.2266173057637881e-06,1.0480094799407361e-05,3.8543493828457068e-06,1.1166395845106347e-05,0.00043462436698365987,1.8189491090321656e-07,6.6896965247130517e-08,0.86924873396731972,0.72757964361286631,0.26758786098852205,-1.0203255207667014e-07,-2.7083014377374178e-08,-1.291155664540443e-07,-0.40813020830668056,-0.10833205750949672,-0.51646226581617727,-0.76548116534509569,-0.36918898584705812,-0.70983605760550772,1.5373631447327366e-46,1.6233792661450556e-41,1.543734027838854e-37,1.5761936846007027e-16,3.0785032902357473e-17,0,true
r073h-harmonic-duhamel-primary-v1,finite-binary64-galerkin-diagnostic-only,true,false,formal,case_025,64,129,0.00050000000000000001,2000,0.0050000000000000001,10,0.050000000000000003,0.16967433830975756,-1.1001584524558666e-17,1,0.13074245473838464,2.8748295302818793e-16,5.8143348621629967e-17,1,5.4048676209550441,3.8218185461929139,0.011041834504775579,0.0068460028162209393,0.012991915324175939,2.3315929346066801e-05,1.2223481882635311e-05,3.0877011677539662e-05,1.0676281537177954e-05,3.2670672438687378e-05,0.00044473679140423088,1.9556002212802044e-07,6.7618391166209549e-08,0.88947358280846178,0.78224008851208182,0.27047356466483818,-1.1512194514333633e-07,-2.4583779484894641e-08,-1.3970572462823097e-07,-0.46048778057334533,-0.098335117939578567,-0.55882289851292388,-0.77957979151179102,-0.31754764978909017,-0.71438795674084499,1.5971109336169641e-50,1.5190354822097484e-41,2.0565060922463829e-37,1.1248213096671309e-16,1.7575332963548922e-17,0,true
r073h-harmonic-duhamel-primary-v1,finite-binary64-galerkin-diagnostic-only,true,false,formal,case_025,64,129,0.00050000000000000001,2000,0.0060000000000000001,12,0.050000000000000003,0.16967433830975756,-1.1001584524558666e-17,1,0.13074245473838464,2.8748295302818793e-16,5.8143348621629967e-17,1,7.5584308817524644,5.3446177316169834,0.021998209216870034,0.013327930985848176,0.025720710587243064,6.7588131115824473e-05,3.4093042072566832e-05,8.775011507859862e-05,2.8866870103279331e-05,9.2376289630331557e-05,0.0004502146995652594,2.0321359394228881e-07,6.6850515401583742e-08,0.90042939913051878,0.8128543757691552,0.26740206160633501,-1.2347850810808477e-07,-2.3453909484863841e-08,-1.4693241759294862e-07,-0.49391403243233911,-0.093815637939455368,-0.58772967037179447,-0.78888895149978733,-0.29706017213633784,-0.72304423509519911,7.5962852584608788e-54,1.4830029298375702e-41,3.5249116934622636e-37,9.0371100905970044e-17,2.0082466867993341e-17,0,true
r073h-harmonic-duhamel-primary-v1,finite-binary64-galerkin-diagnostic-only,true,false,formal,case_025,64,129,0.00050000000000000001,2000,0.0070000000000000001,14,0.050000000000000003,0.16967433830975756,-1.1001584524558666e-17,1,0.13074245473838464,2.8748295302818793e-16,5.8143348621629967e-17,1,10.56315550877925,7.4692788909858443,0.043402854841793723,0.026086909341693242,0.050639259941467736,0.00019090823492654458,9.3605056429024182e-05,0.00024503686184338324,7.7602292271283964e-05,0.00025703147555856081,0.00045383710816890939,2.0789804316455489e-07,6.5840562056314337e-08,0.90767421633781875,0.83159217265821961,0.26336224822525733,-1.2872799024758231e-07,-2.3569566758691797e-08,-1.5229755700627414e-07,-0.51491196099032921,-0.094278267034767188,-0.60919022802509659,-0.79474782294615098,-0.2967790980074303,-0.73255887688047161,5.2559768454282386e-56,1.4526182970494497e-41,5.0983312664940678e-37,1.1482137851785161e-16,1.1482137851785161e-16,0,true
r073h-harmonic-duhamel-primary-v1,finite-binary64-galerkin-diagnostic-only,true,false,formal,case_025,64,129,0.00050000000000000001,2000,0.0080000000000000002,16,0.050000000000000003,0.16967433830975756,-1.1001584524558666e-17,1,0.13074245473838464,2.8748295302818793e-16,5.8143348621629967e-17,1,14.752807556526081,10.431810264759733,0.085167532811093419,0.051187207029341104,0.099366185438474475,0.00053107643881884965,0.0002555706260938933,0.00067781968000132887,0.00020883732757115392,0.00070926197415635171,0.00045655096331854463,2.111009278984397e-07,6.5040533538380845e-08,0.91310192663708922,0.84440371159375882,0.26016213415352341,-1.3203152280307309e-07,-2.4332550344955818e-08,-1.5636407314802894e-07,-0.52812609121229237,-0.097330201379823275,-0.62545629259211577,-0.79826048157063423,-0.30570372143469743,-0.74070765441284769,3.9254020537434806e-56,1.4169724207481561e-41,4.9986268570059643e-37,1.6424265309406689e-16,1.6424265309406689e-16,0,true
r073h-harmonic-duhamel-primary-v1,finite-binary64-galerkin-diagnostic-only,true,false,formal,case_025,64,129,0.00050000000000000001,2000,0.0089999999999999993,18,0.050000000000000003,0.16967433830975756,-1.1001584524558666e-17,1,0.13074245473838464,2.8748295302818793e-16,5.8143348621629967e-17,1,20.59095847109468,14.560006366041634,0.16655679559553224,0.10038725680786534,0.194470479735255,0.0014635616300138433,0.00069676756433280276,0.0018638314433878148,0.00056346705687247472,0.0019471422068101838,0.00045867023740206431,2.13489709392899e-07,6.4541468409569374e-08,0.91734047480412861,0.85395883757159607,0.25816587363827753,-1.3415512475316052e-07,-2.5248767091504693e-08,-1.5940389184466516e-07,-0.53662049901264208,-0.10099506836601878,-0.63761556737866065,-0.80025047467129917,-0.3163602710126317,-0.74665843284888178,3.5275495835526851e-56,1.3662746163502794e-41,3.0193791382988624e-37,2.3510329240445525e-16,1.1755164620222763e-16,0,true
