lengthScale,amplitudeOverViscosity,ratioFactor
4.869675251659e-02,1.00000000,2.371373705662e-03
5.011872336273e-02,1.00000000,2.511886431510e-03
5.158221650723e-02,1.00000000,2.660725059799e-03
5.308844442310e-02,1.00000000,2.818382931264e-03
5.463865498819e-02,1.00000000,2.985382618918e-03
5.623413251903e-02,1.00000000,3.162277660168e-03
5.787619883491e-02,1.00000000,3.349654391578e-03
5.956621435290e-02,1.00000000,3.548133892336e-03
6.130557921498e-02,1.00000000,3.758374042884e-03
6.309573444802e-02,1.00000000,3.981071705535e-03
6.493816315762e-02,1.00000000,4.216965034286e-03
6.683439175686e-02,1.00000000,4.466835921510e-03
6.878599123088e-02,1.00000000,4.731512589615e-03
7.079457843841e-02,1.00000000,5.011872336273e-03
7.286181745132e-02,1.00000000,5.308844442310e-03
7.498942093325e-02,1.00000000,5.623413251903e-03
7.717915155850e-02,1.00000000,5.956621435290e-03
7.943282347243e-02,1.00000000,6.309573444802e-03
8.175230379437e-02,1.00000000,6.683439175686e-03
8.413951416452e-02,1.00000000,7.079457843841e-03
8.659643233601e-02,1.00000000,7.498942093325e-03
8.912509381337e-02,1.00000000,7.943282347243e-03
9.172759353898e-02,1.00000000,8.413951416452e-03
9.440608762859e-02,1.00000000,8.912509381337e-03
9.716279515771e-02,1.00000000,9.440608762859e-03
1.000000000000e-01,1.00000000,1.000000000000e-02
1.029200527194e-01,1.00000000,1.059253725177e-02
1.059253725177e-01,1.00000000,1.122018454302e-02
1.090184492385e-01,1.00000000,1.188502227437e-02
1.122018454302e-01,1.00000000,1.258925411794e-02
1.154781984689e-01,1.00000000,1.333521432163e-02
1.188502227437e-01,1.00000000,1.412537544623e-02
1.223207119050e-01,1.00000000,1.496235656094e-02
1.258925411794e-01,1.00000000,1.584893192461e-02
1.295686697517e-01,1.00000000,1.678804018123e-02
1.333521432163e-01,1.00000000,1.778279410039e-02
1.372460961008e-01,1.00000000,1.883649089490e-02
1.412537544623e-01,1.00000000,1.995262314969e-02
1.453784385608e-01,1.00000000,2.113489039837e-02
1.496235656094e-01,1.00000000,2.238721138568e-02
1.539926526059e-01,1.00000000,2.371373705662e-02
1.584893192461e-01,1.00000000,2.511886431510e-02
1.631172909228e-01,1.00000000,2.660725059799e-02
1.678804018123e-01,1.00000000,2.818382931264e-02
1.727825980508e-01,1.00000000,2.985382618918e-02
1.778279410039e-01,1.00000000,3.162277660168e-02
