input_degree,endpoint,input_charge,exact,decimal,is_global_maximum,classification
11,x=-1,-11,32073920590564706323265529885440488271386442541304622750050911163352196702645835478364967304392101763013638663416440771495873877743958357489171140798527289762904798860385369752274068702656892750870903610358465415752725962015452525010083373687606228430296017622463457482969694650527617631278822478595106929572007326027400219105718613963340311349123647518964994096451283661952/59940333854934113643697823268310222270706115190926651209601951369973800201344287125353552336417192589164409544432540844338772471553908904434877202755828370325926389218954494532659888585599050751522162816665760923511704186395571949954259712216507457167722684154705608572970101280679468880688442756137673219949343569044774546704300809650545200923943411908112466335296630859375,0.53509746322383011652,False,exact finite column; all-order monotonicity theorem covers every larger degree
11,x=2,22,96798249178704707876755438470940550255143146927047199460189087936491729216960017265255151403654129267770275397345811169772614325439391624985877921947100658982595950846684166627773139591891010268157461398045809748830664469806637852185644624913708925859655249723833577837020914204454728789286552898419278696348398862533106492343250430513085443997878542317025521950405901655424/179821001564802340931093469804930666812118345572779953628805854109921400604032861376060657009251577767493228633297622533016317414661726713304631608267485110977779167656863483597979665756797152254566488449997282770535112559186715849862779136649522371503168052464116825718910303842038406642065328268413019659848030707134323640112902428951635602771830235724337399005889892578125,0.53830335909802717875,False,exact finite column; all-order monotonicity theorem covers every larger degree
12,x=-1,-12,474571272071207448737426397408172073809137324337586437597264872377032114899524578973713584468488360914940592122395364354281220327883364207382224299267907506323806784039365619198157091880194990738967547426082050870291073567281285473830256639655096412387170230551299971607614885697228699335628980981837478335679705935926489959190691362253019341475560833065316503526620031726408/892566062312564346803427586486292218903787424388525951648436330400155315725472202830264715700466922373193662125277290027517357349139116231493898710127698823580612959460431473131789977301920410281757297215441058115565195066508607763864340078278538316733906878594616244022954780888663363877887902132304624857063861509957642795469497510978118537394720988231711089611053466796875,0.53169316211915207404,False,exact finite column; all-order monotonicity theorem covers every larger degree
12,x=2,24,53046801457804293126800264388288103543586267123923575798803395102778286519285874063034002185863411772836207385959405238935552888810274178079878877794802944373253148334749740087693498489024567529145330606089937233129628714993068959514430504019984030798096178431992475970675563275163139652040950434729114165404805091567470360092764539589465458314202401973111615603262761655048/99174006923618260755936398498476913211531936043169550183159592266683923969496911425584968411162991374799295791697476669724150816571012914610433190014188758175623662162270163681309997477991156697973033023937895346173910562945400862651593342030948701859322986510512916002550531209851484875320878014700513873007095723328626977274388612330902059710524554247967898845672607421875,0.53488613703649012798,False,exact finite column; all-order monotonicity theorem covers every larger degree
13,x=-1,-13,9207479706947777666621190923659322742375978718009774082797680042646358849743103604821553284234221363928574663254824759680888228737172816308926921174059159692307010582281351265814500986954505921239203628088159935471679277313768898797820949198470211271117121905831316459603281414959127991858037279079841717532136952955996835915143745192548630753466474101796281527691293216832/17412230223230687002950665385228771021872019305289310337501302459036108788537625670140872316463731310079265673351465369493553196802544252183511170765849934641521711677345143241756717114456462626361677553821157198183205671356826105656386617303143665211942203738487000519531772655164764520094505300290929916634833600279071912040541512088631659338489043875597417354583740234375,0.52879381841985606538,False,exact finite column; all-order monotonicity theorem covers every larger degree
13,x=2,26,29101304223784807728707823279023298405157830660785679149195884039536002537118298674971109375549930934403643239763616821247521935097033031204435423655018703141637885364249622899809502930937605820479322657908014635075055027421960630485724978672043564381591284146020480230997776191871807198259039343786015343827316721282351389089562871937388966738461712253549379364336330944/54704227144476101335504644589897810486731288317934135650350639665533017994062617521367347134248238521245744375111925639821940877788169341584285760853930533084858484536830317880665993764390642109825161511633249225651724175546063741779663929460436485664782327019732764181084064029224744037517811697199122696576808922381908062386045472902385000679714721627533435821533203125,0.53197542023447430548,False,exact finite column; all-order monotonicity theorem covers every larger degree
14,x=-1,-14,954227041445616944541571969569921037688199392142171579402963313143813278483579821717716286270884874332569075215679213886117476372135652346922141680972507529188869425003321433347868677022197274415034751643025989697941191061282764746819201212486340055810783270744189178865480030836527678056854122447995543637741186139660252655708292498342664613073974177153620613806647423541136/1813104280424097946640580823831129208200571035866151007194686904772965071544905072985694422491261867954664048704623099115726141851670056618390740114874784219979991567223041710378821235943787044247558270411992804662102518753335149104374001355591446780146084343128095105379962275708310479900097077550806830550104083352136180379401002066459824835220615568687207996845245361328125,0.52629462725796249956,False,exact finite column; all-order monotonicity theorem covers every larger degree
14,x=2,28,6385658490892849676516319227943895210921636130917295719969880199329971812840886825287207594690467611908746092415012224481065367118085550247391740953484805936040530824171949441146710172575477763251788570325259329734099199171716116290934283318349769158950694333330786410326402230203956042014457610969660305788757975566172911619970573624882463616835612928216713463280104377232/12060560623663622704926258251648309588917323963632933529011221096050765442649035962210827644066043467547654425973102654871792517860332970854040399877215859556407926167780765257508788709160445970604600468372457680679174182394690570539073179748945322262612534433224579414944316689855723813082685659983193994790049334936604304075838151218136307107897664536722004413604736328125,0.52946614093243415944,False,exact finite column; all-order monotonicity theorem covers every larger degree
15,x=-1,-15,28498309467146140901919144060511050845563738739252407555624172055871783402534651344686747631542589555845822201529709079452595378128484103608310268667523859615309239264118239875689169370156598689603498096976442365816546255886488377746953052022914332001943695548632135735803080165704751044485673629033919000773259358064096930201194671285486607259865163603965294013703672837696/54373846906727644908115256184372042188503477360608427936430525396594415119708957523782257406154113445219630811914609778514864090978832608974071823367035358032721476989390049166270215016251110933478706018027150398586980888526109044392073915165911519886692213905932947860739031735173011910509823736546706084558243690744672406982390916278802261984992583165876567363739013671875,0.52411795538454097887,False,exact finite column; all-order monotonicity theorem covers every larger degree
15,x=2,30,124237823568779253373601211536300241314274613623334573287032371823463603568908855344836898931675981605767832972211616373832621720808904720567900657707349252205772894670525497694203463763970424683838134177417826843915900663674799800570005483252121684994861275579769241496486155341621865538565916045359048535585839609588035744670483553635141276443985483850122565825387084092864/235620003262486461268499443465612182816848401895969854391198943385242465518738815936389782093334491595951733518296642373564411060908274638887644567923819884808459733620690213053837598403754814045074392744784318393876917183613139192365653632385616586175666260259042774063202470852416384945542569525035726366419055993226913763590360637208143135268301193718798458576202392578125,0.52728045941997236934,False,exact finite column; all-order monotonicity theorem covers every larger degree
