panel,series,x,y,rawValue,normalization,evidence,source,sourcePointer,note
B,producer plain-to-critical annotation,128.0,0.1652916807345088,1.3593401845422297,"Q_(1/3,0)/Q_*",same producer evolution and quadrature,research/certificates/r072f/result.json,weightedActionRows[3].actions,annotation only; not plotted on the main y-axis
B,producer critical-log normalization,256.0,43.664938504352726,6.005580471915459,Q_* delta^(2/3)/log(delta),time-dependent Strang split-step Fourier,research/certificates/r072f/result.json,weightedActionRows[4],fine/coarse relative difference=9.576005e-04
B,independent critical-log normalization,256.0,43.680177154259574,6.007676362610227,Q_* delta^(2/3)/log(delta),independent adaptive real-lattice BDF,research/certificates/r072f/independent-result.json,weightedActionRows[4],quadrature relative defect=2.970599e-09
B,producer plain-to-critical annotation,256.0,0.15198543758458974,0.9127607759735379,"Q_(1/3,0)/Q_*",same producer evolution and quadrature,research/certificates/r072f/result.json,weightedActionRows[4].actions,annotation only; not plotted on the main y-axis
B,producer critical-log normalization,512.0,44.19583638500246,4.307937100699656,Q_* delta^(2/3)/log(delta),time-dependent Strang split-step Fourier,research/certificates/r072f/result.json,weightedActionRows[5],fine/coarse relative difference=8.967778e-04
B,independent critical-log normalization,512.0,44.210253270108595,4.3093423695961235,Q_* delta^(2/3)/log(delta),independent adaptive real-lattice BDF,research/certificates/r072f/independent-result.json,weightedActionRows[5],quadrature relative defect=2.684016e-09
B,producer plain-to-critical annotation,512.0,0.14022091510370252,0.6040628824692967,"Q_(1/3,0)/Q_*",same producer evolution and quadrature,research/certificates/r072f/result.json,weightedActionRows[5].actions,annotation only; not plotted on the main y-axis
C,critical-log-action,0.5,0.8660254037844386,"{""a"": ""1/3"", ""alpha"": ""0"", ""beta"": ""1/3"", ""c"": ""0"", ""gamma"": 1, ""name"": ""critical-log-action"", ""onDeclaredBoundary"": true, ""rawFrontierSum"": ""1"", ""weightedFrontierSum"": ""1""}",barycentric repair coordinate at fixed a=1/3,exact rational exponent ledger,research/certificates/r072f/result.json,frontier.vertices[0],retains original selected-ledger LHS
C,explicit-coupling,0.0,0.0,"{""a"": ""1/3"", ""alpha"": ""0"", ""beta"": ""0"", ""c"": ""1/3"", ""gamma"": 0, ""name"": ""explicit-coupling"", ""onDeclaredBoundary"": true, ""rawFrontierSum"": ""1"", ""weightedFrontierSum"": ""1""}",barycentric repair coordinate at fixed a=1/3,exact rational exponent ledger,research/certificates/r072f/result.json,frontier.vertices[1],retains original selected-ledger LHS
C,root-weight,1.0,0.0,"{""a"": ""1/3"", ""alpha"": ""4/9"", ""beta"": ""0"", ""c"": ""0"", ""gamma"": 0, ""name"": ""root-weight"", ""onDeclaredBoundary"": true, ""rawFrontierSum"": ""2/3"", ""weightedFrontierSum"": ""1""}",barycentric repair coordinate at fixed a=1/3,exact rational exponent ledger,research/certificates/r072f/result.json,frontier.vertices[2],changes LHS observable
