dissipationOverOptimizer,profitOverMaximum
3.32500000,-0.12573713
3.33750000,-0.13547968
3.35000000,-0.14524821
3.36250000,-0.15504260
3.37500000,-0.16486272
3.38750000,-0.17470846
3.40000000,-0.18457970
3.41250000,-0.19447633
3.42500000,-0.20439822
3.43750000,-0.21434526
3.45000000,-0.22431734
3.46250000,-0.23431434
3.47500000,-0.24433615
3.48750000,-0.25438266
3.50000000,-0.26445376
3.51250000,-0.27454934
3.52500000,-0.28466929
3.53750000,-0.29481350
3.55000000,-0.30498187
3.56250000,-0.31517429
3.57500000,-0.32539065
3.58750000,-0.33563085
3.60000000,-0.34589478
3.61250000,-0.35618235
3.62500000,-0.36649344
3.63750000,-0.37682797
3.65000000,-0.38718582
3.66250000,-0.39756690
3.67500000,-0.40797112
3.68750000,-0.41839836
3.70000000,-0.42884853
3.71250000,-0.43932154
3.72500000,-0.44981730
3.73750000,-0.46033569
3.75000000,-0.47087664
3.76250000,-0.48144005
3.77500000,-0.49202581
3.78750000,-0.50263385
3.80000000,-0.51326407
3.81250000,-0.52391637
3.82500000,-0.53459068
3.83750000,-0.54528689
3.85000000,-0.55600492
3.86250000,-0.56674467
3.87500000,-0.57750607
3.88750000,-0.58828903
3.90000000,-0.59909345
3.91250000,-0.60991926
3.92500000,-0.62076636
3.93750000,-0.63163467
3.95000000,-0.64252412
3.96250000,-0.65343460
3.97500000,-0.66436605
3.98750000,-0.67531838
4.00000000,-0.68629150
