lambda3OverLambda2,determinantRatio,gapToSharpSupremum
5.516538667596,1.945870951669,0.054129048331
5.623413251903,1.947707209328,0.052292790672
5.732358369468,1.949485115479,0.050514884521
5.843414133735,1.951206305613,0.048793694387
5.956621435290,1.952872381634,0.047127618366
6.072021956910,1.954484911826,0.045515088174
6.189658188913,1.956045430874,0.043954569126
6.309573444802,1.957555439944,0.042444560056
6.431811877215,1.959016406797,0.040983593203
6.556418494180,1.960429765953,0.039570234047
6.683439175686,1.961796918893,0.038203081107
6.812920690580,1.963119234298,0.036880765702
6.944910713781,1.964398048320,0.035601951680
7.079457843841,1.965634664889,0.034365335111
7.216611620834,1.966830356044,0.033169643956
7.356422544596,1.967986362292,0.032013637708
7.498942093325,1.969103892995,0.030896107005
7.644222742526,1.970184126768,0.029815873232
7.792317984342,1.971228211911,0.028771788089
7.943282347243,1.972237266845,0.027762733155
8.097171416106,1.973212380573,0.026787619427
8.254041852680,1.974154613148,0.025845386852
8.413951416452,1.975064996159,0.024935003841
8.576958985909,1.975944533222,0.024055466778
8.743124580221,1.976794200482,0.023205799518
8.912509381337,1.977614947126,0.022385052874
9.085175756517,1.978407695891,0.021592304109
9.261187281288,1.979173343593,0.020826656407
9.440608762859,1.979912761641,0.020087238359
9.623506263981,1.980626796570,0.019373203430
9.809947127269,1.981316270564,0.018683729436
10.000000000000,1.981981981982,0.018018018018
10.193734859389,1.982624705889,0.017375294111
10.391223038352,1.983245194578,0.016754805422
10.592537251773,1.983844178091,0.016155821909
10.797751623277,1.984422364742,0.015577635258
11.006941712522,1.984980441633,0.015019558367
11.220184543020,1.985519075165,0.014480924835
11.437558630495,1.986038911542,0.013961088458
11.659144011798,1.986540577278,0.013459422722
11.885022274370,1.987024679692,0.012975320308
12.115276586286,1.987491807396,0.012508192604
12.349991726876,1.987942530777,0.012057469223
12.589254117942,1.988377402480,0.011622597520
12.833151855577,1.988796957871,0.011203042129
13.081774742602,1.989201715500,0.010798284500
13.335214321633,1.989592177561,0.010407822439
13.593563908785,1.989968830330,0.010031169670
13.856918628031,1.990332144610,0.009667855390
14.125375446228,1.990682576159,0.009317423841
14.399033208816,1.991020566114,0.008979433886
14.677992676221,1.991346541401,0.008653458599
14.962356560944,1.991660915145,0.008339084855
15.252229565390,1.991964087064,0.008035912936
15.547718420412,1.992256443860,0.007743556140
15.848931924611,1.992538359596,0.007461640404
16.155980984399,1.992810196071,0.007189803929
16.468978654829,1.993072303181,0.006927696819
16.788040181226,1.993325019273,0.006674980727
17.113283041618,1.993568671497,0.006431328503
17.444826989993,1.993803576134,0.006196423866
17.782794100389,1.994030038936,0.005969961064
18.127308811847,1.994248355441,0.005751644559
18.478497974223,1.994458811290,0.005541188710
18.836490894898,1.994661682531,0.005338317469
19.201419386388,1.994857235916,0.005142764084
19.573417814877,1.995045729192,0.004954270808
19.952623149689,1.995227411386,0.004772588614
20.339175013723,1.995402523073,0.004597476927
20.733215734860,1.995571296648,0.004428703352
21.134890398366,1.995733956586,0.004266043414
21.544346900319,1.995890719692,0.004109280308
21.961736002054,1.996041795350,0.003958204650
22.387211385683,1.996187385758,0.003812614242
22.820929710675,1.996327686164,0.003672313836
23.263050671536,1.996462885089,0.003537114911
23.713737056617,1.996593164545,0.003406835455
24.173154808041,1.996718700250,0.003281299750
24.641473082813,1.996839661833,0.003160338167
25.118864315096,1.996956213034,0.003043786966
25.605504279705,1.997068511898,0.002931488102
26.101572156825,1.997176710965,0.002823289035
26.607250597988,1.997280957450,0.002719042550
27.122725793320,1.997381393424,0.002618606576
27.648187540101,1.997478155982,0.002521844018
28.183829312645,1.997571377412,0.002428622588
28.729848333537,1.997661185356,0.002338814644
29.286445646252,1.997747702966,0.002252297034
29.853826189180,1.997831049055,0.002168950945
30.432198871077,1.997911338245,0.002088661755
31.021776647995,1.997988681108,0.002011318892
31.622776601684,1.998063184306,0.001936815694
32.235420019525,1.998134950721,0.001865049279
32.859932476007,1.998204079586,0.001795920414
33.496543915783,1.998270666612,0.001729333388
34.145488738336,1.998334804104,0.001665195896
34.807005884284,1.998396581081,0.001603418919
35.481338923358,1.998456083389,0.001543916611
36.168736144082,1.998513393813,0.001486606187
36.869450645196,1.998568592177,0.001431407823
37.583740428844,1.998621755452,0.001378244548
38.311868495573,1.998672957852,0.001327042148
39.054102941164,1.998722270931,0.001277729069
39.810717055350,1.998769763677,0.001230236323
40.581989422438,1.998815502599,0.001184497401
41.368204023885,1.998859551815,0.001140448185
42.169650342858,1.998901973136,0.001098026864
42.986623470823,1.998942826146,0.001057173854
43.819424216194,1.998982168282,0.001017831718
44.668359215096,1.999020054907,0.000979945093
45.533741044262,1.999056539384,0.000943460616
46.415888336128,1.999091673150,0.000908326850
47.315125896148,1.999125505777,0.000874494223
48.231784822393,1.999158085046,0.000841914954
49.166202627456,1.999189457002,0.000810542998
50.118723362727,1.999219666025,0.000780333975
51.089697745069,1.999248754881,0.000751245119
