record_type,record_id,alpha,reynolds,truncation,matrix_dimension,spectral_abscissa,leading_imaginary_part,absolute_residual,relative_residual,physical_growth_rate,physical_efolding_time,critical_lower,critical_upper,evidence_boundary
sweep,sweep_0000,0.69999999999999996,2.98,80,161,-0.0025193985550643668,,,,,,3.0115283644440001,3.0115283644459998,finite Fourier diagnostic only; rigorous threshold is an external computer-assisted theorem input
sweep,sweep_0001,0.69999999999999996,2.9805000000000001,80,161,-0.002479069811485022,,,,,,3.0115283644440001,3.0115283644459998,finite Fourier diagnostic only; rigorous threshold is an external computer-assisted theorem input
sweep,sweep_0002,0.69999999999999996,2.9809999999999999,80,161,-0.0024387532410061726,,,,,,3.0115283644440001,3.0115283644459998,finite Fourier diagnostic only; rigorous threshold is an external computer-assisted theorem input
sweep,sweep_0003,0.69999999999999996,2.9815,80,161,-0.0023984488381438348,,,,,,3.0115283644440001,3.0115283644459998,finite Fourier diagnostic only; rigorous threshold is an external computer-assisted theorem input
sweep,sweep_0004,0.69999999999999996,2.9820000000000002,80,161,-0.0023581565973897862,,,,,,3.0115283644440001,3.0115283644459998,finite Fourier diagnostic only; rigorous threshold is an external computer-assisted theorem input
sweep,sweep_0005,0.69999999999999996,2.9824999999999999,80,161,-0.0023178765132420322,,,,,,3.0115283644440001,3.0115283644459998,finite Fourier diagnostic only; rigorous threshold is an external computer-assisted theorem input
sweep,sweep_0006,0.69999999999999996,2.9830000000000001,80,161,-0.0022776085802239483,,,,,,3.0115283644440001,3.0115283644459998,finite Fourier diagnostic only; rigorous threshold is an external computer-assisted theorem input
sweep,sweep_0007,0.69999999999999996,2.9834999999999998,80,161,-0.0022373527928230916,,,,,,3.0115283644440001,3.0115283644459998,finite Fourier diagnostic only; rigorous threshold is an external computer-assisted theorem input
sweep,sweep_0008,0.69999999999999996,2.984,80,161,-0.0021971091455699754,,,,,,3.0115283644440001,3.0115283644459998,finite Fourier diagnostic only; rigorous threshold is an external computer-assisted theorem input
sweep,sweep_0009,0.69999999999999996,2.9845000000000002,80,161,-0.0021568776329666094,,,,,,3.0115283644440001,3.0115283644459998,finite Fourier diagnostic only; rigorous threshold is an external computer-assisted theorem input
sweep,sweep_0010,0.69999999999999996,2.9849999999999999,80,161,-0.0021166582495355489,,,,,,3.0115283644440001,3.0115283644459998,finite Fourier diagnostic only; rigorous threshold is an external computer-assisted theorem input
sweep,sweep_0011,0.69999999999999996,2.9855,80,161,-0.0020764509898152745,,,,,,3.0115283644440001,3.0115283644459998,finite Fourier diagnostic only; rigorous threshold is an external computer-assisted theorem input
sweep,sweep_0012,0.69999999999999996,2.9859999999999998,80,161,-0.0020362558483114114,,,,,,3.0115283644440001,3.0115283644459998,finite Fourier diagnostic only; rigorous threshold is an external computer-assisted theorem input
sweep,sweep_0013,0.69999999999999996,2.9864999999999999,80,161,-0.0019960728195614593,,,,,,3.0115283644440001,3.0115283644459998,finite Fourier diagnostic only; rigorous threshold is an external computer-assisted theorem input
sweep,sweep_0014,0.69999999999999996,2.9870000000000001,80,161,-0.0019559018980944225,,,,,,3.0115283644440001,3.0115283644459998,finite Fourier diagnostic only; rigorous threshold is an external computer-assisted theorem input
sweep,sweep_0015,0.69999999999999996,2.9874999999999998,80,161,-0.0019157430784468078,,,,,,3.0115283644440001,3.0115283644459998,finite Fourier diagnostic only; rigorous threshold is an external computer-assisted theorem input
sweep,sweep_0016,0.69999999999999996,2.988,80,161,-0.0018755963551727517,,,,,,3.0115283644440001,3.0115283644459998,finite Fourier diagnostic only; rigorous threshold is an external computer-assisted theorem input
sweep,sweep_0017,0.69999999999999996,2.9885000000000002,80,161,-0.0018354617227964174,,,,,,3.0115283644440001,3.0115283644459998,finite Fourier diagnostic only; rigorous threshold is an external computer-assisted theorem input
sweep,sweep_0018,0.69999999999999996,2.9889999999999999,80,161,-0.0017953391758668336,,,,,,3.0115283644440001,3.0115283644459998,finite Fourier diagnostic only; rigorous threshold is an external computer-assisted theorem input
sweep,sweep_0019,0.69999999999999996,2.9895,80,161,-0.0017552287089444446,,,,,,3.0115283644440001,3.0115283644459998,finite Fourier diagnostic only; rigorous threshold is an external computer-assisted theorem input
sweep,sweep_0020,0.69999999999999996,2.9900000000000002,80,161,-0.0017151303165717801,,,,,,3.0115283644440001,3.0115283644459998,finite Fourier diagnostic only; rigorous threshold is an external computer-assisted theorem input
sweep,sweep_0021,0.69999999999999996,2.9904999999999999,80,161,-0.0016750439933071607,,,,,,3.0115283644440001,3.0115283644459998,finite Fourier diagnostic only; rigorous threshold is an external computer-assisted theorem input
