sampleIndex,zeroChargeWeightExact,zeroChargeWeightDecimal,series,boundExact,boundDecimal,isCertifiedWeight,classification
5,21/40,0.5250000000000000222,s=0 endpoint,1303223947652971129004140296730900016603433717868391126956325415179319899033423612753343371844591039986717140487793751041069640344204419998870036294654121520624748689404294609594474402300382616160931376727144610317750970464962860835668330206569333317726900520753068935094675629151333785092444759187527011696975535348179725269374626746674643936467064809352539161516853833809032729061736347/1189784149785631502008828263580454310401292595653220855909610346166440289820066436250747808025231425589166733626232413400932149702223618266903973307287694717038737412879486860059598236920090176795264295674595795941348366854658790102864487319705235426847747329516557626195340235941699802424409426748752593994140625000000000000000000000000000000000000000000000000000000000000000000000000000,1.0953448555250786534,false,presentation sample of explicit rational formula
5,21/40,0.5250000000000000222,s=-1 endpoint,442497746939254904397381894155571202905194899283359255147034504867746377535661816980243632154480128261462551216990914936394249519663667788566150295340500343046242041409526551238679211656860546916522144855960971774112449969132220617381579869594118902939297651365935143715946417621052272154816040390246779921527732179850331482458225348426496014471534649658978718263552004445505092045883957577913572526673235299299546491788186263861733631324739531/466556477373166517602639673788956563014067110096568989147222585317480663217183961276007008300833683219718242377528696515943858531783312084031578057756964032205079681688427999352569652252477658349635324594497557791297272537814106440202245614562235690440176902742676579861667502644406018132191031085446949369133735508905469187377473838651553705858532339334487915039062500000000000000000000000000000000000000000000000000000000000000000000000000000,0.94843340174083856642,false,presentation sample of explicit rational formula
5,21/40,0.5250000000000000222,s=1 bound,19032662663153091917505097938476986904309352100223652158268366974031436369096162277824684810964845836058736009515644705599069220615991272595538016570262644867218898904949698122297967554517184210599764932473144679973628220689880540642606983179675797147576009610892986783976529352871961328996822877252034423905548521250954764923833670923691331905795610901345534069807872176249835464917075404078051178036222533051697562838744338671637581685980150397/109291261232745592259322178637043727287232515023666665994312802825415418076973093089149655637857311926347238449621095006156465536905198855085167222379793351516193404180881583262973023417888755995979034398913138711877754817830112808274553911731773886649104854255714796042159951926074622296262031428134489219814846823218518095705183157395623538832296617329120635986328125000000000000000000000000000000000000000000000000000000000000000000000000000000,0.17414624415964347071,false,presentation sample of explicit rational formula
5,21/40,0.5250000000000000222,finite s=162,57255587358321065787525506926060588606021537392695752055568692349666233091806525661725068073404427828328181186804334253728410680176813564557801173702378883872370401782866595982926188281727058752186080877655002123674481360589327345473645759912413646223240135840209374086332970531175694582960099471282419736931256564642565567779405227701137448611355134800115971510652022570954428949739697103658748636470339988724545029786950479962446931015166195898396289389911159032258224773563/57531461884783645840742275034445825075672618089262716773135183641949286560918930596358741857785846563823117738532522542979933615616938366896189504828380300794111388160634241270765788329951227854504418534904277362156660554621137259109732007748069498730387587512564685698990064713792411464399129585644599620120526583081408292146777287430271200714056576519168543582330443975081379903713241219520568847656250000000000000000000000000000000000000000000000000000000000000000000000000,0.99520480590228932449,false,presentation sample of explicit rational formula
5,21/40,0.5250000000000000222,large s>=241,35621302574141522476514086514555845865011309292375962550556181995006247320423486817725349549415147067704785383355020358554845791659457100906618154475887083922068313467940871859916705397622257126936306908630869708214872770072606421023438038656573811599046998462094773197968001197866542292549606537604892238624603464445414150949544409032497231153925038765192206467178496168004598518558689736343263497585614904527909/35703188705530986676054768429784781383296182954327043710176839244063412486943469936545232441708400143427638244519573030707477486321868944028980735041984657958103719682156177023215666881288964186881865307792231060040630005986327463339003867611923655004322327196369839981933522528476460644050678771080353790523531642975285649299621582031250000000000000000000000000000000000000000000000000000000000000000000000000000,0.99770647568583203935,false,presentation sample of explicit rational formula
5,21/40,0.5250000000000000222,complete envelope,1303223947652971129004140296730900016603433717868391126956325415179319899033423612753343371844591039986717140487793751041069640344204419998870036294654121520624748689404294609594474402300382616160931376727144610317750970464962860835668330206569333317726900520753068935094675629151333785092444759187527011696975535348179725269374626746674643936467064809352539161516853833809032729061736347/1189784149785631502008828263580454310401292595653220855909610346166440289820066436250747808025231425589166733626232413400932149702223618266903973307287694717038737412879486860059598236920090176795264295674595795941348366854658790102864487319705235426847747329516557626195340235941699802424409426748752593994140625000000000000000000000000000000000000000000000000000000000000000000000000000,1.0953448555250786534,false,presentation sample of explicit rational formula
6,53/100,0.53000000000000002665,s=0 endpoint,1303223947652971129004140296730900016603433717868391126956325415179319899033423612753343371844591039986717140487793751041069640344204419998870036294654121520624748689404294609594474402300382616160931376727144610317750970464962860835668330206569333317726900520753068935094675629151333785092444759187527011696975535348179725269374626746674643936467064809352539161516853833809032729061736347/1201115427402637516313674247043125303833685858468965816442082825653739721151686116595993025244519343928111178708387007814274360651768605107541154005452339428629582531097386734917308696319329130859981098490544327331265970348512683341939387198940523383293916351702429603587676809617335038637975230813026428222656250000000000000000000000000000000000000000000000000000000000000000000000000000,1.0850114134918231734,false,presentation sample of explicit rational formula
6,53/100,0.53000000000000002665,s=-1 endpoint,442832039462304170777111318191433655580081516483708375899846526130958609351428215755831250485884702285421860205252860973884178087331315999827221615945676105241040806111039777931056952669832772737133482514681722780251336171697828216854645733270448592190081572631440216012124958538034387363325366604830963351633336205780052743056175507674219456733456447406665399946776019177153134805267632251270690634248043063056041907391005337524405858857539531/466556477373166517602639673788956563014067110096568989147222585317480663217183961276007008300833683219718242377528696515943858531783312084031578057756964032205079681688427999352569652252477658349635324594497557791297272537814106440202245614562235690440176902742676579861667502644406018132191031085446949369133735508905469187377473838651553705858532339334487915039062500000000000000000000000000000000000000000000000000000000000000000000000000000,0.94914991204401011338,false,presentation sample of explicit rational formula
6,53/100,0.53000000000000002665,s=1 bound,19102619786973810407936314320150253038820379301500808529522842234723710956376364627469810770583099907639803661025405578090375884186250464467772514501569049607399767016008161100745041500562960888476325087210929919350645830319726862068830653381379002440500406795033671780356850849331974061135598586007355472306773795275416832473282752204553666890644110470589254736841716105717289264646583219304602760960983070193307563117503346026430812021980150397/109291261232745592259322178637043727287232515023666665994312802825415418076973093089149655637857311926347238449621095006156465536905198855085167222379793351516193404180881583262973023417888755995979034398913138711877754817830112808274553911731773886649104854255714796042159951926074622296262031428134489219814846823218518095705183157395623538832296617329120635986328125000000000000000000000000000000000000000000000000000000000000000000000000000000,0.17478634221534930515,false,presentation sample of explicit rational formula
6,53/100,0.53000000000000002665,finite s=162,57255587358321065787525506926060588606021537392695752055568692349666233091806525661725068073404427828328181186804334253728410680176813564557801173702378883872370401782866595982926188281727058752186080877655002123674481360589327345473645759912413646223240135840209374086332970531175694582960099471282419736931256564642565567779405227701137448611355134800115971510652022570954428949739697103658748636470339988724545029786950479962446931015166195898396289389911159032258224773563/57531461884783645840742275034445825075672618089262716773135183641949286560918930596358741857785846563823117738532522542979933615616938366896189504828380300794111388160634241270765788329951227854504418534904277362156660554621137259109732007748069498730387587512564685698990064713792411464399129585644599620120526583081408292146777287430271200714056576519168543582330443975081379903713241219520568847656250000000000000000000000000000000000000000000000000000000000000000000000000,0.99520480590228932449,false,presentation sample of explicit rational formula
